S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-06-30,1,100.00,100000.00,1000.00,1000.00,1000.00
2,2020-07-16,1,25.00,25500.00,1020.00,1020.00,1020.00
3,2020-07-22,1,25.00,25625.00,1025.00,1025.00,1025.00
4,2020-07-23,1,50.00,51250.00,1025.00,1025.00,1025.00
5,2020-07-26,1,25.00,25625.00,1025.00,1025.00,1025.00
6,2020-07-28,1,100.00,101000.00,1010.00,1010.00,1010.00
7,2020-07-30,1,12.00,12360.00,1030.00,1030.00,1030.00
8,2020-08-11,1,25.00,25500.00,1020.00,1020.00,1020.00
9,2020-08-13,2,50.00,50025.00,1001.00,1000.00,1001.00
10,2020-08-25,1,100.00,100800.00,1008.00,1008.00,1008.00
11,2020-09-06,1,500.00,505500.00,1011.00,1011.00,1011.00
12,2020-09-07,6,1000.00,1005000.00,1005.00,1005.00,1005.00
13,2020-09-08,1,25.00,25250.00,1010.00,1010.00,1010.00
14,2020-09-09,1,2500.00,2625000.00,1050.00,1050.00,1050.00
15,2020-09-15,1,10.00,10400.00,1040.00,1040.00,1040.00
16,2020-09-16,1,25.00,25550.00,1022.00,1022.00,1022.00
17,2020-09-17,1,100.00,102000.00,1020.00,1020.00,1020.00
18,2020-09-20,3,90.00,90825.00,1010.00,1007.00,1010.00
19,2020-09-23,1,100.00,101000.00,1010.00,1010.00,1010.00
20,2020-09-24,3,500.00,505600.00,1012.00,1010.00,1010.00
21,2020-10-01,1,50.00,51000.00,1020.00,1020.00,1020.00
22,2020-10-04,1,25.00,25500.00,1020.00,1020.00,1020.00
23,2020-10-07,2,25.00,25740.00,1030.00,1029.00,1030.00
24,2020-10-08,3,500.00,505300.00,1016.00,1010.00,1010.00
25,2020-10-15,1,10.00,10200.00,1020.00,1020.00,1020.00
26,2020-10-18,2,90.00,93000.00,1040.00,1025.00,1040.00
27,2020-10-19,2,125.00,129650.00,1040.00,1026.00,1026.00
28,2020-11-01,2,50.00,52300.00,1046.00,1046.00,1046.00
29,2020-11-02,2,55.00,58150.00,1066.00,1050.00,1066.00
30,2020-11-03,2,50.00,53750.00,1075.00,1075.00,1075.00
31,2020-11-09,1,25.00,27250.00,1090.00,1090.00,1090.00
32,2020-11-12,1,10.00,10720.00,1072.00,1072.00,1072.00
33,2020-11-19,1,25.00,26500.00,1060.00,1060.00,1060.00
34,2020-11-22,4,100.00,102500.00,1040.00,1020.00,1020.00
35,2020-11-23,2,175.00,181675.00,1040.00,1027.00,1027.00
36,2020-11-25,3,1025.00,1066000.00,1040.00,1040.00,1040.00
37,2020-11-26,1,500.00,525000.00,1050.00,1050.00,1050.00
38,2020-11-30,1,25.00,25800.00,1032.00,1032.00,1032.00
39,2020-12-02,4,105.00,109275.00,1045.00,1035.00,1045.00
40,2020-12-07,1,15.00,15975.00,1065.00,1065.00,1065.00
41,2020-12-13,2,200.00,211800.00,1060.00,1058.00,1060.00
42,2020-12-14,1,25.00,26250.00,1050.00,1050.00,1050.00
43,2020-12-16,1,15.00,15975.00,1065.00,1065.00,1065.00
44,2020-12-20,2,55.00,58300.00,1060.00,1060.00,1060.00
45,2020-12-21,2,60.00,63100.00,1055.00,1050.00,1050.00
46,2020-12-30,1,200.00,214200.00,1071.00,1071.00,1071.00
47,2020-12-31,1,50.00,53500.00,1070.00,1070.00,1070.00
48,2021-01-03,1,335.00,356775.00,1065.00,1065.00,1065.00
49,2021-01-05,2,140.00,149320.00,1068.00,1066.00,1068.00
50,2021-01-06,2,125.00,133350.00,1070.00,1066.00,1070.00
51,2021-01-10,2,50.00,53650.00,1075.00,1071.00,1075.00
52,2021-01-11,1,25.00,26875.00,1075.00,1075.00,1075.00
53,2021-01-13,1,50.00,53750.00,1075.00,1075.00,1075.00
54,2021-01-17,7,895.00,954725.00,1075.00,1055.00,1055.00
55,2021-01-18,4,637.00,669487.00,1051.00,1051.00,1051.00
56,2021-01-19,1,13.00,13533.00,1041.00,1041.00,1041.00
57,2021-01-20,1,180.00,187920.00,1044.00,1044.00,1044.00
58,2021-01-21,2,45.00,47841.00,1064.00,1061.00,1064.00
59,2021-01-24,4,788.00,839220.00,1065.00,1065.00,1065.00
60,2021-01-25,1,20.00,21300.00,1065.00,1065.00,1065.00
61,2021-01-27,3,75.00,78975.00,1055.00,1052.00,1052.00
62,2021-01-28,1,100.00,105000.00,1050.00,1050.00,1050.00
63,2021-02-01,2,50.00,53775.00,1080.00,1071.00,1080.00
64,2021-02-03,3,225.00,236750.00,1060.00,1050.00,1050.00
65,2021-02-08,4,550.00,581800.00,1060.00,1052.00,1060.00
66,2021-02-11,1,35.00,36820.00,1052.00,1052.00,1052.00
67,2021-02-17,1,25.00,26250.00,1050.00,1050.00,1050.00
68,2021-02-21,1,400.00,426000.00,1065.00,1065.00,1065.00
69,2021-02-22,1,400.00,430000.00,1075.00,1075.00,1075.00
70,2021-02-23,1,100.00,105400.00,1054.00,1054.00,1054.00
71,2021-02-25,2,300.00,312500.00,1045.00,1040.00,1045.00
72,2021-02-28,2,225.00,237000.00,1055.00,1040.00,1040.00
73,2021-03-01,1,100.00,106000.00,1060.00,1060.00,1060.00
74,2021-03-03,1,25.00,26250.00,1050.00,1050.00,1050.00
75,2021-03-07,1,30.00,31500.00,1050.00,1050.00,1050.00
76,2021-03-09,1,25.00,26250.00,1050.00,1050.00,1050.00
77,2021-03-10,1,25.00,26250.00,1050.00,1050.00,1050.00
78,2021-03-14,1,20.00,21360.00,1068.00,1068.00,1068.00
79,2021-03-15,6,50860.00,54923960.00,1080.00,1068.00,1080.00
80,2021-03-17,2,100.00,108250.00,1085.00,1080.00,1085.00
81,2021-03-18,1,30.00,32700.00,1090.00,1090.00,1090.00
82,2021-03-22,1,600.00,648000.00,1080.00,1080.00,1080.00
