S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-12-29,1,10.00,10000.00,1000.00,1000.00,1000.00
2,2020-12-30,8,300.00,313400.00,1060.00,1020.00,1060.00
3,2020-12-31,3,68.00,72390.00,1080.00,1059.00,1059.00
4,2021-01-03,5,200.00,210000.00,1050.00,1050.00,1050.00
5,2021-01-04,2,50.00,52500.00,1050.00,1050.00,1050.00
6,2021-01-05,3,100.00,105300.00,1056.00,1050.00,1056.00
7,2021-01-06,2,75.00,79575.00,1061.00,1061.00,1061.00
8,2021-01-12,1,25.00,26625.00,1065.00,1065.00,1065.00
9,2021-01-13,1,12.00,12528.00,1044.00,1044.00,1044.00
10,2021-01-17,2,63.00,64575.00,1025.00,1025.00,1025.00
11,2021-01-24,2,50.00,51000.00,1020.00,1020.00,1020.00
12,2021-01-25,2,215.00,216175.00,1006.00,1005.00,1005.00
13,2021-01-27,1,25.00,25125.00,1005.00,1005.00,1005.00
14,2021-01-28,1,25.00,25125.00,1005.00,1005.00,1005.00
15,2021-02-03,1,25.00,25375.00,1015.00,1015.00,1015.00
16,2021-02-08,1,25.00,25375.00,1015.00,1015.00,1015.00
17,2021-02-09,2,50.00,51050.00,1031.00,1011.00,1031.00
18,2021-02-10,4,125.00,127425.00,1021.00,1016.00,1020.00
19,2021-02-11,1,25.00,25625.00,1025.00,1025.00,1025.00
20,2021-02-22,1,200.00,209000.00,1045.00,1045.00,1045.00
21,2021-02-28,1,25.00,26250.00,1050.00,1050.00,1050.00
22,2021-03-02,1,100.00,104000.00,1040.00,1040.00,1040.00
23,2021-03-03,2,75.00,76650.00,1026.00,1020.00,1026.00
24,2021-03-04,2,500.00,517500.00,1035.00,1035.00,1035.00
25,2021-03-07,3,100.00,102500.00,1025.00,1025.00,1025.00
26,2021-03-14,1,75.00,78375.00,1045.00,1045.00,1045.00
27,2021-03-16,1,200.00,210000.00,1050.00,1050.00,1050.00
28,2021-03-17,3,75.00,78775.00,1055.00,1046.00,1046.00
29,2021-03-18,1,25.00,26125.00,1045.00,1045.00,1045.00
30,2021-04-01,1,25.00,25625.00,1025.00,1025.00,1025.00
31,2021-04-05,3,525.00,545650.00,1040.00,1026.00,1040.00
32,2021-04-13,1,100.00,105000.00,1050.00,1050.00,1050.00
33,2021-04-20,1,25.00,26250.00,1050.00,1050.00,1050.00
34,2021-04-29,1,10.00,10350.00,1035.00,1035.00,1035.00
35,2021-05-10,1,25.00,26125.00,1045.00,1045.00,1045.00
36,2021-05-11,2,50.00,51750.00,1045.00,1025.00,1045.00
37,2021-05-16,2,50.00,52250.00,1045.00,1045.00,1045.00
38,2021-05-17,1,25.00,25750.00,1030.00,1030.00,1030.00
39,2021-05-18,1,25.00,25875.00,1035.00,1035.00,1035.00
40,2021-05-24,2,50.00,52250.00,1045.00,1045.00,1045.00
41,2021-05-25,4,70.00,73700.00,1060.00,1040.00,1060.00
42,2021-05-30,3,92.00,96975.00,1055.00,1050.00,1055.00
43,2021-06-02,1,200.00,208000.00,1055.00,1055.00,1040.00
44,2021-06-03,1,50.00,52250.00,1045.00,1045.00,1045.00
45,2021-06-07,1,25.00,26250.00,1050.00,1050.00,1050.00
46,2021-06-09,1,50.00,52350.00,1047.00,1047.00,1047.00
47,2021-06-10,2,50.00,53000.00,1060.00,1060.00,1060.00
48,2021-06-13,2,100.00,106500.00,1065.00,1065.00,1065.00
49,2021-06-15,2,1250.00,1357500.00,1086.00,1086.00,1086.00
50,2021-06-21,1,25.00,27000.00,1080.00,1080.00,1080.00
51,2021-06-24,3,50.00,52650.00,1059.00,1047.00,1047.00
52,2021-06-27,4,300.00,313100.00,1045.00,1041.00,1045.00
53,2021-06-28,17,1725.00,1808575.00,1051.00,1040.00,1051.00
54,2021-06-30,1,25.00,26075.00,1043.00,1043.00,1043.00
55,2021-07-01,1,50.00,52250.00,1045.00,1045.00,1045.00
56,2021-07-04,1,25.00,26625.00,1065.00,1065.00,1065.00
57,2021-07-12,1,10.00,10470.00,1047.00,1047.00,1047.00
58,2021-07-15,3,150.00,159100.00,1067.00,1048.00,1048.00
59,2021-07-18,1,50.00,51400.00,1028.00,1028.00,1028.00
60,2021-08-01,2,75.00,77000.00,1030.00,1025.00,1025.00
61,2021-08-02,1,25.00,25530.00,1021.20,1021.20,1021.20
62,2021-08-03,2,75.00,77375.00,1035.00,1030.00,1035.00
63,2021-08-04,1,100.00,102500.00,1025.00,1025.00,1025.00
64,2021-08-05,1,25.00,25150.00,1006.00,1006.00,1006.00
65,2021-08-08,2,125.00,129500.00,1040.00,1020.00,1040.00
66,2021-08-09,1,175.00,182000.00,1040.00,1040.00,1040.00
67,2021-08-10,1,25.00,26002.50,1040.10,1040.10,1040.10
68,2021-08-11,2,50.00,52005.00,1040.10,1040.10,1040.10
69,2021-08-12,1,25.00,26000.00,1040.00,1040.00,1040.00
