S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2016-09-18,8,455000.00,45500000.00,100.00,100.00,100.00
2,2016-09-25,2,71250.00,7125000.00,100.00,100.00,100.00
3,2016-10-19,1,42500.00,4250000.00,100.00,100.00,100.00
4,2017-01-01,2,2000.00,200000.00,100.00,100.00,100.00
5,2017-01-10,5,2200.00,224600.00,104.00,102.00,102.00
6,2017-01-17,1,1001.00,104104.00,104.00,104.00,104.00
7,2017-01-31,5,101000.00,11063992.00,114.00,106.00,114.00
8,2017-03-23,2,20.00,2340.00,118.00,116.00,118.00
9,2017-06-21,1,53250.00,6390000.00,120.00,120.00,120.00
10,2018-02-04,1,10.00,1220.00,122.00,122.00,122.00
11,2018-04-01,1,10.00,1240.00,124.00,124.00,124.00
12,2018-09-09,2,20.00,2540.00,128.00,126.00,128.00
13,2018-09-17,2,20.00,2620.00,132.00,130.00,132.00
14,2019-01-13,2,40.00,5400.00,136.00,132.00,136.00
15,2019-01-16,1,20.00,2840.00,142.00,136.00,142.00
16,2019-01-20,1,40.00,5960.00,149.00,142.00,149.00
17,2019-02-20,4,60.00,9590.00,163.00,149.00,163.00
18,2019-03-17,3,30.00,5220.00,177.00,171.00,177.00
19,2019-03-18,1,100.00,18500.00,185.00,185.00,185.00
20,2019-03-19,1,20.00,3880.00,194.00,194.00,194.00
21,2019-04-16,1,10.00,2030.00,203.00,203.00,203.00
22,2019-04-28,2,60.00,12980.00,217.00,213.00,217.00
23,2019-07-25,1,10.00,2270.00,227.00,227.00,227.00
24,2019-09-25,1,10.00,2310.00,231.00,231.00,231.00
25,2019-11-05,6,1001.00,235235.00,235.00,235.00,235.00
26,2019-11-17,1,200.00,47800.00,239.00,239.00,239.00
27,2020-01-01,2,80.00,19600.00,247.00,243.00,247.00
28,2020-01-05,4,40.00,10340.00,266.00,251.00,266.00
29,2020-07-20,8,1000.00,273500.00,276.00,271.00,276.00
30,2020-07-21,9,1040.00,295410.00,303.00,281.00,303.00
31,2020-07-22,3,120.00,38340.00,322.00,310.00,322.00
32,2020-07-27,3,710.00,239980.00,338.00,338.00,338.00
