S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-10-29,417,769150.00,101525130.00,132.00,120.00,132.00
2,2020-11-01,727,1605335.00,232772925.00,145.00,138.00,145.00
3,2020-11-02,428,283550.00,45084010.00,159.00,152.00,159.00
4,2020-11-03,1098,346608.00,59769894.00,174.00,158.00,174.00
5,2020-11-04,709,211485.00,35205320.00,182.00,158.00,165.00
6,2020-11-05,670,279319.00,43264425.00,170.00,149.00,152.00
7,2020-11-08,543,261927.00,41384730.00,162.00,148.00,161.00
8,2020-11-09,412,237260.00,38863054.00,170.00,160.00,162.00
9,2020-11-10,185,148395.00,23770335.00,164.00,158.00,159.00
10,2020-11-11,147,57656.00,9100954.00,161.00,152.00,157.00
11,2020-11-12,213,112455.00,17521151.00,161.00,154.00,158.00
12,2020-11-18,99,29940.00,4579520.00,161.00,150.00,153.00
13,2020-11-19,289,143829.00,22814100.00,165.00,150.00,160.00
14,2020-11-22,129,55820.00,8816230.00,168.00,155.00,155.00
15,2020-11-23,109,50638.00,7848834.00,160.00,152.00,156.00
16,2020-11-24,134,54759.00,8527915.00,160.00,149.00,155.00
17,2020-11-25,633,418270.00,69392912.00,170.00,154.00,170.00
18,2020-11-26,472,176095.00,30188044.00,182.00,163.00,165.00
19,2020-11-29,184,72630.00,11918630.00,170.00,160.00,164.00
20,2020-11-30,241,85580.00,14080840.00,171.00,159.00,169.00
21,2020-12-01,164,69010.00,11297270.00,171.00,160.00,163.00
22,2020-12-02,157,57005.00,9175181.00,170.00,158.00,161.00
23,2020-12-03,128,71987.00,11535653.00,165.00,159.00,159.00
24,2020-12-06,121,49295.00,7604955.00,171.00,152.00,152.00
25,2020-12-07,111,31125.00,4828475.00,158.00,152.00,157.00
26,2020-12-08,142,48874.00,7803945.00,163.00,156.00,159.00
27,2020-12-09,242,104746.00,17117124.00,168.00,159.00,162.00
28,2020-12-10,112,36137.00,5815996.00,165.00,157.00,162.00
29,2020-12-13,89,62850.00,10031063.00,165.00,156.00,160.00
30,2020-12-14,110,34291.00,5439940.00,166.00,157.00,157.00
31,2020-12-15,96,36110.00,5648811.00,160.00,155.00,158.00
32,2020-12-16,54,12840.00,1991430.00,159.00,153.00,155.00
33,2020-12-17,156,69225.00,10472885.00,155.00,148.00,153.00
34,2020-12-20,109,20990.00,3060890.00,155.00,140.00,142.00
35,2020-12-21,113,23675.00,3307080.00,148.00,129.00,139.00
36,2020-12-22,104,22635.00,3301390.00,152.00,143.00,147.00
37,2020-12-23,73,20196.00,2889230.00,149.00,140.00,140.00
38,2020-12-24,76,10750.00,1549580.00,147.00,141.00,141.00
39,2020-12-27,52,10252.00,1464524.00,145.00,141.00,142.00
40,2020-12-28,55,5155.00,739130.00,146.00,141.00,141.00
41,2020-12-29,62,23640.00,3386680.00,147.00,141.00,143.00
42,2020-12-30,124,34885.00,5108995.00,150.00,141.00,146.00
43,2020-12-31,138,62785.00,9495985.00,154.00,146.00,152.00
44,2021-01-03,93,28170.00,4251065.00,155.00,147.00,147.00
45,2021-01-04,83,36896.00,5527871.00,153.00,147.00,147.00
46,2021-01-05,158,53023.00,8254573.00,161.00,146.00,156.00
47,2021-01-06,62,13107.00,2036480.00,163.00,152.00,154.00
48,2021-01-07,75,23570.00,3559480.00,155.00,149.00,152.00
49,2021-01-10,70,18678.00,2799961.00,156.00,147.00,149.00
50,2021-01-11,56,16040.00,2377360.00,154.00,147.00,147.00
51,2021-01-12,55,25095.00,3729410.00,154.00,145.00,150.00
52,2021-01-13,78,26253.00,3923125.00,156.00,143.00,150.00
53,2021-01-17,73,20853.00,3090817.00,150.00,147.00,147.00
54,2021-01-18,73,18435.00,2725590.00,150.00,147.00,147.00
55,2021-01-19,81,26348.00,3834552.00,150.00,145.00,145.00
56,2021-01-20,98,29909.00,4419522.00,150.00,144.00,150.00
57,2021-01-21,252,118302.00,18118992.00,159.00,146.00,158.00
58,2021-01-24,838,327084.00,55438870.00,173.00,160.00,173.00
59,2021-01-25,898,317708.00,57732944.00,190.00,170.00,182.00
60,2021-01-26,312,106317.00,18699716.00,184.00,173.00,173.00
61,2021-01-27,162,38962.00,6759866.00,179.00,168.00,173.00
62,2021-01-28,213,62688.00,10583156.00,176.00,165.00,166.00
63,2021-01-31,215,70179.00,11413749.00,167.00,160.00,163.00
64,2021-02-01,163,49517.00,8217882.00,169.00,163.00,165.00
65,2021-02-02,149,44598.00,7416985.00,170.00,162.00,167.00
66,2021-02-03,249,100257.00,16751449.00,173.00,161.00,165.00
67,2021-02-04,197,81866.00,13771840.00,171.00,164.00,170.00
68,2021-02-07,268,124521.00,20795231.00,173.00,164.00,166.00
69,2021-02-08,151,65275.00,10796570.00,169.00,163.00,164.00
70,2021-02-09,226,71175.00,11501824.00,172.00,159.00,159.00
71,2021-02-10,168,56308.00,9166930.00,167.00,156.00,163.00
72,2021-02-11,132,47230.00,7634120.00,165.00,160.00,162.00
73,2021-02-14,104,36982.00,5954907.00,165.00,158.00,160.00
74,2021-02-15,132,55874.00,9020532.00,167.00,160.00,162.00
75,2021-02-16,156,75654.00,12494937.00,172.00,160.00,164.00
76,2021-02-17,397,142722.00,24128163.00,173.00,163.00,171.00
77,2021-02-18,353,104136.00,17745283.00,177.00,168.00,170.00
78,2021-02-21,812,358581.00,65212930.00,187.00,170.00,187.00
79,2021-02-22,438,139609.00,28476480.00,205.00,196.00,205.00
80,2021-02-23,1064,343660.00,66503359.00,223.00,185.00,198.00
81,2021-02-24,439,154510.00,30021893.00,207.00,187.00,190.00
82,2021-02-25,227,50754.00,9538887.00,199.00,184.00,186.00
83,2021-02-28,279,92316.00,16765555.00,186.00,178.00,180.00
84,2021-03-01,216,57873.00,10469875.00,189.00,173.00,182.00
85,2021-03-02,158,46619.00,8296519.00,185.00,175.00,179.00
86,2021-03-03,141,42817.00,7431176.00,179.00,170.00,173.00
87,2021-03-04,195,58025.00,10445944.00,186.00,174.00,182.00
