S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-28,2,25.00,7525.00,301.00,301.00,301.00
2,2010-05-17,1,156.00,47892.00,307.00,307.00,307.00
3,2010-09-05,9,17751.00,5449557.00,307.00,307.00,307.00
4,2010-09-06,9,9498.00,2915886.00,307.00,307.00,307.00
5,2010-09-26,1,33.00,10329.00,313.00,313.00,313.00
6,2010-09-27,1,52.00,16276.00,313.00,313.00,313.00
7,2010-10-31,1,60.00,18420.00,307.00,307.00,307.00
8,2010-11-16,1,24.00,7512.00,313.00,313.00,313.00
9,2010-11-24,2,3676.00,1128532.00,307.00,307.00,307.00
10,2011-02-22,5,677.00,207839.00,307.00,307.00,307.00
11,2012-02-01,1,10.00,2560.00,256.00,256.00,256.00
12,2012-02-13,1,10.00,2610.00,261.00,261.00,261.00
13,2012-09-13,1,10.00,2020.00,202.00,202.00,202.00
14,2012-10-15,4,57.00,12102.00,218.00,206.00,218.00
15,2012-10-17,2,41.00,9206.00,226.00,222.00,226.00
16,2013-06-23,1,36.00,7524.00,209.00,209.00,209.00
17,2013-09-05,1,15.00,3195.00,213.00,213.00,213.00
18,2014-02-25,1,108.00,23436.00,217.00,217.00,217.00
19,2014-03-20,1,10.00,2170.00,217.00,217.00,217.00
20,2014-07-13,2,167.00,34028.00,204.00,200.00,204.00
21,2014-11-20,1,663.00,137904.00,208.00,208.00,208.00
22,2014-11-23,1,72.00,15264.00,212.00,212.00,212.00
23,2015-03-02,3,220.00,49160.00,224.00,216.00,224.00
24,2015-03-04,2,1420.00,333700.00,235.00,235.00,235.00
25,2015-04-23,2,21279.00,4468590.00,210.00,210.00,210.00
26,2015-05-25,5,5451.00,1199220.00,220.00,220.00,220.00
27,2015-07-22,5,14553.00,3259872.00,224.00,224.00,224.00
28,2015-09-03,1,3654.00,833112.00,228.00,228.00,228.00
29,2015-09-29,2,4305.00,1000736.00,236.00,232.00,236.00
30,2016-06-28,2,450.00,96750.00,215.00,215.00,215.00
31,2016-11-21,2,1195.00,266445.00,223.00,219.00,223.00
32,2016-12-21,2,37.00,8507.00,231.00,227.00,231.00
33,2017-01-19,2,111.00,26485.00,239.00,235.00,239.00
34,2017-03-29,3,17675.00,4299921.00,251.00,243.00,251.00
35,2017-04-03,2,160.00,41710.00,261.00,256.00,261.00
36,2017-04-25,3,562.00,153622.00,276.00,266.00,276.00
37,2017-05-11,2,318.00,90898.00,286.00,281.00,286.00
38,2017-07-25,2,1499.00,368714.00,246.00,242.00,246.00
39,2017-11-06,2,1468.00,374290.00,255.00,250.00,255.00
40,2017-11-15,1,1.00,260.00,0.00,0.00,0.00
41,2017-11-26,2,43.00,11345.00,265.00,260.00,265.00
42,2017-12-13,12,100.00,27000.00,0.00,0.00,0.00
43,2018-02-04,3,71.00,19675.00,280.00,270.00,280.00
44,2018-02-12,7,1806.00,538562.00,308.00,285.00,308.00
45,2018-05-27,1,10.00,2500.00,250.00,250.00,250.00
46,2018-06-20,1,1.00,255.00,0.00,0.00,0.00
47,2018-07-16,3,1913.00,497330.00,260.00,255.00,260.00
48,2018-08-06,2,201.00,54215.00,270.00,265.00,270.00
49,2018-08-09,2,1778.00,497790.00,280.00,275.00,280.00
50,2018-08-12,2,190.00,55050.00,290.00,285.00,290.00
51,2018-08-21,1,10.00,3040.00,304.00,304.00,304.00
52,2018-09-06,1,10.00,3190.00,319.00,319.00,319.00
53,2018-09-17,1,10.00,3340.00,334.00,334.00,334.00
54,2018-09-23,3,496.00,180334.00,364.00,350.00,364.00
55,2018-09-30,2,148.00,55874.00,378.00,371.00,378.00
56,2018-11-15,1,10.00,4150.00,415.00,415.00,415.00
57,2019-01-02,1,10.00,4350.00,435.00,435.00,435.00
58,2019-01-08,1,10.00,4560.00,456.00,456.00,456.00
59,2019-01-14,1,10.00,4780.00,478.00,478.00,478.00
60,2019-01-30,1,10.00,5010.00,501.00,501.00,501.00
61,2019-05-06,4,1403.00,601384.00,440.00,420.00,440.00
62,2019-06-12,4,3010.00,1439620.00,484.00,462.00,484.00
63,2019-07-04,1,8.00,3944.00,484.00,484.00,484.00
64,2019-07-07,1,2.00,986.00,484.00,484.00,484.00
65,2019-07-08,1,62000.00,30008000.00,484.00,484.00,484.00
66,2019-07-15,1,8000.00,3872000.00,484.00,484.00,484.00
67,2019-07-31,1,10.00,4930.00,493.00,493.00,493.00
68,2019-08-07,2,20.00,10440.00,527.00,517.00,527.00
69,2019-08-11,3,229.00,131345.00,575.00,553.00,575.00
70,2019-08-26,1,10.00,6030.00,603.00,603.00,603.00
71,2019-09-16,2,20.00,12420.00,627.00,615.00,627.00
72,2019-09-23,1,10.00,6580.00,658.00,658.00,658.00
73,2019-11-05,1,40000.00,26320000.00,658.00,658.00,658.00
74,2019-11-06,5,50.00,34850.00,723.00,671.00,723.00
75,2019-11-07,7,3285.00,2610125.00,795.00,737.00,795.00
76,2019-11-13,4,24357.00,20508274.00,858.00,810.00,858.00
77,2019-11-14,5,50.00,45460.00,943.00,875.00,943.00
78,2019-11-17,5,50.00,49950.00,1037.00,961.00,1037.00
79,2019-11-18,6,150.00,168940.00,1140.00,1057.00,1140.00
80,2019-11-19,9,348.00,434102.00,1254.00,1162.00,1254.00
81,2019-11-20,9,659.00,906291.00,1379.00,1279.00,1379.00
82,2019-11-21,148,7993.00,12042967.00,1516.00,1406.00,1516.00
83,2019-11-24,80,4851.00,6983360.00,1607.00,1365.00,1365.00
84,2019-11-25,50,1776.00,2311569.00,1392.00,1265.00,1349.00
