S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-06-13,5,175.00,70000.00,400.00,400.00,400.00
2,2010-06-23,5,75.00,29625.00,395.00,395.00,395.00
3,2010-06-29,13,455.00,182000.00,400.00,400.00,400.00
4,2010-06-30,1,34.00,13328.00,392.00,392.00,392.00
5,2010-07-01,1,35.00,13720.00,392.00,392.00,392.00
6,2010-07-04,7,245.00,96670.00,395.00,392.00,395.00
7,2010-07-19,2,144.00,56740.00,395.00,388.00,395.00
8,2010-08-01,1,35.00,14070.00,402.00,402.00,402.00
9,2010-08-03,2,183.00,75030.00,410.00,410.00,410.00
10,2010-08-05,2,75.00,30750.00,410.00,410.00,410.00
11,2010-08-08,8,251.00,104165.00,415.00,415.00,415.00
12,2010-08-10,10,473.00,191316.00,407.00,400.00,405.00
13,2010-08-11,25,629.00,254425.00,405.00,400.00,400.00
14,2010-08-17,1,500.00,200000.00,400.00,400.00,400.00
15,2010-08-19,2,114.00,45030.00,395.00,395.00,395.00
16,2010-08-22,1,33.00,12870.00,390.00,390.00,390.00
17,2010-08-30,2,300.00,115500.00,385.00,385.00,385.00
18,2010-09-12,2,377.00,143260.00,380.00,380.00,380.00
19,2010-09-14,6,1016.00,372066.00,373.00,356.00,356.00
20,2010-09-15,1,200.00,70000.00,350.00,350.00,350.00
21,2010-09-16,1,300.00,103500.00,345.00,345.00,345.00
22,2010-09-26,1,58.00,20010.00,345.00,345.00,345.00
23,2010-09-28,1,35.00,11865.00,339.00,339.00,339.00
24,2010-09-30,1,35.00,11865.00,339.00,339.00,339.00
25,2010-10-03,8,1191.00,385863.00,333.00,315.00,315.00
26,2010-10-21,1,70.00,22050.00,315.00,315.00,315.00
27,2010-10-26,1,150.00,46650.00,311.00,311.00,311.00
28,2010-11-02,13,760.00,240280.00,317.00,315.00,315.00
29,2010-11-03,2,150.00,47000.00,315.00,310.00,310.00
30,2010-11-09,1,162.00,50544.00,312.00,312.00,312.00
31,2010-11-10,7,525.00,163625.00,312.00,311.00,312.00
32,2010-11-14,1,35.00,11095.00,317.00,317.00,317.00
33,2010-11-15,1,32.00,10112.00,316.00,316.00,316.00
34,2010-11-21,2,98.00,31360.00,320.00,320.00,320.00
35,2010-11-24,2,179.00,56241.00,315.00,314.00,315.00
36,2010-11-25,4,140.00,43610.00,313.00,311.00,313.00
37,2010-11-28,2,70.00,21315.00,307.00,302.00,302.00
38,2010-12-01,49,1750.00,548660.00,320.00,308.00,320.00
39,2010-12-14,15,525.00,168000.00,320.00,320.00,320.00
40,2010-12-15,15,525.00,168000.00,320.00,320.00,320.00
41,2010-12-19,10,350.00,111615.00,319.00,318.00,318.00
42,2010-12-20,14,470.00,150310.00,320.00,314.00,314.00
43,2010-12-22,26,1785.00,551775.00,315.00,309.00,309.00
44,2010-12-26,15,505.00,156915.00,311.00,310.00,311.00
45,2011-01-05,1,100.00,30500.00,305.00,305.00,305.00
46,2011-01-09,29,1113.00,339332.00,305.00,304.00,304.00
47,2011-01-10,1,35.00,10500.00,300.00,300.00,300.00
48,2011-01-11,3,120.00,35210.00,295.00,290.00,290.00
49,2011-01-12,3,105.00,29400.00,285.00,275.00,275.00
50,2011-01-13,4,133.00,36071.00,273.00,270.00,273.00
51,2011-01-17,11,395.00,108560.00,275.00,274.00,275.00
52,2011-01-18,16,560.00,154350.00,280.00,275.00,280.00
53,2011-01-19,5,175.00,47530.00,275.00,270.00,272.00
54,2011-02-08,3,1353.00,212511.00,160.00,157.00,157.00
55,2011-02-09,1,532.00,107996.00,203.00,203.00,203.00
56,2011-02-10,3,1557.00,312802.00,207.00,200.00,200.00
57,2011-02-13,1,50.00,10000.00,200.00,200.00,200.00
58,2011-02-16,3,407.00,80783.00,199.00,196.00,199.00
59,2011-02-20,3,286.00,59468.00,210.00,202.00,210.00
60,2011-02-21,4,700.00,150600.00,219.00,211.00,219.00
61,2011-02-22,2,500.00,107500.00,215.00,215.00,215.00
62,2011-02-23,7,1730.00,370910.00,219.00,207.00,207.00
63,2011-02-24,8,1254.00,251133.00,203.00,199.00,202.00
64,2011-02-27,2,66.00,13596.00,206.00,206.00,206.00
65,2011-02-28,2,200.00,41000.00,205.00,205.00,205.00
66,2011-03-03,3,435.00,87375.00,205.00,200.00,200.00
67,2011-03-07,1,87.00,17400.00,200.00,200.00,200.00
68,2011-03-09,4,450.00,87022.00,196.00,190.00,190.00
69,2011-03-10,10,443.00,84506.00,193.00,187.00,190.00
70,2011-03-14,1,190.00,35530.00,187.00,187.00,187.00
71,2011-03-21,1,87.00,16095.00,185.00,185.00,185.00
72,2011-03-23,2,143.00,26560.00,188.00,185.00,185.00
73,2011-03-28,1,900.00,169200.00,188.00,188.00,188.00
74,2011-03-29,1,981.00,181485.00,185.00,185.00,185.00
75,2011-04-06,2,51.00,9483.00,188.00,185.00,188.00
76,2011-04-10,1,30.00,5550.00,185.00,185.00,185.00
77,2011-04-17,1,245.00,44590.00,182.00,182.00,182.00
78,2011-04-20,1,200.00,36800.00,184.00,184.00,184.00
79,2011-04-21,4,513.00,90075.00,181.00,172.00,172.00
80,2011-04-25,1,35.00,6125.00,175.00,175.00,175.00
81,2011-04-27,15,1050.00,183750.00,175.00,175.00,175.00
82,2011-05-04,1,3145.00,540940.00,172.00,172.00,172.00
83,2011-05-10,9,621.00,103697.00,170.00,164.00,169.00
84,2011-05-24,1,140.00,23240.00,166.00,166.00,166.00
