S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-09-24,34,4359.00,668905.00,161.00,149.00,158.00
2,2019-09-25,26,6240.00,929495.00,161.00,147.00,147.00
3,2019-09-26,17,3161.00,455938.00,147.00,142.00,146.00
4,2019-09-29,8,696.00,102614.00,151.00,147.00,147.00
5,2019-09-30,9,1120.00,171390.00,155.00,148.00,155.00
6,2019-10-01,9,2540.00,384920.00,158.00,151.00,151.00
7,2019-10-02,7,1480.00,217790.00,150.00,147.00,147.00
8,2019-10-03,7,1148.00,171674.00,151.00,148.00,151.00
9,2019-10-14,2,166.00,25182.00,152.00,150.00,150.00
10,2019-10-15,5,2912.00,433642.00,149.00,148.00,149.00
11,2019-10-16,5,440.00,65594.00,151.00,148.00,149.00
12,2019-10-17,6,1396.00,207253.00,150.00,147.00,147.00
13,2019-10-20,5,330.00,48980.00,151.00,148.00,148.00
14,2019-10-21,6,693.00,103811.00,151.00,148.00,149.00
15,2019-10-22,5,440.00,65290.00,150.00,148.00,150.00
16,2019-10-23,8,2459.00,364378.00,153.00,147.00,149.00
17,2019-10-24,7,1282.00,192288.00,152.00,149.00,150.00
18,2019-10-31,2,1300.00,195000.00,150.00,150.00,150.00
19,2019-11-03,4,264.00,39272.00,150.00,148.00,150.00
20,2019-11-04,6,1610.00,238900.00,150.00,148.00,148.00
21,2019-11-05,4,122.00,18544.00,153.00,150.00,152.00
22,2019-11-06,12,3460.00,507302.00,149.00,146.00,147.00
23,2019-11-07,9,3002.00,440184.00,148.00,146.00,148.00
24,2019-11-10,4,221.00,32291.00,147.00,146.00,147.00
25,2019-11-12,7,736.00,106793.00,146.00,143.00,146.00
26,2019-11-13,6,796.00,117796.00,150.00,146.00,148.00
27,2019-11-14,5,1724.00,254112.00,150.00,147.00,147.00
28,2019-11-17,12,2363.00,343395.00,146.00,144.00,144.00
29,2019-11-18,13,2458.00,353710.00,146.00,143.00,145.00
30,2019-11-19,7,1203.00,172929.00,144.00,143.00,143.00
31,2019-11-20,4,1454.00,209317.00,144.00,143.00,144.00
32,2019-11-21,4,1070.00,153010.00,143.00,143.00,143.00
33,2019-11-24,8,2689.00,380749.00,142.00,141.00,141.00
34,2019-11-25,4,498.00,71193.00,143.00,142.00,142.00
35,2019-11-26,21,9131.00,1279315.00,142.00,139.00,139.00
36,2019-11-27,4,2237.00,315684.00,143.00,141.00,143.00
37,2019-11-28,7,1643.00,233782.00,143.00,141.00,142.00
38,2019-12-01,17,3374.00,469993.00,141.00,138.00,141.00
39,2019-12-02,9,1820.00,251890.00,139.00,138.00,138.00
40,2019-12-03,4,400.00,56400.00,142.00,140.00,141.00
41,2019-12-04,3,170.00,24410.00,144.00,143.00,144.00
42,2019-12-05,8,1004.00,146844.00,147.00,145.00,145.00
43,2019-12-08,6,4421.00,633545.00,145.00,141.00,145.00
44,2019-12-09,2,80.00,11690.00,147.00,146.00,146.00
45,2019-12-10,10,2217.00,318751.00,145.00,143.00,143.00
46,2019-12-11,12,6576.00,950336.00,147.00,143.00,145.00
47,2019-12-12,13,3518.00,512528.00,146.00,145.00,146.00
48,2019-12-15,38,5339.00,818892.00,160.00,148.00,151.00
49,2019-12-16,14,2232.00,335718.00,154.00,149.00,149.00
50,2019-12-17,16,3648.00,550896.00,154.00,149.00,151.00
51,2019-12-18,18,2044.00,312117.00,155.00,151.00,152.00
52,2019-12-19,2,869.00,131350.00,152.00,150.00,152.00
53,2019-12-22,15,8206.00,1255960.00,155.00,150.00,155.00
54,2019-12-23,10,1932.00,293146.00,152.00,151.00,151.00
55,2019-12-24,27,5656.00,871810.00,157.00,152.00,153.00
56,2019-12-25,26,10127.00,1539381.00,154.00,151.00,151.00
57,2019-12-26,29,9207.00,1432350.00,157.00,153.00,155.00
58,2019-12-29,17,3447.00,539452.00,158.00,153.00,153.00
59,2019-12-30,10,960.00,147783.00,156.00,153.00,156.00
60,2019-12-31,12,3180.00,480390.00,155.00,150.00,153.00
61,2020-01-01,4,879.00,135366.00,154.00,154.00,154.00
62,2020-01-02,23,5548.00,852191.00,154.00,152.00,153.00
63,2020-01-05,12,6504.00,1007123.00,156.00,151.00,156.00
64,2020-01-06,9,1856.00,287525.00,159.00,154.00,154.00
65,2020-01-07,26,6346.00,995957.00,160.00,154.00,159.00
66,2020-01-08,30,9854.00,1562777.00,168.00,153.00,159.00
67,2020-01-09,16,4828.00,765358.00,162.00,156.00,160.00
68,2020-01-12,26,3231.00,529690.00,175.00,158.00,170.00
69,2020-01-13,43,11600.00,1970335.00,174.00,165.00,166.00
70,2020-01-14,14,3214.00,544189.00,172.00,163.00,172.00
71,2020-01-15,8,603.00,102707.00,171.00,169.00,170.00
72,2020-01-16,31,13777.00,2412027.00,187.00,170.00,186.00
73,2020-01-19,52,16585.00,3078781.00,193.00,181.00,193.00
74,2020-01-20,25,5078.00,935016.00,190.00,179.00,183.00
75,2020-01-21,38,9522.00,1713680.00,182.00,177.00,180.00
76,2020-01-22,7,1400.00,246700.00,177.00,176.00,176.00
77,2020-01-23,6,363.00,63411.00,178.00,174.00,174.00
78,2020-01-26,17,2370.00,414044.00,180.00,171.00,174.00
79,2020-01-27,16,3818.00,661414.00,180.00,168.00,180.00
80,2020-01-28,26,4021.00,697839.00,182.00,171.00,176.00
81,2020-01-29,18,1694.00,290781.00,176.00,170.00,176.00
82,2020-01-30,13,2018.00,353242.00,178.00,173.00,174.00
83,2020-02-02,11,1340.00,239350.00,185.00,174.00,185.00
84,2020-02-03,37,14940.00,2690534.00,185.00,177.00,184.00
85,2020-02-04,105,38462.00,7358281.00,196.00,184.00,189.00
86,2020-02-05,24,8551.00,1627785.00,194.00,190.00,190.00
87,2020-02-06,22,4664.00,884134.00,193.00,188.00,190.00
88,2020-02-09,13,2411.00,447294.00,188.00,183.00,186.00
89,2020-02-10,19,6790.00,1278494.00,190.00,184.00,187.00
90,2020-02-11,29,7714.00,1461767.00,190.00,185.00,189.00
91,2020-02-12,13,3928.00,739597.00,189.00,187.00,189.00
92,2020-02-13,21,12160.00,2253863.00,187.00,183.00,187.00
93,2020-02-16,5,4732.00,875520.00,186.00,185.00,185.00
94,2020-02-17,18,3333.00,635380.00,194.00,187.00,190.00
95,2020-02-18,8,2644.00,498414.00,196.00,188.00,188.00
96,2020-02-19,21,4280.00,824865.00,195.00,188.00,192.00
97,2020-02-20,13,4692.00,913938.00,196.00,192.00,195.00
98,2020-02-23,30,8660.00,1741035.00,207.00,195.00,207.00
