S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-27,4,78.00,16026.00,207.00,203.00,203.00
2,2010-04-28,1,24.00,4776.00,199.00,199.00,199.00
3,2010-05-18,3,161.00,31406.00,196.00,193.00,193.00
4,2010-05-23,5,362.00,67766.00,190.00,184.00,185.00
5,2010-06-07,1,20.00,3720.00,186.00,186.00,186.00
6,2010-06-09,1,20.00,3780.00,189.00,189.00,189.00
7,2010-06-14,2,40.00,7740.00,195.00,192.00,195.00
8,2010-06-15,3,260.00,50544.00,198.00,192.00,192.00
9,2010-06-21,2,37.00,7275.00,198.00,195.00,198.00
10,2010-06-23,6,120.00,25060.00,213.00,201.00,213.00
11,2010-06-24,1,20.00,4340.00,217.00,217.00,217.00
12,2010-06-30,5,126.00,28210.00,225.00,221.00,225.00
13,2010-07-01,5,90.00,20310.00,235.00,221.00,235.00
14,2010-07-05,1,34.00,8126.00,239.00,239.00,239.00
15,2010-07-06,3,71.00,17344.00,245.00,242.00,245.00
16,2010-07-07,2,20.00,5020.00,253.00,249.00,253.00
17,2010-07-08,12,232.00,59631.00,263.00,248.00,253.00
18,2010-07-14,1,20.00,5300.00,265.00,265.00,265.00
19,2010-07-15,7,24466.00,6663858.00,273.00,268.00,270.00
20,2010-09-08,4,63.00,16465.00,265.00,260.00,260.00
21,2010-09-13,1,20.00,5460.00,273.00,273.00,273.00
22,2010-09-14,1,10.00,2680.00,268.00,268.00,268.00
23,2010-10-05,1,20.00,5500.00,275.00,275.00,275.00
24,2010-10-06,4,24988.00,7246284.00,290.00,283.00,290.00
25,2010-10-25,3,51.00,15045.00,295.00,295.00,295.00
26,2011-02-23,3,102.00,30090.00,295.00,295.00,295.00
27,2011-05-26,1,12.00,3540.00,295.00,295.00,295.00
28,2011-07-13,1,12.00,3540.00,295.00,295.00,295.00
29,2011-07-28,1,34.00,10030.00,295.00,295.00,295.00
30,2011-09-12,1,12.00,3480.00,290.00,290.00,290.00
31,2011-10-20,1,1680.00,478800.00,285.00,285.00,285.00
32,2012-07-16,1,34.00,9180.00,270.00,270.00,270.00
33,2012-11-04,1,101.00,26765.00,265.00,265.00,265.00
34,2013-07-30,5,50.00,12510.00,260.00,241.00,241.00
35,2013-07-31,7,80.00,17960.00,237.00,217.00,217.00
36,2013-08-01,3,30.00,6270.00,213.00,205.00,205.00
37,2013-08-08,1,50.00,10050.00,201.00,201.00,201.00
38,2013-08-11,1,10.00,1970.00,197.00,197.00,197.00
39,2013-08-12,3,30.00,5730.00,194.00,188.00,188.00
40,2013-08-14,3,30.00,5460.00,185.00,179.00,179.00
41,2013-08-15,6,150.00,26160.00,176.00,170.00,170.00
42,2013-08-18,14,838.00,141012.00,173.00,159.00,159.00
43,2013-08-19,35,3482.00,529151.00,170.00,144.00,170.00
44,2013-08-20,41,7395.00,1265666.00,178.00,165.00,170.00
45,2013-08-25,41,11610.00,2155065.00,187.00,170.00,187.00
46,2013-08-26,19,6344.00,1299980.00,205.00,190.00,205.00
47,2013-08-27,54,10745.00,2283397.00,225.00,201.00,201.00
48,2013-08-29,26,2720.00,524406.00,198.00,185.00,185.00
49,2013-09-01,24,7793.00,1347511.00,183.00,167.00,170.00
50,2013-09-02,4,350.00,61000.00,176.00,173.00,173.00
51,2013-09-03,12,1883.00,320685.00,176.00,167.00,170.00
52,2013-09-04,11,1434.00,244038.00,173.00,167.00,173.00
53,2013-09-05,5,2136.00,366876.00,176.00,170.00,170.00
54,2013-09-08,2,364.00,60788.00,167.00,167.00,167.00
55,2013-09-09,1,34.00,5576.00,164.00,164.00,164.00
56,2013-09-10,4,1500.00,242800.00,164.00,161.00,164.00
57,2013-09-11,4,908.00,146936.00,163.00,161.00,163.00
58,2013-09-12,3,824.00,131840.00,160.00,160.00,160.00
59,2013-09-15,3,940.00,150400.00,160.00,160.00,160.00
60,2013-09-16,5,650.00,104696.00,162.00,160.00,162.00
61,2013-09-17,7,845.00,135452.00,162.00,160.00,160.00
62,2013-09-19,4,796.00,133024.00,172.00,163.00,172.00
63,2013-09-22,9,1269.00,208129.00,169.00,161.00,161.00
64,2013-09-23,7,1460.00,232566.00,160.00,158.00,160.00
65,2013-09-25,15,1108.00,161523.00,157.00,144.00,144.00
66,2013-09-26,1,20.00,2840.00,142.00,142.00,142.00
67,2013-09-29,6,622.00,85213.00,140.00,135.00,135.00
