S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-05-30,5,50.00,15850.00,329.00,305.00,329.00
2,2017-05-31,13,178.00,63296.00,361.00,335.00,361.00
3,2017-06-01,38,4061.00,1611203.00,397.00,368.00,397.00
4,2017-06-04,918,49071.00,19694451.00,434.00,384.00,423.00
5,2017-06-05,445,21293.00,8855592.00,421.00,407.00,419.00
6,2017-06-06,360,25537.00,10632858.00,425.00,411.00,417.00
7,2017-06-07,309,13821.00,5702257.00,420.00,408.00,408.00
8,2017-06-08,268,26653.00,10718316.00,412.00,399.00,404.00
9,2017-06-11,167,5763.00,2263772.00,401.00,391.00,391.00
10,2017-06-12,136,7224.00,2796595.00,391.00,385.00,386.00
11,2017-06-13,138,5391.00,2087554.00,395.00,380.00,391.00
12,2017-06-14,139,7302.00,2824040.00,390.00,385.00,388.00
13,2017-06-15,252,8263.00,3189949.00,396.00,382.00,382.00
14,2017-06-18,114,4470.00,1690235.00,385.00,375.00,378.00
15,2017-06-19,68,4189.00,1531826.00,380.00,362.00,363.00
16,2017-06-20,81,2483.00,899016.00,374.00,356.00,374.00
17,2017-06-21,88,1679.00,617975.00,374.00,363.00,369.00
18,2017-06-22,61,1763.00,649207.00,372.00,365.00,367.00
19,2017-06-25,49,2346.00,861490.00,375.00,360.00,369.00
20,2017-06-27,80,3500.00,1269888.00,367.00,360.00,360.00
21,2017-06-28,66,2711.00,975043.00,365.00,358.00,359.00
22,2017-07-02,152,2447.00,849671.00,353.00,345.00,346.00
23,2017-07-03,79,4070.00,1421688.00,353.00,345.00,345.00
24,2017-07-04,32,1804.00,618904.00,350.00,341.00,341.00
25,2017-07-05,91,3798.00,1285437.00,344.00,336.00,340.00
26,2017-07-06,55,2097.00,724732.00,352.00,341.00,342.00
27,2017-07-09,58,3039.00,1032826.00,344.00,336.00,337.00
28,2017-07-10,174,5720.00,1914778.00,338.00,331.00,331.00
29,2017-07-11,71,5026.00,1682074.00,344.00,330.00,339.00
30,2017-07-12,60,4177.00,1442171.00,354.00,334.00,352.00
31,2017-07-13,76,3008.00,1031846.00,347.00,341.00,341.00
32,2017-07-16,30,1372.00,462056.00,341.00,335.00,336.00
33,2017-07-17,62,1888.00,641270.00,345.00,333.00,340.00
34,2017-07-18,47,1647.00,563319.00,348.00,337.00,345.00
35,2017-07-19,43,2661.00,919975.00,363.00,340.00,344.00
36,2017-07-20,207,5354.00,1809377.00,344.00,333.00,340.00
37,2017-07-23,95,2588.00,866698.00,340.00,334.00,336.00
38,2017-07-24,77,1995.00,672194.00,340.00,334.00,337.00
39,2017-07-25,64,1489.00,503971.00,340.00,335.00,337.00
40,2017-07-26,110,6312.00,2159088.00,345.00,340.00,345.00
41,2017-07-27,92,2004.00,679539.00,350.00,330.00,344.00
42,2017-07-30,45,2321.00,786398.00,344.00,335.00,337.00
43,2017-07-31,93,5884.00,1980523.00,340.00,332.00,338.00
44,2017-08-01,128,5146.00,1789939.00,360.00,339.00,360.00
45,2017-08-02,79,3739.00,1287539.00,353.00,335.00,341.00
46,2017-08-03,106,1889.00,648294.00,349.00,337.00,349.00
47,2017-08-06,61,1633.00,558332.00,346.00,339.00,341.00
48,2017-08-07,89,7671.00,2578978.00,341.00,333.00,334.00
49,2017-08-09,112,5343.00,1769598.00,334.00,329.00,333.00
50,2017-08-10,76,2688.00,887406.00,333.00,328.00,331.00
51,2017-08-13,53,3814.00,1248738.00,331.00,322.00,325.00
52,2017-08-15,69,4539.00,1425738.00,324.00,307.00,312.00
53,2017-08-16,61,3854.00,1196876.00,322.00,303.00,309.00
54,2017-08-17,42,1299.00,395102.00,307.00,300.00,307.00
55,2017-08-20,42,1556.00,467270.00,302.00,296.00,300.00
56,2017-08-21,35,842.00,249803.00,305.00,290.00,294.00
57,2017-08-22,104,4023.00,1169111.00,296.00,282.00,291.00
58,2017-08-23,65,1338.00,385746.00,296.00,282.00,288.00
59,2017-08-24,53,1141.00,326884.00,294.00,284.00,290.00
60,2017-08-27,57,6252.00,1759922.00,300.00,275.00,300.00
61,2017-08-28,109,2635.00,772232.00,310.00,286.00,304.00
62,2017-08-30,31,689.00,202536.00,298.00,290.00,290.00
63,2017-08-31,46,1122.00,320077.00,290.00,282.00,282.00
64,2017-09-04,89,2279.00,616621.00,278.00,265.00,278.00
65,2017-09-06,63,2243.00,617761.00,279.00,273.00,274.00
66,2017-09-07,101,5305.00,1401361.00,274.00,254.00,260.00
67,2017-09-10,48,1852.00,463641.00,256.00,246.00,251.00
68,2017-09-11,31,549.00,135893.00,250.00,243.00,246.00
69,2017-09-12,36,1127.00,273477.00,245.00,241.00,244.00
70,2017-09-13,19,1139.00,278845.00,248.00,243.00,248.00
71,2017-09-14,46,1826.00,460312.00,257.00,247.00,257.00
72,2017-09-17,31,1937.00,500310.00,266.00,253.00,266.00
73,2017-09-18,18,1112.00,293283.00,271.00,261.00,263.00
74,2017-09-20,19,449.00,116700.00,261.00,258.00,260.00
75,2017-09-24,14,295.00,76772.00,262.00,256.00,256.00
76,2017-09-25,8,1115.00,285545.00,261.00,255.00,261.00
77,2017-09-26,12,398.00,105506.00,270.00,262.00,270.00
78,2017-10-03,3,206.00,55132.00,270.00,265.00,265.00
79,2017-10-04,5,69.00,17800.00,260.00,255.00,255.00
80,2017-10-08,12,853.00,213842.00,256.00,250.00,250.00
81,2017-10-09,14,274.00,68430.00,255.00,247.00,250.00
82,2017-10-10,9,576.00,142630.00,253.00,243.00,248.00
83,2017-10-11,12,1130.00,288276.00,257.00,252.00,257.00
84,2017-10-12,9,219.00,56160.00,260.00,255.00,260.00
85,2017-10-15,9,124.00,32292.00,262.00,257.00,262.00
86,2017-10-16,23,568.00,150304.00,267.00,262.00,266.00
87,2017-10-17,20,377.00,98524.00,266.00,256.00,259.00
88,2017-10-18,16,723.00,184524.00,260.00,254.00,260.00
89,2017-10-22,17,214.00,55976.00,262.00,258.00,258.00
90,2017-10-23,9,123.00,31688.00,258.00,257.00,258.00
91,2017-10-24,25,829.00,212166.00,257.00,255.00,256.00
92,2017-10-25,9,601.00,154326.00,258.00,253.00,256.00
93,2017-10-29,10,835.00,213335.00,256.00,254.00,254.00
94,2017-10-30,12,2486.00,627416.00,254.00,250.00,251.00
95,2017-10-31,26,1529.00,374540.00,251.00,242.00,248.00
96,2017-11-01,18,234.00,57586.00,252.00,243.00,243.00
97,2017-11-02,37,1835.00,449822.00,252.00,239.00,247.00
98,2017-11-05,18,1355.00,338023.00,255.00,244.00,250.00
99,2017-11-06,31,2843.00,687600.00,250.00,240.00,240.00
100,2017-11-07,16,431.00,104260.00,245.00,240.00,245.00
