S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-12-20,1804,18040.00,5857700.00,325.00,296.00,325.00
2,2020-12-21,1103,11030.00,3252100.00,340.00,293.00,293.00
3,2020-12-22,135,1350.00,363590.00,280.00,264.00,264.00
4,2020-12-23,622,6220.00,1485360.00,259.00,238.00,238.00
5,2020-12-24,1350,13540.00,2995720.00,241.00,215.00,223.00
6,2020-12-27,702,9428.00,2063074.00,224.00,215.00,216.00
7,2020-12-28,514,7002.00,1469730.00,220.00,208.00,212.00
8,2020-12-29,469,5620.00,1153380.00,212.00,204.00,204.00
9,2020-12-30,430,4831.00,975433.00,212.00,200.00,212.00
10,2020-12-31,480,5800.00,1200620.00,222.00,204.00,219.00
11,2021-01-03,327,5328.00,1147238.00,240.00,206.00,224.00
12,2021-01-04,269,3855.00,840160.00,226.00,212.00,222.00
13,2021-01-05,263,4390.00,987010.00,240.00,211.00,232.00
14,2021-01-06,283,3710.00,831240.00,244.00,220.00,230.00
15,2021-01-07,338,10950.00,2487190.00,230.00,222.00,230.00
16,2021-01-10,254,3264.00,727390.00,241.00,218.00,224.00
17,2021-01-11,181,2250.00,497770.00,230.00,218.00,219.00
18,2021-01-12,207,5165.00,1161270.00,227.00,215.00,226.00
19,2021-01-13,244,11441.00,2589928.00,238.00,218.00,225.00
20,2021-01-17,128,1770.00,398630.00,236.00,221.00,222.00
21,2021-01-18,123,1390.00,308400.00,224.00,220.00,221.00
22,2021-01-19,126,5464.00,1195033.00,222.00,216.00,216.00
23,2021-01-20,160,4284.00,943042.00,230.00,216.00,222.00
24,2021-01-21,170,2660.00,595024.00,244.00,220.00,244.00
25,2021-01-24,229,10419.00,2438721.00,256.00,222.00,237.00
26,2021-01-25,172,5656.00,1323078.00,248.00,228.00,240.00
27,2021-01-26,172,4067.00,974826.00,247.00,225.00,234.00
28,2021-01-27,157,4791.00,1107324.00,238.00,226.00,234.00
29,2021-01-28,225,3055.00,703300.00,248.00,224.00,248.00
30,2021-01-31,336,5640.00,1308321.00,248.00,224.00,229.00
31,2021-02-01,268,6595.00,1531850.00,242.00,226.00,236.00
32,2021-02-02,286,12840.00,3034968.00,241.00,228.00,237.00
33,2021-02-03,522,19524.00,4828562.00,257.00,235.00,248.00
34,2021-02-04,272,12669.00,3090425.00,248.00,240.00,244.00
35,2021-02-07,362,13527.00,3327032.00,252.00,232.00,249.00
