S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-06-12,1,50.00,7500.00,150.00,150.00,150.00
2,2019-06-17,1,50.00,7150.00,143.00,143.00,143.00
3,2019-06-18,1,40.00,5440.00,136.00,136.00,136.00
4,2019-07-02,2,100.00,12900.00,130.00,128.00,128.00
5,2019-07-03,1,50.00,6100.00,122.00,122.00,122.00
6,2019-07-04,3,150.00,17200.00,116.00,114.00,114.00
7,2019-07-21,5,130.00,13690.00,109.00,103.00,103.00
8,2019-07-23,2,20.00,2000.00,101.00,99.00,99.00
9,2019-07-24,2,100.00,9450.00,95.00,94.00,94.00
10,2019-07-25,38,3500.00,298087.00,90.00,85.00,85.00
11,2019-07-28,23,821.00,63698.00,84.00,77.00,78.00
12,2019-07-29,27,1900.00,142260.00,78.00,72.00,78.00
13,2019-07-30,27,3410.00,252320.00,77.00,73.00,73.00
14,2019-07-31,21,3041.00,209518.00,72.00,68.00,70.00
15,2019-08-01,10,600.00,42550.00,72.00,70.00,72.00
16,2019-08-04,16,1120.00,80650.00,73.00,71.00,71.00
17,2019-08-05,7,350.00,24450.00,71.00,68.00,68.00
18,2019-08-06,7,520.00,35510.00,69.00,68.00,68.00
19,2019-08-07,4,200.00,13650.00,69.00,68.00,68.00
20,2019-08-08,12,600.00,40800.00,68.00,68.00,68.00
21,2019-08-11,13,590.00,39440.00,68.00,65.00,67.00
22,2019-08-12,13,860.00,56300.00,66.00,65.00,65.00
23,2019-08-13,19,750.00,50450.00,69.00,65.00,67.00
24,2019-08-14,14,610.00,40910.00,68.00,66.00,66.00
25,2019-08-15,4,570.00,38120.00,67.00,66.00,66.00
26,2019-08-18,8,450.00,29100.00,65.00,64.00,65.00
27,2019-08-19,5,250.00,16300.00,66.00,65.00,65.00
28,2019-08-20,7,500.00,32050.00,65.00,64.00,64.00
29,2019-08-21,6,200.00,12560.00,63.00,62.00,62.00
30,2019-08-22,10,550.00,34050.00,62.00,61.00,62.00
31,2019-08-25,3,150.00,9350.00,63.00,62.00,62.00
32,2019-08-26,12,490.00,28980.00,61.00,58.00,60.00
33,2019-08-27,18,760.00,44870.00,61.00,58.00,58.00
34,2019-08-28,4,300.00,17700.00,59.00,59.00,59.00
35,2019-08-29,28,1440.00,86290.00,61.00,59.00,61.00
36,2019-09-01,7,190.00,11500.00,61.00,60.00,60.00
37,2019-09-02,5,250.00,15050.00,61.00,60.00,60.00
38,2019-09-03,8,400.00,24000.00,62.00,59.00,62.00
39,2019-09-04,6,400.00,24350.00,62.00,60.00,62.00
40,2019-09-05,10,700.00,42400.00,61.00,60.00,60.00
41,2019-09-08,5,400.00,23250.00,59.00,57.00,57.00
42,2019-09-09,11,560.00,31540.00,58.00,54.00,55.00
43,2019-09-10,10,1080.00,59950.00,56.00,55.00,55.00
44,2019-09-10,10,1080.00,59950.00,56.00,55.00,55.00
45,2019-09-11,1,50.00,2750.00,55.00,55.00,55.00
46,2019-09-12,21,920.00,50640.00,56.00,54.00,54.00
47,2019-09-15,6,350.00,18650.00,54.00,53.00,54.00
