S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-05-18,1,30.00,124500.00,4150.00,4150.00,4150.00
2,2010-05-23,1,30.00,122040.00,4068.00,4068.00,4068.00
3,2010-06-13,1,20.00,82980.00,4149.00,4149.00,4149.00
4,2010-08-17,3,30.00,129470.00,4401.00,4231.00,4401.00
5,2010-08-29,1,10.00,44890.00,4489.00,4489.00,4489.00
6,2010-09-21,1,30.00,137340.00,4578.00,4578.00,4578.00
7,2010-10-05,1,10.00,47500.00,4750.00,4750.00,4750.00
8,2010-10-11,1,40.00,192000.00,4800.00,4800.00,4800.00
9,2010-10-12,1,20.00,97920.00,4896.00,4896.00,4896.00
10,2010-10-13,1,20.00,99860.00,4993.00,4993.00,4993.00
11,2010-12-07,1,10.00,50920.00,5092.00,5092.00,5092.00
12,2010-12-08,5,50.00,269070.00,5509.00,5193.00,5509.00
13,2010-12-15,2,30.00,169660.00,5730.00,5618.00,5730.00
14,2010-12-22,1,10.00,58440.00,5844.00,5844.00,5844.00
15,2010-12-27,1,10.00,59600.00,5960.00,5960.00,5960.00
16,2011-01-05,2,40.00,236400.00,6000.00,5880.00,5880.00
17,2011-02-09,1,10.00,58000.00,5800.00,5800.00,5800.00
18,2011-02-10,1,30.00,171000.00,5700.00,5700.00,5700.00
19,2011-02-14,1,30.00,174000.00,5800.00,5800.00,5800.00
20,2011-02-17,1,10.00,59160.00,5916.00,5916.00,5916.00
21,2011-02-22,3,50.00,300000.00,6000.00,6000.00,6000.00
22,2011-02-23,2,30.00,181200.00,6120.00,6000.00,6000.00
23,2011-03-01,1,10.00,60000.00,6000.00,6000.00,6000.00
24,2011-03-03,1,20.00,120000.00,6000.00,6000.00,6000.00
25,2011-03-10,3,60.00,360000.00,6000.00,6000.00,6000.00
26,2011-03-14,1,10.00,60000.00,6000.00,6000.00,6000.00
27,2011-03-15,1,10.00,60000.00,6000.00,6000.00,6000.00
28,2011-03-28,2,120.00,705600.00,5880.00,5880.00,5880.00
29,2011-03-29,2,60.00,345780.00,5763.00,5763.00,5763.00
30,2011-04-04,1,100.00,564800.00,5648.00,5648.00,5648.00
31,2011-04-05,1,100.00,555000.00,5550.00,5550.00,5550.00
32,2011-04-18,1,10.00,55000.00,5500.00,5500.00,5500.00
33,2011-04-19,1,30.00,168300.00,5610.00,5610.00,5610.00
34,2011-05-16,1,30.00,165000.00,5500.00,5500.00,5500.00
35,2011-05-31,1,60.00,323400.00,5390.00,5390.00,5390.00
36,2011-06-05,1,50.00,264150.00,5283.00,5283.00,5283.00
37,2011-06-08,1,50.00,258900.00,5178.00,5178.00,5178.00
38,2011-06-09,2,150.00,756200.00,5075.00,4974.00,4974.00
39,2011-06-14,2,20.00,97500.00,4875.00,4875.00,4875.00
