S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-03-24,12,230.00,65860.00,300.00,270.00,270.00
2,2019-03-25,6,210.00,52220.00,257.00,243.00,243.00
3,2019-03-26,9,320.00,72920.00,231.00,219.00,219.00
4,2019-03-27,6,90.00,18030.00,209.00,198.00,198.00
5,2019-03-28,8,190.00,34860.00,189.00,179.00,179.00
6,2019-03-31,7,220.00,37200.00,171.00,162.00,162.00
7,2019-04-01,6,90.00,13290.00,154.00,146.00,146.00
8,2019-04-02,7,160.00,21350.00,139.00,132.00,132.00
9,2019-04-03,8,450.00,53980.00,126.00,119.00,119.00
10,2019-04-04,9,1250.00,135120.00,114.00,108.00,108.00
11,2019-04-07,334,23430.00,2299450.00,103.00,98.00,98.00
12,2019-04-08,478,35689.00,3372116.00,99.00,93.00,94.00
13,2019-04-09,245,17210.00,1618875.00,96.00,92.00,94.00
14,2019-04-10,144,11020.00,1023710.00,94.00,92.00,94.00
15,2019-04-11,127,9145.00,858515.00,96.00,92.00,94.00
16,2019-04-15,129,7510.00,687220.00,94.00,90.00,93.00
17,2019-04-16,208,12540.00,1140460.00,93.00,89.00,90.00
18,2019-04-17,174,13800.00,1247440.00,95.00,89.00,95.00
19,2019-04-18,57,5200.00,475890.00,94.00,90.00,91.00
20,2019-04-21,111,10085.00,913870.00,92.00,90.00,91.00
21,2019-04-22,79,12050.00,1092580.00,92.00,90.00,91.00
22,2019-04-23,91,7340.00,663800.00,92.00,90.00,91.00
23,2019-04-24,104,8950.00,798890.00,91.00,88.00,90.00
24,2019-04-25,94,12520.00,1120280.00,94.00,88.00,94.00
25,2019-04-28,130,15999.00,1484927.00,99.00,89.00,96.00
26,2019-04-29,99,7090.00,651760.00,100.00,91.00,100.00
27,2019-04-30,87,8370.00,779220.00,99.00,90.00,98.00
28,2019-05-02,222,33909.00,3312020.00,102.00,91.00,102.00
29,2019-05-05,65,9080.00,860675.00,98.00,94.00,96.00
30,2019-05-06,77,6441.00,608530.00,97.00,92.00,93.00
31,2019-05-07,81,8170.00,766740.00,99.00,92.00,95.00
32,2019-05-08,53,7055.00,670175.00,97.00,93.00,94.00
33,2019-05-09,52,3590.00,336210.00,95.00,92.00,94.00
34,2019-05-12,66,6670.00,614090.00,94.00,91.00,91.00
35,2019-05-13,82,11075.00,1049975.00,97.00,90.00,95.00
