S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-01-13,1193,51875.00,11620000.00,224.00,224.00,224.00
2,2019-01-14,2,40.00,9400.00,235.00,235.00,235.00
3,2019-01-15,87,3685.00,949980.00,258.00,235.00,258.00
4,2019-01-16,87,3690.00,1044030.00,283.00,258.00,283.00
5,2019-01-17,1250,57490.00,17879130.00,311.00,283.00,311.00
6,2019-01-20,13485,771098.00,246529674.00,342.00,280.00,292.00
7,2019-01-21,7801,403800.00,109118418.00,292.00,263.00,263.00
8,2019-01-22,3691,217311.00,54768950.00,266.00,237.00,260.00
9,2019-01-23,1996,138867.00,37722402.00,286.00,255.00,278.00
10,2019-01-24,1904,122167.00,33758245.00,285.00,270.00,274.00
11,2019-01-27,1943,121117.00,32463556.00,279.00,261.00,267.00
12,2019-01-28,1223,64493.00,17282256.00,270.00,266.00,267.00
13,2019-01-29,1287,95372.00,24964966.00,267.00,258.00,260.00
14,2019-01-30,1091,53226.00,13679435.00,260.00,256.00,256.00
15,2019-01-31,1124,57691.00,14843925.00,260.00,253.00,258.00
16,2019-02-03,1377,99156.00,25089666.00,258.00,251.00,253.00
17,2019-02-04,1379,95240.00,23533289.00,253.00,245.00,246.00
18,2019-02-05,1049,104687.00,25502668.00,248.00,240.00,243.00
19,2019-02-06,1277,67848.00,16240286.00,243.00,237.00,238.00
20,2019-02-07,891,59830.00,14111779.00,238.00,233.00,238.00
21,2019-02-10,1026,59960.00,13938900.00,238.00,229.00,231.00
22,2019-02-11,917,61013.00,14065694.00,237.00,227.00,232.00
23,2019-02-12,732,38083.00,8790743.00,232.00,230.00,231.00
24,2019-02-13,728,41724.00,9613300.00,232.00,229.00,230.00
25,2019-02-14,1103,69628.00,15711303.00,230.00,224.00,228.00
26,2019-02-17,847,45386.00,10294478.00,231.00,225.00,226.00
27,2019-02-18,715,51862.00,11492149.00,226.00,220.00,221.00
28,2019-02-19,782,57539.00,12793830.00,232.00,219.00,232.00
29,2019-02-20,606,41490.00,9350595.00,233.00,223.00,224.00
30,2019-02-21,529,32296.00,7227554.00,228.00,222.00,225.00
31,2019-02-24,694,46222.00,10237995.00,226.00,220.00,222.00
32,2019-02-25,419,35508.00,7886542.00,226.00,220.00,224.00
33,2019-02-26,434,34122.00,7597841.00,225.00,221.00,223.00
34,2019-02-27,411,26480.00,5959027.00,228.00,223.00,224.00
35,2019-03-03,504,40964.00,9164105.00,225.00,222.00,222.00
36,2019-03-05,502,34553.00,7707213.00,225.00,221.00,224.00
37,2019-03-06,499,25338.00,5677765.00,226.00,222.00,226.00
38,2019-03-07,639,47328.00,10764538.00,231.00,225.00,230.00
39,2019-03-10,267,42655.00,9731194.00,234.00,226.00,230.00
40,2019-03-11,716,73683.00,17159955.00,238.00,228.00,235.00
41,2019-03-12,569,97693.00,23442152.00,246.00,234.00,244.00
42,2019-03-13,667,76430.00,18493922.00,248.00,237.00,240.00
43,2019-03-14,436,57279.00,13663320.00,241.00,235.00,240.00
44,2019-03-17,526,59409.00,14506943.00,246.00,240.00,245.00
45,2019-03-18,374,36699.00,8996703.00,248.00,242.00,242.00
46,2019-03-19,259,19638.00,4771501.00,245.00,241.00,242.00
47,2019-03-21,346,38970.00,9365431.00,245.00,238.00,240.00
