S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-03-14,14,58.00,29348.00,0.00,0.00,0.00
2,2018-03-18,1,10.00,5060.00,506.00,506.00,506.00
3,2018-03-19,2,10.00,5160.00,0.00,0.00,0.00
4,2018-04-05,1,10.00,5160.00,516.00,516.00,516.00
5,2018-04-08,2,20.00,10620.00,536.00,526.00,536.00
6,2018-04-10,3,30.00,16690.00,567.00,546.00,567.00
7,2018-04-11,2,20.00,11670.00,589.00,578.00,589.00
8,2018-04-12,2,20.00,12120.00,612.00,600.00,612.00
9,2018-04-15,2,20.00,12600.00,636.00,624.00,636.00
10,2018-04-17,1,10.00,6670.00,667.00,667.00,667.00
11,2018-04-19,2,10.00,6800.00,0.00,0.00,0.00
12,2018-04-25,1,10.00,6800.00,680.00,680.00,680.00
13,2018-04-26,4,30.00,20920.00,706.00,693.00,706.00
14,2018-04-29,1,10.00,7410.00,741.00,741.00,741.00
15,2018-05-02,1,10.00,7550.00,755.00,755.00,755.00
16,2018-05-06,2,20.00,15550.00,785.00,770.00,785.00
17,2018-05-07,4,40.00,32960.00,848.00,800.00,848.00
18,2018-05-08,1,10.00,8640.00,864.00,864.00,864.00
19,2018-05-09,2,10.00,8810.00,0.00,0.00,0.00
20,2018-05-14,2,20.00,18320.00,925.00,907.00,925.00
21,2018-05-15,3,30.00,28840.00,980.00,943.00,980.00
22,2018-05-21,3,30.00,30550.00,1038.00,999.00,1038.00
23,2018-05-22,1,10.00,10890.00,1089.00,1089.00,1089.00
24,2018-05-23,1,10.00,11100.00,1110.00,1110.00,1110.00
25,2018-05-24,1,10.00,11320.00,1132.00,1132.00,1132.00
26,2018-05-28,1,10.00,11540.00,1154.00,1154.00,1154.00
27,2018-05-29,3,30.00,37050.00,1259.00,1211.00,1259.00
28,2018-05-30,2,20.00,25930.00,1309.00,1284.00,1309.00
29,2018-06-03,1,10.00,13350.00,1335.00,1335.00,1335.00
30,2018-06-04,1,10.00,13610.00,1361.00,1361.00,1361.00
31,2018-06-07,1,10.00,13880.00,1388.00,1388.00,1388.00
32,2018-06-10,5,50.00,73550.00,1526.00,1415.00,1526.00
33,2018-06-11,14,140.00,231000.00,1678.00,1556.00,1678.00
34,2018-06-12,10,457.00,862075.00,1845.00,1711.00,1845.00
35,2018-06-13,1,10.00,18810.00,1881.00,1881.00,1881.00
36,2018-06-14,44,440.00,906614.00,2069.00,1918.00,2069.00
37,2018-06-17,621,8793.00,19610650.00,2275.00,2110.00,2250.00
38,2018-06-18,277,3075.00,6795250.00,2280.00,2185.00,2203.00
39,2018-06-19,160,1830.00,3999600.00,2215.00,2162.00,2172.00
40,2018-06-20,200,2710.00,5700315.00,2199.00,2078.00,2085.00
41,2018-06-21,138,1720.00,3500940.00,2090.00,2006.00,2037.00
42,2018-06-24,75,850.00,1725720.00,2060.00,2000.00,2023.00
43,2018-06-25,76,970.00,1938130.00,2030.00,1990.00,1990.00
44,2018-06-26,89,1500.00,2825660.00,1965.00,1821.00,1855.00
45,2018-06-27,73,1231.00,2245580.00,1861.00,1800.00,1850.00
46,2018-06-28,34,400.00,737110.00,1860.00,1824.00,1835.00
47,2018-07-01,48,1210.00,2167490.00,1810.00,1781.00,1781.00
48,2018-07-02,40,670.00,1220010.00,1888.00,1770.00,1888.00
49,2018-07-03,14,350.00,638380.00,1851.00,1801.00,1801.00
50,2018-07-04,33,475.00,865445.00,1850.00,1800.00,1840.00
51,2018-07-05,48,740.00,1400775.00,1960.00,1845.00,1959.00
52,2018-07-08,65,1215.00,2389967.00,2035.00,1890.00,1890.00
53,2018-07-09,34,520.00,968310.00,1899.00,1853.00,1855.00
54,2018-07-10,29,430.00,801140.00,1900.00,1830.00,1865.00
55,2018-07-11,59,1740.00,3339480.00,1978.00,1880.00,1881.00
56,2018-07-12,37,605.00,1126290.00,1920.00,1815.00,1820.00
57,2018-07-15,21,240.00,440060.00,1850.00,1820.00,1850.00
58,2018-07-16,17,170.00,313980.00,1860.00,1835.00,1840.00
59,2018-07-17,16,304.00,562948.00,1900.00,1841.00,1843.00
60,2018-07-18,14,180.00,329280.00,1850.00,1821.00,1830.00
61,2018-07-19,16,470.00,858110.00,1830.00,1817.00,1826.00
62,2018-07-22,17,300.00,540490.00,1820.00,1795.00,1795.00
63,2018-07-23,27,370.00,671400.00,1835.00,1765.00,1835.00
64,2018-07-24,22,270.00,498600.00,1871.00,1804.00,1851.00
65,2018-07-25,22,560.00,1044660.00,1888.00,1821.00,1865.00
66,2018-07-26,10,249.00,456910.00,1865.00,1828.00,1829.00
67,2018-07-29,13,170.00,310550.00,1830.00,1810.00,1830.00
68,2018-07-30,24,250.00,459020.00,1850.00,1813.00,1830.00
69,2018-07-31,17,170.00,309620.00,1835.00,1805.00,1820.00
70,2018-08-01,15,600.00,1089960.00,1856.00,1815.00,1818.00
71,2018-08-02,29,520.00,947770.00,1835.00,1816.00,1820.00
72,2018-08-05,7,70.00,126520.00,1815.00,1800.00,1815.00
73,2018-08-06,13,210.00,377380.00,1810.00,1790.00,1809.00
74,2018-08-07,20,270.00,484380.00,1800.00,1786.00,1790.00
75,2018-08-08,29,426.00,761490.00,1799.00,1785.00,1785.00
76,2018-08-09,32,400.00,709650.00,1787.00,1752.00,1765.00
77,2018-08-12,38,495.00,862460.00,1775.00,1735.00,1737.00
78,2018-08-13,24,240.00,412210.00,1745.00,1705.00,1745.00
