S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2015-11-09,1,10.00,3120.00,312.00,312.00,312.00
2,2015-11-10,14,168.00,56974.00,343.00,318.00,343.00
3,2015-11-29,5,50.00,18110.00,376.00,349.00,376.00
4,2015-11-30,1,10.00,3830.00,383.00,383.00,383.00
5,2015-12-01,3,30.00,11910.00,404.00,390.00,404.00
6,2015-12-02,2,20.00,8320.00,420.00,412.00,420.00
7,2015-12-03,2,28.00,12128.00,436.00,428.00,436.00
8,2015-12-07,5,76.00,35397.00,479.00,444.00,479.00
9,2015-12-08,29,319.00,167374.00,526.00,502.00,526.00
10,2015-12-09,13,130.00,74070.00,578.00,536.00,578.00
11,2015-12-10,5,92.00,56723.00,635.00,589.00,635.00
12,2015-12-13,5,50.00,33610.00,698.00,647.00,698.00
13,2015-12-14,6,85.00,62913.00,767.00,711.00,767.00
14,2015-12-15,38,648.00,544734.00,843.00,782.00,843.00
15,2015-12-16,296,4082.00,3758702.00,927.00,859.00,927.00
16,2015-12-17,730,11089.00,11244886.00,1019.00,945.00,1019.00
17,2015-12-20,1156,16297.00,16358504.00,1044.00,967.00,980.00
18,2015-12-21,620,7937.00,7457761.00,985.00,900.00,951.00
19,2015-12-22,511,6941.00,6883939.00,1020.00,953.00,1020.00
20,2015-12-23,571,9042.00,9389896.00,1075.00,1000.00,1050.00
21,2015-12-24,473,7798.00,8682538.00,1155.00,1029.00,1155.00
22,2015-12-27,315,8188.00,9417372.00,1178.00,1110.00,1161.00
23,2015-12-28,363,7129.00,8220929.00,1175.00,1141.00,1153.00
24,2015-12-29,469,7982.00,9238237.00,1170.00,1108.00,1170.00
25,2015-12-31,298,5459.00,6434808.00,1203.00,1084.00,1200.00
26,2016-01-03,325,6898.00,8332539.00,1225.00,1180.00,1225.00
27,2016-01-04,162,3188.00,3853176.00,1235.00,1172.00,1195.00
28,2016-01-05,314,4100.00,4824598.00,1200.00,1170.00,1184.00
29,2016-01-06,289,3875.00,4451058.00,1190.00,1105.00,1136.00
30,2016-01-07,128,1902.00,2159761.00,1155.00,1120.00,1136.00
31,2016-01-10,277,6088.00,7061038.00,1175.00,1130.00,1175.00
32,2016-01-11,338,5645.00,6537069.00,1175.00,1130.00,1161.00
33,2016-01-12,572,7670.00,8902409.00,1208.00,1100.00,1201.00
34,2016-01-13,293,10301.00,12567083.00,1250.00,1195.00,1228.00
35,2016-01-14,422,7928.00,9768681.00,1275.00,1200.00,1249.00
36,2016-01-31,5,100.00,132320.00,1373.00,1273.00,1373.00
37,2016-02-01,14,1240.00,1851800.00,1505.00,1400.00,1503.00
38,2016-02-02,8,753.00,1121125.00,1500.00,1475.00,1475.00
39,2016-02-03,5,332.00,486240.00,1479.00,1450.00,1470.00
40,2016-02-04,8,810.00,1161140.00,1442.00,1415.00,1440.00
41,2016-02-07,6,550.00,795650.00,1468.00,1412.00,1412.00
42,2016-02-14,1,400.00,575600.00,1439.00,1439.00,1439.00
43,2016-02-15,19,2349.00,3233035.00,1411.00,1330.00,1370.00
44,2016-02-16,7,745.00,1019800.00,1380.00,1360.00,1360.00
45,2016-02-18,1,10.00,13870.00,1387.00,1387.00,1387.00
46,2016-02-21,4,48.00,64356.00,1360.00,1333.00,1335.00
47,2016-02-22,11,350.00,462950.00,1330.00,1315.00,1330.00
