S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2015-12-10,8,80.00,30810.00,399.00,363.00,399.00
2,2015-12-13,56,650.00,281740.00,438.00,406.00,438.00
3,2015-12-15,3,30.00,13630.00,463.00,446.00,463.00
4,2015-12-17,2,20.00,9530.00,481.00,472.00,481.00
5,2015-12-21,3,30.00,14880.00,499.00,490.00,499.00
6,2015-12-22,2,20.00,10260.00,518.00,508.00,518.00
7,2015-12-23,4,40.00,21720.00,558.00,528.00,558.00
8,2015-12-24,1,10.00,5690.00,569.00,569.00,569.00
9,2015-12-27,36,360.00,224220.00,625.00,597.00,625.00
10,2015-12-29,19,190.00,129680.00,687.00,656.00,687.00
11,2016-01-03,2,20.00,11790.00,595.00,584.00,595.00
12,2016-01-07,1,10.00,6060.00,606.00,606.00,606.00
13,2016-01-11,4,40.00,25080.00,630.00,618.00,630.00
14,2016-01-13,2,20.00,12960.00,654.00,642.00,654.00
15,2016-01-14,9,90.00,64110.00,719.00,686.00,719.00
16,2016-01-17,1,50.00,36650.00,733.00,733.00,733.00
17,2016-02-18,1,10.00,7470.00,747.00,747.00,747.00
18,2016-02-22,1,10.00,7610.00,761.00,761.00,761.00
19,2016-02-25,3,30.00,23730.00,806.00,776.00,806.00
20,2016-03-13,1,10.00,8220.00,822.00,822.00,822.00
21,2016-04-03,2,20.00,16920.00,854.00,838.00,854.00
22,2016-04-10,1,10.00,8710.00,871.00,871.00,871.00
23,2016-04-12,1,10.00,9140.00,914.00,914.00,914.00
24,2016-05-09,1,10.00,9320.00,932.00,932.00,932.00
25,2016-05-10,1,10.00,9780.00,978.00,978.00,978.00
26,2016-05-11,3,30.00,31380.00,1066.00,1026.00,1066.00
27,2016-05-12,2,20.00,21950.00,1108.00,1087.00,1108.00
28,2016-05-16,2,20.00,23260.00,1163.00,1163.00,1163.00
29,2016-05-17,1,10.00,12210.00,1221.00,1221.00,1221.00
30,2016-05-18,3,30.00,39220.00,1333.00,1282.00,1333.00
31,2016-05-19,2,20.00,27450.00,1386.00,1359.00,1386.00
32,2016-05-22,3,30.00,43230.00,1469.00,1413.00,1469.00
33,2016-05-24,21,210.00,337870.00,1615.00,1542.00,1615.00
34,2016-05-29,2,20.00,32940.00,1647.00,1647.00,1647.00
35,2016-05-30,2,20.00,33910.00,1712.00,1679.00,1712.00
36,2016-05-31,2,20.00,35260.00,1780.00,1746.00,1780.00
37,2016-06-01,6,60.00,113950.00,1958.00,1815.00,1958.00
38,2016-06-02,3,30.00,61090.00,2076.00,1997.00,2076.00
39,2016-06-05,2,24.00,51312.00,2159.00,2117.00,2159.00
40,2016-06-06,11,130.00,303544.00,2374.00,2202.00,2374.00
41,2016-06-07,16,182.00,469586.00,2611.00,2421.00,2611.00
42,2016-06-08,23,264.00,753068.00,2872.00,2663.00,2872.00
43,2016-06-09,184,2308.00,7284726.00,3159.00,2929.00,3159.00
44,2016-06-12,298,3620.00,11079210.00,3222.00,3000.00,3060.00
45,2016-06-13,147,2236.00,6797710.00,3090.00,2951.00,3080.00
46,2016-06-14,179,2484.00,7695562.00,3200.00,3020.00,3200.00
47,2016-06-15,116,1360.00,4296746.00,3200.00,3127.00,3199.00
48,2016-06-16,101,1352.00,4315308.00,3243.00,3150.00,3155.00
49,2016-06-19,83,1480.00,4643112.00,3180.00,3040.00,3150.00
50,2016-06-20,102,1500.00,4637170.00,3180.00,3003.00,3150.00
51,2016-06-21,87,1088.00,3438612.00,3185.00,3150.00,3155.00
52,2016-06-22,82,1128.00,3580788.00,3210.00,3130.00,3208.00
53,2016-06-23,87,1228.00,3943408.00,3290.00,3155.00,3171.00
54,2016-06-26,28,332.00,1036024.00,3200.00,3068.00,3075.00
55,2016-06-27,64,762.00,2373048.00,3125.00,3070.00,3080.00
56,2016-06-28,31,760.00,2368312.00,3160.00,3050.00,3100.00
57,2016-06-29,141,2870.00,9065400.00,3232.00,3050.00,3209.00
58,2016-06-30,27,736.00,2378896.00,3273.00,3186.00,3188.00
59,2016-07-03,25,522.00,1696320.00,3264.00,3200.00,3260.00
60,2016-07-04,77,1410.00,4585544.00,3326.00,3140.00,3289.00
61,2016-07-05,79,2218.00,7124316.00,3264.00,3070.00,3260.00
62,2016-07-06,36,410.00,1300162.00,3200.00,3150.00,3175.00
63,2016-07-10,80,1552.00,5020632.00,3366.00,3170.00,3175.00
64,2016-07-11,54,1376.00,4338324.00,3238.00,3132.00,3150.00
65,2016-07-12,42,744.00,2327024.00,3150.00,3017.00,3150.00
66,2016-07-13,79,2322.00,7410828.00,3304.00,3100.00,3260.00
67,2016-07-14,114,2271.00,7632580.00,3400.00,3260.00,3390.00
68,2016-07-17,16,362.00,1132710.00,3323.00,3051.00,3051.00
69,2016-07-18,130,2374.00,6929796.00,3049.00,2746.00,3011.00
70,2016-07-19,88,1596.00,4855970.00,3100.00,2931.00,3020.00
71,2016-07-20,73,1604.00,4686706.00,3040.00,2882.00,2940.00
72,2016-07-21,22,264.00,779988.00,2999.00,2941.00,2952.00
73,2016-07-25,97,1297.00,3960015.00,3162.00,2961.00,3162.00
74,2016-07-26,109,2078.00,6638386.00,3235.00,3100.00,3235.00
75,2016-07-27,58,916.00,2995940.00,3365.00,3200.00,3220.00
76,2016-07-28,94,2012.00,6539088.00,3300.00,3156.00,3260.00
77,2016-07-31,116,1834.00,6163094.00,3410.00,3300.00,3392.00
78,2016-08-01,69,2102.00,7196354.00,3475.00,3325.00,3400.00
79,2016-08-02,96,1963.00,6631334.00,3452.00,3351.00,3397.00
80,2016-08-03,53,1281.00,4293233.00,3400.00,3250.00,3350.00
81,2016-08-04,173,2810.00,9264890.00,3321.00,3255.00,3300.00
82,2016-08-07,47,1750.00,4275234.00,2456.00,2277.00,2449.00
83,2016-08-08,5,129.00,301935.00,2401.00,2254.00,2254.00
84,2016-08-10,30,832.00,1963662.00,2437.00,2299.00,2310.00
85,2016-08-11,21,1508.00,3574176.00,2400.00,2353.00,2360.00
86,2016-08-14,22,318.00,743050.00,2407.00,2320.00,2330.00
87,2016-08-15,1,12.00,27900.00,2325.00,2325.00,2325.00
88,2016-08-16,4,54.00,123972.00,2300.00,2281.00,2281.00
89,2016-08-17,6,810.00,1819660.00,2280.00,2240.00,2240.00
90,2016-08-21,6,258.00,553836.00,2200.00,2140.00,2140.00
91,2016-08-22,7,84.00,176184.00,2140.00,2070.00,2070.00
92,2016-08-23,3,160.00,324790.00,2030.00,2029.00,2030.00
93,2016-08-24,7,506.00,990602.00,1990.00,1925.00,1932.00
94,2016-08-28,4,48.00,95520.00,2000.00,1970.00,2000.00
95,2016-08-29,5,90.00,183610.00,2121.00,2000.00,2120.00
96,2016-08-30,20,342.00,781368.00,2332.00,2162.00,2332.00
97,2016-08-31,6,278.00,638480.00,2325.00,2290.00,2320.00
98,2016-09-01,27,448.00,1008300.00,2348.00,2215.00,2215.00
99,2016-09-04,52,686.00,1519752.00,2259.00,2172.00,2172.00
100,2016-09-05,26,358.00,794654.00,2259.00,2172.00,2172.00
101,2016-09-06,10,118.00,258440.00,2215.00,2172.00,2180.00
102,2016-09-07,12,144.00,313968.00,2181.00,2180.00,2181.00
103,2016-09-08,3,142.00,314160.00,2220.00,2180.00,2220.00
104,2016-09-11,1,12.00,26700.00,2225.00,2225.00,2225.00
105,2016-09-12,7,118.00,268814.00,2314.00,2225.00,2262.00
106,2016-09-14,6,75.00,174549.00,2350.00,2262.00,2350.00
107,2016-09-18,4,48.00,111996.00,2360.00,2313.00,2330.00
108,2016-09-20,9,334.00,752018.00,2284.00,2200.00,2250.00
109,2016-09-21,3,36.00,81648.00,2285.00,2240.00,2240.00
110,2016-09-22,3,36.00,80640.00,2240.00,2240.00,2240.00
111,2016-09-25,10,190.00,408428.00,2200.00,2080.00,2100.00
112,2016-09-26,2,24.00,49452.00,2061.00,2060.00,2060.00
113,2016-09-27,7,112.00,231080.00,2070.00,2030.00,2060.00
114,2016-09-28,3,32.00,65000.00,2050.00,2019.00,2050.00
115,2016-09-29,5,84.00,169584.00,2030.00,2010.00,2030.00
116,2016-10-02,22,476.00,949646.00,2001.00,1980.00,1995.00
117,2016-10-03,9,212.00,430072.00,2045.00,1960.00,1960.00
118,2016-10-04,2,24.00,46152.00,1925.00,1921.00,1925.00
119,2016-10-16,2,24.00,45900.00,1925.00,1900.00,1900.00
120,2016-10-18,4,58.00,108760.00,1890.00,1864.00,1890.00
121,2016-10-20,2,22.00,41590.00,1891.00,1890.00,1891.00
122,2016-10-23,5,150.00,278200.00,1870.00,1850.00,1850.00
123,2016-10-25,8,110.00,200270.00,1821.00,1820.00,1820.00
124,2016-10-27,2,22.00,39650.00,1805.00,1800.00,1805.00
125,2016-11-03,6,100.00,181606.00,1846.00,1775.00,1810.00
126,2016-11-07,9,482.00,887100.00,1850.00,1840.00,1850.00
127,2016-11-08,10,514.00,1006040.00,2001.00,1850.00,1960.00
128,2016-11-09,6,88.00,167086.00,1921.00,1855.00,1855.00
129,2016-11-10,3,36.00,66312.00,1850.00,1826.00,1850.00
130,2016-11-13,7,204.00,374980.00,1850.00,1830.00,1835.00
131,2016-11-14,3,74.00,136780.00,1850.00,1840.00,1850.00
132,2016-11-15,3,36.00,66600.00,1850.00,1850.00,1850.00
133,2016-11-17,1,12.00,21840.00,1820.00,1820.00,1820.00
134,2016-11-21,1,12.00,21480.00,1790.00,1790.00,1790.00
135,2016-11-22,12,250.00,438570.00,1790.00,1720.00,1720.00
136,2016-11-23,7,198.00,334838.00,1725.00,1630.00,1630.00
137,2016-11-24,21,272.00,415904.00,1600.00,1470.00,1470.00
138,2016-11-27,12,228.00,319956.00,1470.00,1345.00,1345.00
139,2016-11-28,13,230.00,295254.00,1319.00,1245.00,1319.00
140,2016-11-29,12,724.00,1037448.00,1450.00,1329.00,1450.00
141,2016-11-30,9,664.00,1055010.00,1595.00,1479.00,1595.00
142,2016-12-01,26,1205.00,1748305.00,1461.00,1355.00,1461.00
143,2016-12-04,7,164.00,235650.00,1450.00,1400.00,1425.00
144,2016-12-05,8,208.00,295860.00,1450.00,1400.00,1450.00
145,2016-12-07,8,96.00,137808.00,1450.00,1421.00,1421.00
146,2016-12-08,2,24.00,33744.00,1420.00,1392.00,1392.00
147,2016-12-11,4,86.00,119628.00,1419.00,1380.00,1419.00
148,2016-12-12,4,48.00,67272.00,1408.00,1390.00,1408.00
149,2016-12-14,1,12.00,16896.00,1408.00,1408.00,1408.00
150,2016-12-15,1,12.00,16896.00,1408.00,1408.00,1408.00
151,2016-12-18,5,148.00,200448.00,1398.00,1325.00,1325.00
152,2016-12-19,8,156.00,202236.00,1305.00,1274.00,1274.00
153,2016-12-20,12,270.00,341050.00,1275.00,1245.00,1265.00
154,2016-12-21,7,142.00,173376.00,1250.00,1205.00,1224.00
155,2016-12-22,8,96.00,116580.00,1249.00,1200.00,1249.00
156,2016-12-26,2,24.00,29112.00,1225.00,1201.00,1201.00
157,2016-12-27,4,218.00,263724.00,1224.00,1177.00,1224.00
158,2016-12-28,6,1070.00,1323250.00,1248.00,1205.00,1205.00
159,2016-12-29,11,608.00,745714.00,1260.00,1200.00,1260.00
160,2017-01-01,5,50.00,62000.00,1240.00,1240.00,1240.00
161,2017-01-02,23,274.00,346968.00,1340.00,1245.00,1340.00
162,2017-01-04,1,12.00,16080.00,1340.00,1340.00,1340.00
163,2017-01-05,2,150.00,195400.00,1320.00,1294.00,1294.00
164,2017-01-08,3,44.00,56456.00,1294.00,1270.00,1294.00
165,2017-01-09,5,148.00,192458.00,1319.00,1280.00,1280.00
166,2017-01-10,7,170.00,225736.00,1360.00,1280.00,1360.00
167,2017-01-12,8,605.00,814704.00,1414.00,1320.00,1340.00
168,2017-01-15,3,69.00,90835.00,1325.00,1315.00,1325.00
169,2017-01-16,2,38.00,49040.00,1300.00,1280.00,1280.00
170,2017-01-17,5,212.00,262950.00,1260.00,1235.00,1235.00
171,2017-01-18,11,1416.00,1720150.00,1227.00,1200.00,1200.00
172,2017-01-19,14,276.00,334248.00,1223.00,1205.00,1205.00
173,2017-01-22,3,278.00,328598.00,1185.00,1181.00,1181.00
174,2017-01-23,4,542.00,649210.00,1200.00,1165.00,1165.00
175,2017-01-24,10,171.00,199365.00,1184.00,1160.00,1184.00
176,2017-01-25,13,339.00,378856.00,1161.00,1094.00,1120.00
177,2017-01-26,11,322.00,350240.00,1100.00,1057.00,1095.00
178,2017-01-31,4,120.00,126198.00,1074.00,1034.00,1050.00
179,2017-02-01,5,88.00,96270.00,1110.00,1071.00,1110.00
180,2017-02-02,3,52.00,58038.00,1121.00,1098.00,1098.00
181,2017-02-05,6,188.00,203330.00,1095.00,1071.00,1071.00
182,2017-02-07,16,174.00,180436.00,1070.00,1011.00,1015.00
183,2017-02-08,10,267.00,267025.00,1010.00,990.00,990.00
184,2017-02-09,28,389.00,365357.00,988.00,906.00,906.00
185,2017-02-12,21,304.00,259286.00,888.00,825.00,825.00
186,2017-02-13,25,798.00,624321.00,809.00,763.00,795.00
187,2017-02-14,7,296.00,250672.00,874.00,810.00,874.00
188,2017-02-15,23,497.00,450674.00,925.00,889.00,925.00
189,2017-02-16,23,971.00,897569.00,935.00,907.00,923.00
190,2017-02-19,15,551.00,524759.00,1015.00,940.00,1015.00
191,2017-02-20,41,1052.00,1156636.00,1116.00,1035.00,1091.00
192,2017-02-21,26,961.00,1058247.00,1130.00,1070.00,1100.00
193,2017-02-22,13,773.00,839332.00,1100.00,1078.00,1099.00
194,2017-02-23,6,378.00,408740.00,1090.00,1075.00,1080.00
195,2017-02-26,3,62.00,65678.00,1060.00,1059.00,1059.00
196,2017-02-28,6,174.00,177996.00,1041.00,1000.00,1000.00
197,2017-03-01,11,211.00,212638.00,1020.00,1001.00,1020.00
198,2017-03-02,20,757.00,794108.00,1089.00,1020.00,1089.00
199,2017-03-05,14,279.00,305853.00,1100.00,1090.00,1099.00
200,2017-03-06,13,446.00,484548.00,1100.00,1060.00,1060.00
201,2017-03-07,1,12.00,12840.00,1070.00,1070.00,1070.00
202,2017-03-09,4,78.00,83760.00,1080.00,1065.00,1080.00
203,2017-03-14,1,18.00,19062.00,1059.00,1059.00,1059.00
204,2017-03-15,3,46.00,48860.00,1070.00,1060.00,1060.00
205,2017-03-19,9,114.00,122296.00,1074.00,1060.00,1060.00
206,2017-03-20,6,234.00,263852.00,1166.00,1081.00,1166.00
207,2017-03-21,23,925.00,1095337.00,1282.00,1140.00,1282.00
208,2017-03-22,31,1165.00,1549330.00,1350.00,1282.00,1350.00
209,2017-03-23,28,1959.00,2700466.00,1442.00,1350.00,1442.00
210,2017-03-26,19,657.00,1000917.00,1560.00,1465.00,1500.00
211,2017-03-28,4,48.00,75100.00,1590.00,1530.00,1590.00
212,2017-03-29,18,1081.00,1701780.00,1632.00,1545.00,1551.00
213,2017-03-30,15,489.00,742520.00,1580.00,1495.00,1510.00
214,2017-04-02,5,189.00,300222.00,1632.00,1540.00,1632.00
215,2017-04-03,43,1846.00,3132961.00,1764.00,1660.00,1664.00
216,2017-04-04,24,890.00,1452612.00,1660.00,1608.00,1610.00
217,2017-04-06,5,208.00,335382.00,1620.00,1599.00,1599.00
218,2017-04-09,9,458.00,728874.00,1610.00,1571.00,1571.00
219,2017-04-10,20,761.00,1275209.00,1728.00,1600.00,1700.00
220,2017-04-11,18,810.00,1419232.00,1800.00,1715.00,1800.00
221,2017-04-12,39,2492.00,4690379.00,1940.00,1836.00,1872.00
222,2017-04-13,35,2058.00,3722279.00,1873.00,1765.00,1870.00
223,2017-04-16,4,49.00,92610.00,1890.00,1890.00,1890.00
224,2017-04-18,28,1646.00,2871645.00,1853.00,1711.00,1720.00
225,2017-04-19,23,1308.00,2270876.00,1800.00,1705.00,1800.00
226,2017-04-20,22,1454.00,2662763.00,1860.00,1800.00,1805.00
227,2017-04-23,4,300.00,557700.00,1877.00,1841.00,1877.00
228,2017-04-24,26,696.00,1263581.00,1877.00,1770.00,1770.00
229,2017-04-25,49,1238.00,2162054.00,1790.00,1710.00,1750.00
230,2017-04-26,86,2920.00,5368461.00,1925.00,1750.00,1853.00
231,2017-04-27,34,1795.00,3342013.00,1924.00,1820.00,1895.00
232,2017-04-30,43,2473.00,4639789.00,1910.00,1820.00,1890.00
233,2017-05-02,117,7525.00,14999356.00,2079.00,1881.00,2079.00
234,2017-05-03,113,5529.00,11697471.00,2168.00,2075.00,2150.00
235,2017-05-04,86,3519.00,7373703.00,2150.00,2050.00,2120.00
236,2017-05-07,63,2913.00,5899309.00,2086.00,2010.00,2020.00
237,2017-05-08,49,1618.00,3286046.00,2091.00,1995.00,2039.00
238,2017-05-09,21,547.00,1125203.00,2070.00,2040.00,2070.00
239,2017-05-11,31,1767.00,3632200.00,2100.00,2040.00,2100.00
240,2017-05-15,29,1385.00,2890214.00,2142.00,2050.00,2068.00
241,2017-05-16,10,805.00,1645198.00,2050.00,2035.00,2043.00
242,2017-05-17,11,242.00,495429.00,2049.00,2040.00,2045.00
243,2017-05-18,44,1772.00,3619368.00,2060.00,2035.00,2060.00
244,2017-05-21,19,687.00,1417273.00,2080.00,2050.00,2051.00
245,2017-05-22,18,891.00,1828155.00,2092.00,2045.00,2060.00
246,2017-05-23,30,736.00,1520182.00,2080.00,2050.00,2051.00
247,2017-05-24,16,387.00,787940.00,2051.00,2011.00,2050.00
248,2017-05-28,26,1392.00,2839566.00,2063.00,2025.00,2030.00
249,2017-05-30,24,623.00,1254536.00,2020.00,2005.00,2020.00
250,2017-05-31,12,765.00,1559563.00,2065.00,1980.00,2065.00
251,2017-06-01,21,1309.00,2658592.00,2040.00,2024.00,2040.00
252,2017-06-04,17,403.00,812337.00,2045.00,2010.00,2011.00
253,2017-06-05,18,369.00,747448.00,2065.00,1971.00,2065.00
254,2017-06-06,20,1310.00,2722600.00,2090.00,2050.00,2080.00
255,2017-06-07,39,877.00,1797715.00,2080.00,2040.00,2040.00
256,2017-06-08,27,1935.00,3939996.00,2055.00,2005.00,2041.00
257,2017-06-11,31,1016.00,2062962.00,2050.00,2001.00,2021.00
258,2017-06-12,49,1127.00,2257546.00,2040.00,1980.00,1990.00
259,2017-06-13,13,624.00,1232745.00,1992.00,1953.00,1975.00
260,2017-06-14,13,483.00,956156.00,2020.00,1956.00,1990.00
261,2017-06-15,11,198.00,394120.00,2030.00,1965.00,2030.00
262,2017-06-18,7,217.00,431741.00,2020.00,1980.00,1980.00
263,2017-06-19,13,380.00,746470.00,1980.00,1960.00,1960.00
264,2017-06-20,4,55.00,109924.00,1999.00,1998.00,1998.00
265,2017-06-21,9,382.00,760223.00,2000.00,1970.00,2000.00
266,2017-06-22,27,1723.00,3462940.00,2040.00,1966.00,2040.00
267,2017-06-25,19,509.00,1023499.00,2040.00,2000.00,2015.00
268,2017-06-27,11,183.00,364098.00,2000.00,1977.00,1991.00
269,2017-06-28,22,783.00,1559933.00,2005.00,1962.00,1985.00
270,2017-07-02,2,31.00,62344.00,2024.00,1984.00,1984.00
271,2017-07-03,31,2838.00,5562327.00,1990.00,1953.00,1954.00
272,2017-07-04,20,312.00,616210.00,1992.00,1954.00,1992.00
273,2017-07-05,14,461.00,918889.00,2005.00,1980.00,2005.00
274,2017-07-06,11,418.00,841279.00,2050.00,2000.00,2050.00
275,2017-07-09,28,1083.00,2159914.00,2050.00,1941.00,1941.00
276,2017-07-10,14,395.00,782079.00,1993.00,1975.00,1980.00
277,2017-07-11,7,171.00,339470.00,1990.00,1960.00,1990.00
278,2017-07-12,19,186.00,368808.00,1990.00,1963.00,1963.00
279,2017-07-13,13,316.00,619644.00,1979.00,1945.00,1979.00
280,2017-07-16,21,2223.00,4348463.00,2018.00,1940.00,1942.00
281,2017-07-17,14,1114.00,2190063.00,1979.00,1956.00,1968.00
282,2017-07-18,46,1577.00,3150361.00,2007.00,1985.00,1999.00
283,2017-07-19,79,427.00,841218.00,2000.00,1960.00,1985.00
284,2017-07-20,8,466.00,917855.00,2020.00,1950.00,1970.00
285,2017-07-23,2,31.00,61670.00,2000.00,1967.00,1967.00
286,2017-07-24,23,1206.00,2351662.00,1969.00,1925.00,1935.00
287,2017-07-25,12,350.00,675815.00,1940.00,1911.00,1940.00
288,2017-07-26,15,484.00,922723.00,1941.00,1902.00,1941.00
289,2017-07-27,12,690.00,1347390.00,1975.00,1920.00,1950.00
290,2017-07-30,18,920.00,1839101.00,2080.00,1912.00,2080.00
291,2017-07-31,36,1810.00,3698561.00,2054.00,2011.00,2050.00
292,2017-08-01,65,6075.00,12588744.00,2119.00,2030.00,2099.00
293,2017-08-02,52,2817.00,5853560.00,2140.00,2011.00,2084.00
294,2017-08-03,16,923.00,1873844.00,2051.00,2010.00,2010.00
295,2017-08-06,22,2733.00,5402239.00,2000.00,1970.00,2000.00
296,2017-08-07,21,899.00,1771126.00,1987.00,1961.00,1966.00
297,2017-08-09,31,1055.00,2076799.00,1990.00,1960.00,1960.00
298,2017-08-10,29,1839.00,3607764.00,1985.00,1938.00,1961.00
299,2017-08-13,33,1372.00,2656858.00,1945.00,1930.00,1935.00
300,2017-08-15,30,1196.00,2302081.00,1940.00,1905.00,1910.00
301,2017-08-16,46,1422.00,2730410.00,1951.00,1875.00,1950.00
302,2017-08-17,27,1412.00,2710632.00,1944.00,1900.00,1900.00
303,2017-08-20,17,383.00,737827.00,1960.00,1900.00,1927.00
304,2017-08-21,10,437.00,828971.00,1910.00,1890.00,1894.00
305,2017-08-22,15,649.00,1243114.00,1930.00,1901.00,1901.00
306,2017-08-23,6,262.00,499285.00,1920.00,1890.00,1905.00
307,2017-08-24,10,86.00,163297.00,1900.00,1900.00,1900.00
308,2017-08-27,28,1259.00,2495878.00,2008.00,1938.00,2008.00
309,2017-08-28,32,1602.00,3211199.00,2050.00,1970.00,2031.00
310,2017-08-30,114,8605.00,17721248.00,2124.00,2025.00,2070.00
311,2017-08-31,69,3949.00,8140605.00,2100.00,2052.00,2070.00
312,2017-09-04,67,3125.00,6436606.00,2080.00,2030.00,2031.00
313,2017-09-06,68,3038.00,6311862.00,2121.00,2041.00,2094.00
314,2017-09-07,50,2255.00,4665681.00,2125.00,2055.00,2055.00
315,2017-09-10,31,1057.00,2140466.00,2045.00,2000.00,2040.00
316,2017-09-11,57,2036.00,3981438.00,2000.00,1926.00,1944.00
317,2017-09-12,15,547.00,1061424.00,1960.00,1930.00,1930.00
318,2017-09-13,46,1075.00,2012042.00,1930.00,1845.00,1860.00
319,2017-09-14,24,1039.00,1949474.00,1901.00,1860.00,1901.00
320,2017-09-17,85,762.00,1431365.00,1900.00,1864.00,1871.00
