sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,15.00,25.00,2021-01-01 [Closed],,2021-03-22,2076/2077
2,10.00,18.00,28.00,2019-12-25 [Closed],,2020-06-10,2075/2076
3,10.00,18.00,28.00,2018-12-21 [Closed],,,2074/2075
4,0.00,20.00,20.00,2018-05-10 [Closed],2018-07-12,,2073/2074
5,7.00,20.00,27.00,2016-12-05 [Closed],2017-02-23,,2072/2073
6,0.00,20.00,20.00,2015-12-02 [Closed],2016-01-27,,2071/2072
7,0.00,15.00,15.00,2014-12-29 [Closed],2015-02-11,,2070/2071
8,0.00,18.00,18.00,2014-02-05 [Closed],2014-03-23,,2069/2070
9,0.00,25.00,25.00,2012-12-23 [Closed],2013-03-31,,2068/2069
10,0.00,25.00,25.00,2012-01-03 [Closed],2012-03-03,,2067/2068
