sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,22.00,7.00,29.00,2020-12-30 [Closed],,2021-03-07,2076/2077
2,27.11,17.21,44.32,2019-12-02 [Closed],2019-12-23,2020-07-14,2075/2076
3,18.00,22.00,40.00,2019-04-29 [Closed],,2020-01-05,2074/2075
4,19.89,25.11,45.00,2017-10-23 [Closed],,,2073/2074
5,40.00,12.7,52.7,2016-12-11 [Closed],2017-02-09,,2072/2073
6,40.00,12.7,52.7,2015-12-11 [Closed],2016-02-21,,2071/2072
7,35.00,10.00,45.00,2014-11-21 [Closed],2015-01-22,,2070/2071
8,33.23,15.00,48.00,2013-12-08 [Closed],2014-02-06,,2069/2070
9,25.00,17.1,42.1,2012-11-25 [Closed],2013-01-09,,2068/2069
10,0.00,25.00,25.00,2011-11-10 [Closed],2011-12-10,,2067/2068
