sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,10.00,20.00,2020-12-14 [Closed],,2021-02-03,2076/2077
2,20.00,5.00,25.00,2019-11-13 [Closed],2019-12-16,2020-02-23,2075/2076
3,20.00,5.00,25.00,2019-01-03 [Closed],,,2074/2075
4,15.00,10.00,25.00,2017-10-23 [Closed],2017-12-13,,2073/2074
5,10.00,10.00,20.00,2016-12-23 [Closed],2017-02-26,,2072/2073
6,15.00,12.00,27.00,2015-12-18 [Closed],2016-02-20,,2071/2072
7,20.00,15.00,35.00,2014-09-23 [Closed],2014-11-22,,2070/2071
8,30.00,10.00,40.00,2013-09-13 [Closed],2013-10-08,,2069/2070
9,30.00,20.00,50.00,2012-09-25 [Closed],2012-11-03,,2068/2069
10,40.00,30.00,70.00,2011-12-27 [Closed],2012-02-01,,2067/2068
