sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,9.00,8.8947,17.8947,2021-06-22 [Closed],,,2076/2077
2,22.00,1.16,23.16,2020-06-24 [Closed],,2020-08-16,2075/2076
3,22.00,1.16,23.16,2019-09-05 [Closed],,,2074/2075
4,22.06,1.16,23.22,2018-12-02 [Closed],,,2073/2074
5,22.00,1.157,23.157,2018-04-22 [Closed],,,2072/2073
6,21.85,1.15,23.00,2017-08-11 [Closed],,,2071/2072
7,35.00,6.84,41.84,2016-02-18 [Closed],2016-08-14,,2070/2071
8,50.00,2.63,52.63,2014-07-02 [Closed],2014-12-21,,2069/2070
9,38.89,,38.89,2013-06-28 [Closed],2013-10-08,,2068/2069
10,35.00,,35.00,2012-07-21 [Closed],2012-09-22,,2067/2068
