sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,8.00,3.00,11.00,2020-11-26 [Closed],,2021-01-27,2076/2077
2,3.00,12.00,15.00,2019-09-17 [Closed],,2019-12-27,2075/2076
3,3.628,1.635,5.263,2019-01-01 [Closed],,,2074/2075
4,16.00,1.00,17.00,2017-08-28 [Closed],,,2073/2074
5,15.8,0.83,16.63,2016-09-22 [Closed],,,2072/2073
6,20.00,1.05,21.05,2015-09-28 [Closed],2015-12-02,,2071/2072
7,13.00,5.95,18.95,2014-09-14 [Closed],2014-10-18,,2070/2071
8,0.00,15.00,15.00,2013-09-20 [Closed],2013-10-21,,2069/2070
9,0.00,8.42,8.42,2012-09-20 [Closed],2012-10-09,,2068/2069
10,5.00,5.53,10.53,2011-09-29 [Closed],2011-10-23,,2067/2068
