sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,15.00,5.00,20.00,2021-03-23 [Closed],,2021-07-11,2076/2077
2,30.00,15.00,45.00,2020-01-27 [Closed],2020-02-13,2020-07-23,2075/2076
3,10.00,10.00,20.00,2019-01-10 [Closed],,,2074/2075
4,16.00,15.00,31.00,2017-12-29 [Closed],,,2073/2074
5,35.00,17.63,52.63,2017-02-13 [Closed],,,2072/2073
6,50.00,2.63,52.63,2015-12-13 [Closed],,,2071/2072
7,35.00,15.00,50.00,2014-12-02 [Closed],2014-12-23,,2070/2071
8,20.00,15.00,35.00,2013-12-27 [Closed],2014-01-18,,2069/2070
9,0.00,25.00,25.00,2012-01-02 [Closed],2013-01-15,,2068/2069
10,0.00,28.00,28.00,2011-12-29 [Closed],2012-01-24,,2067/2068
