sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,5.00,5.53,10.53,2020-12-25 [Closed],,2021-02-22,2076/2077
2,5.00,20.00,25.00,2019-12-20 [Closed],,2020-07-07,2075/2076
3,0.00,20.00,20.00,2018-12-12 [Closed],,,2074/2075
4,33.00,1.74,34.74,2017-12-28 [Closed],,,2073/2074
5,70.00,3.675,73.675,2016-12-21 [Closed],,,2072/2073
6,30.00,6.57,36.57,2015-12-01 [Closed],,,2071/2072
7,12.00,50.00,62.00,2014-09-03 [Closed],2014-10-19,,2070/2071
8,10.00,50.53,60.53,2013-09-18 [Closed],2013-10-09,,2069/2070
9,30.00,1.58,31.58,2012-10-19 [Closed],2012-11-25,,2068/2069
10,10.00,50.00,60.00,2011-10-17 [Closed],2011-10-15,,2067/2068
