sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,12.00,0.63,12.63,,,,2076/2077
2,17.1,0.9,18.00,2020-03-20 [Closed],,2020-08-06,2075/2076
3,0.00,17.00,17.00,2019-03-11 [Closed],,,2074/2075
4,30.12,1.58,31.7,2017-11-21 [Closed],,,2073/2074
5,25.00,1.31,26.31,2017-03-20 [Closed],,,2072/2073
6,26.00,1.36,27.36,2016-03-29 [Closed],,,2071/2072
7,35.00,1.84,36.84,2014-12-26 [Closed],2015-01-31,,2070/2071
8,50.00,2.64,52.64,2013-12-31 [Closed],2014-02-12,,2069/2070
9,25.00,,25.00,2012-12-31 [Closed],2013-02-24,,2068/2069
10,0.00,25.00,25.00,2011-12-29 [Closed],2012-02-06,,2067/2068
