sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,13.5,0.7105,14.21,2021-01-25 [Closed],,2021-04-18,2076/2077
2,16.15,0.85,17.00,2019-11-29 [Closed],,2020-02-02,2075/2076
3,10.00,3.75,13.75,2018-09-28 [Closed],,,2074/2075
4,15.00,,15.00,2017-12-29 [Closed],,,2073/2074
5,20.00,,20.00,2017-02-03 [Closed],,,2072/2073
6,20.00,,20.00,2015-12-29 [Closed],,,2071/2072
7,20.00,1.05,21.05,2014-11-11 [Closed],2014-12-09,,2070/2071
8,20.00,5.00,25.00,2013-09-19 [Closed],2013-10-30,,2069/2070
9,10.00,15.00,25.00,2012-10-05 [Closed],2012-10-31,,2068/2069
10,0.00,18.00,18.00,2011-11-22 [Closed],2011-12-04,,2067/2068
