sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,8.00,3.4,11.4,2021-01-05 [Closed],,2021-04-08,2076/2077
2,0.00,6.5,6.5,2020-01-07 [Closed],2020-01-21,,2075/2076
3,0.00,5.26,5.26,2018-10-26 [Closed],,,2074/2075
4,15.8,,15.8,2018-01-03 [Closed],,2018-02-15,2073/2074
5,12.00,0.63,12.63,2016-12-22 [Closed],,2017-01-23,2072/2073
6,15.00,0.79,15.79,2015-12-29 [Closed],2016-02-16,2016-04-11,2071/2072
7,23.75,1.25,25.00,2014-12-21 [Closed],,2015-04-22,2070/2071
8,15.00,2.00,17.00,2013-12-12 [Closed],2014-01-19,2014-04-28,2069/2070
9,15.00,0.79,15.79,2012-12-27 [Closed],2013-01-26,,2068/2069
10,15.00,0.79,15.79,2011-12-29 [Closed],2012-01-28,2012-06-03,2067/2068
