sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,14.00,6.00,20.00,2020-12-29 [Closed],,2021-03-14,2076/2077
2,10.00,12.00,22.00,2020-01-27 [Closed],,2020-10-11,2075/2076
3,5.00,10.78,15.78,2018-12-31 [Closed],,,2074/2075
4,25.00,1.3158,26.3158,2017-12-26 [Closed],,,2073/2074
5,30.00,1.57,31.57,2016-12-21 [Closed],,,2072/2073
6,35.00,7.1,42.1,2015-12-04 [Closed],,,2071/2072
7,15.00,6.05,21.05,2014-11-26 [Closed],2014-12-27,,2070/2071
8,5.00,10.00,15.00,2014-03-06 [Closed],2014-04-02,,2069/2070
9,15.00,13.4211,28.4211,2012-12-13 [Closed],2012-12-31,,2068/2069
10,20.00,16.8421,36.8421,2011-12-08 [Closed],2012-01-01,,2067/2068
