sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.5,4.5,15.00,2021-01-03 [Closed],,2021-02-23,2076/2077
2,5.00,8.00,13.00,2019-12-31 [Closed],,2020-03-17,2075/2076
3,0.00,8.00,8.00,2018-09-12 [Closed],,,2074/2075
4,10.00,11.05,21.05,2017-10-11 [Closed],2017-11-09,,2073/2074
5,17.00,0.89,17.89,2016-09-29 [Closed],,,2072/2073
6,10.5,0.55,11.05,2016-03-28 [Closed],,,2071/2072
7,14.00,0.74,14.74,2014-11-16 [Closed],2014-12-06,,2070/2071
8,5.00,10.79,15.79,2013-09-25 [Closed],2013-10-08,,2069/2070
9,0.00,8.42,8.42,2012-12-10 [Closed],2012-12-30,,2068/2069
10,8.00,7.00,15.00,2011-12-28 [Closed],2012-01-18,,2067/2068
