sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.85,3.15,14.00,2020-11-30 [Closed],,2021-01-12,2076/2077
2,10.00,0.52,10.52,2019-09-15 [Closed],,2019-12-27,2075/2076
3,8.5,0.00,8.5,2019-04-19 [Closed],,,2074/2075
4,12.75,0.00,12.75,2019-04-19 [Closed],,,2073/2074
5,21.00,1.1,21.00,2017-03-03 [Closed],,,2072/2073
6,11.00,0.58,11.58,2016-01-14 [Closed],,,2071/2072
7,33.00,1.74,34.74,2014-10-22 [Closed],2015-01-10,,2070/2071
8,14.00,,14.00,2014-04-09 [Closed],2014-05-31,,2069/2070
9,0.00,7.00,7.00,2013-01-24 [Closed],2013-02-09,,2068/2069
10,8.00,0.44,8.44,2012-01-16 [Closed],2012-02-12,,2067/2068
