sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,15.00,0.79,15.79,2020-12-29 [Closed],,2021-02-11,2076/2077
2,18.525,0.975,19.5,2020-03-10 [Closed],,2020-07-15,2075/2076
3,17.00,0.89,17.89,2019-02-27 [Closed],,,2074/2075
4,31.48,1.66,33.14,2017-12-19 [Closed],,,2073/2074
5,30.00,1.58,31.58,2016-11-03 [Closed],,,2072/2073
6,30.00,1.58,31.58,2015-12-21 [Closed],2016-03-27,,2071/2072
7,25.00,1.316,26.316,2014-12-31 [Closed],2015-02-22,,2070/2071
8,20.00,5.00,25.00,2013-10-03 [Closed],2013-10-26,,2069/2070
9,20.00,,20.00,2012-11-21 [Closed],2013-01-02,,2068/2069
10,0.00,10.53,10.53,2011-12-01 [Closed],2011-12-15,,2067/2068
