sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,33.5,1.76,35.26,2020-12-30 [Closed],,2021-03-10,2076/2077
2,12.00,22.00,34.00,2019-12-24 [Closed],,2020-03-02,2075/2076
3,12.00,22.00,34.00,2019-02-26 [Closed],,,2074/2075
4,30.00,18.00,48.00,2017-09-12 [Closed],,,2073/2074
5,30.00,15.00,45.00,2016-09-21 [Closed],,,2072/2073
6,30.00,6.842,36.842,2015-12-06 [Closed],2015-12-28,,2071/2072
7,20.00,45.00,65.00,2014-11-13 [Closed],2014-12-02,,2070/2071
8,25.00,40.00,65.00,2013-12-09 [Closed],2013-12-28,,2069/2070
9,20.00,40.00,60.00,2012-10-03 [Closed],2012-10-30,,2068/2069
10,0.00,30.00,30.00,2011-12-04 [Closed],2011-12-20,,2067/2068
