sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,13.00,5.5,18.5,2021-01-06 [Closed],,2021-04-18,2076/2077
2,10.5,8.5,19.00,2019-12-30 [Closed],,2020-06-11,2075/2076
3,18.00,22.00,40.00,2018-12-26 [Closed],,,2074/2075
4,15.00,25.00,40.00,2017-10-04 [Closed],,,2073/2074
5,20.00,21.00,41.00,2016-09-06 [Closed],2016-11-11,,2072/2073
6,33.00,1.74,34.74,2015-10-30 [Closed],,,2071/2072
7,15.00,25.00,40.00,2014-10-09 [Closed],2014-10-25,,2070/2071
8,10.00,25.00,35.00,2013-12-11 [Closed],2013-12-26,,2069/2070
9,25.00,5.00,30.00,2012-12-20 [Closed],2013-01-12,,2068/2069
10,25.00,25.00,50.00,2011-10-30 [Closed],2011-10-12,,2067/2068
