sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,8.00,0.42,8.42,2021-02-19 [Closed],,,2076/2077
2,15.00,5.79,20.79,2019-12-29 [Closed],2020-01-23,2020-11-27,2075/2076
3,15.00,5.79,20.79,2018-12-20 [Closed],,2019-07-02,2074/2075
4,13.00,7.68,20.68,2017-12-24 [Closed],,,2073/2074
5,20.00,11.05,31.05,2017-03-13 [Closed],2017-06-21,2017-07-24,2072/2073
6,44.00,2.32,46.32,2015-12-29 [Closed],,,2071/2072
7,25.00,20.00,45.00,2014-11-25 [Closed],2015-01-26,2015-07-12,2070/2071
8,55.00,,55.00,2013-12-13 [Closed],2014-02-10,2014-03-30,2069/2070
9,15.00,10.79,25.79,2012-12-21 [Closed],2013-02-12,2013-05-26,2068/2069
10,40.00,10.00,50.00,2011-12-16 [Closed],2012-02-20,,2067/2068
