sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,0.00,40.00,40.00,2021-03-12 [Closed],,,2076/2077
2,0.00,45.00,45.00,2019-12-31 [Closed],,,2075/2076
3,0.00,55.00,55.00,2018-12-30 [Closed],,,2074/2075
4,0.00,55.00,55.00,2017-12-27 [Closed],,,2073/2074
5,0.00,51.00,51.00,2017-02-26 [Closed],2017-03-15,,2072/2073
6,0.00,50.00,50.00,2016-04-17 [Closed],2016-05-02,,2071/2072
7,0.00,47.00,47.00,2015-03-26 [Closed],2015-04-11,,2070/2071
8,0.00,46.00,46.00,2014-06-13 [Closed],2014-07-09,,2069/2070
9,0.00,48.00,48.00,2013-03-17 [Closed],2013-04-10,,2068/2069
10,0.00,45.00,45.00,2012-03-16 [Closed],2012-04-05,,2067/2068
