sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,13.00,0.68,13.68,2021-02-23 [Closed],,2021-07-05,2076/2077
2,25.00,15.53,40.53,2019-12-16 [Closed],,2020-11-08,2075/2076
3,20.00,22.11,42.11,2018-11-27 [Closed],,,2074/2075
4,66.67,14.04,80.71,2017-12-29 [Closed],,,2073/2074
5,20.00,11.579,31.579,2016-11-15 [Closed],,,2072/2073
6,48.81,13.1,61.91,2015-12-09 [Closed],2016-01-02,,2071/2072
7,40.00,12.63,52.63,2014-12-10 [Closed],2015-01-04,,2070/2071
8,20.00,11.58,30.00,2013-12-23 [Closed],2014-01-08,,2069/2070
9,3.92,11.87,15.79,2013-03-22 [Closed],2013-04-15,,2068/2069
10,8.00,0.421,8.421,2011-12-30 [Closed],2012-01-28,,2067/2068
