sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,15.00,0.00,15.00,2021-01-04 [Closed],,2021-05-10,2076/2077
2,16.00,0.00,16.00,2019-12-30 [Closed],,2020-06-11,2075/2076
3,16.00,0.00,16.00,2019-05-23 [Closed],,,2074/2075
4,27.00,,27.00,2017-12-20 [Closed],,,2073/2074
5,17.25,1.21,18.46,2017-01-12 [Closed],,,2072/2073
6,18.00,0.95,18.95,2015-12-30 [Closed],2016-03-31,,2071/2072
7,19.00,1.00,20.00,2014-12-28 [Closed],2015-05-24,,2070/2071
8,10.00,5.00,15.00,2013-12-27 [Closed],2014-02-03,,2069/2070
9,4.00,7.58,11.58,2012-12-03 [Closed],2013-01-01,,2068/2069
10,0.00,12.63,12.63,2011-11-16 [Closed],2011-12-10,,2067/2068
