sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,5.00,0.2632,5.2632,2021-03-23 [Closed],,2021-07-04,2076/2077
2,0.00,8.9593,8.9593,2019-12-31 [Closed],,,2075/2076
3,4.00,5.45,9.45,2019-01-01 [Closed],,,2074/2075
4,2.5,9.3,11.8,2018-06-18 [Closed],,,2073/2074
5,16.07,0.85,16.92,2017-05-18 [Closed],,,2072/2073
6,20.85,,20.85,2016-02-04 [Closed],,,2071/2072
7,15.00,6.3,21.3,2015-03-28 [Closed],2015-04-25,,2070/2071
8,0.00,19.17,19.17,2013-02-26 [Closed],2014-06-14,,2069/2070
9,0.00,11.00,11.00,,2013-04-14,,2068/2069
10,0.00,10.00,10.00,2011-12-09 [Closed],2011-12-27,,2067/2068
