sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,3.6,13.6,2020-11-02 [Closed],,2021-02-01,2076/2077
2,10.00,11.05,21.05,2019-09-30 [Closed],,2020-02-02,2075/2076
3,0.00,14.00,14.00,2018-11-30 [Closed],,,2074/2075
4,16.00,,16.00,2017-09-22 [Closed],,,2073/2074
5,15.00,0.79,15.79,2016-09-29 [Closed],,,2072/2073
6,20.00,1.05,21.05,2015-10-01 [Closed],,,2071/2072
7,15.00,0.79,15.00,2014-09-28 [Closed],2014-12-31,,2070/2071
8,10.00,0.53,10.53,2013-09-27 [Closed],2014-01-06,,2069/2070
9,0.00,5.5,5.5,2012-11-23 [Closed],2012-12-10,,2068/2069
10,0.00,6.5,6.5,2011-11-17 [Closed],2011-12-04,,2067/2068
