sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,6.00,3.47,9.47,2020-12-30 [Closed],,2021-03-02,2076/2077
2,6.00,10.84,16.84,2019-11-29 [Closed],2019-12-17,2020-06-10,2075/2076
3,5.00,10.79,15.79,2019-01-02 [Closed],,,2074/2075
4,15.42,0.81,16.23,2017-12-15 [Closed],,,2073/2074
5,28.00,1.53,29.53,2017-02-05 [Closed],,,2072/2073
6,27.00,1.42,28.42,2016-01-19 [Closed],2016-02-10,,2071/2072
7,15.00,7.00,22.00,2015-01-01 [Closed],2015-02-21,,2070/2071
8,12.5,7.5,20.00,2013-09-25 [Closed],2013-10-26,,2069/2070
9,12.5,5.00,17.5,2012-09-28 [Closed],2012-10-16,,2068/2069
10,12.5,5.00,17.5,2011-11-06 [Closed],2011-12-17,,2067/2068
