sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,12.00,3.00,15.00,2021-01-12 [Closed],,,2076/2077
2,10.00,15.26,25.26,2019-10-16 [Closed],,2020-03-02,2075/2076
3,5.00,8.16,13.16,2018-12-24 [Closed],,,2074/2075
4,14.00,,14.00,2018-03-04 [Closed],,,2073/2074
5,39.00,,39.00,2017-02-02 [Closed],,,2072/2073
6,20.00,1.05,21.05,2015-12-16 [Closed],,,2071/2072
7,12.00,11.16,23.16,2014-10-20 [Closed],2014-11-15,,2070/2071
8,12.00,10.11,22.11,2014-01-02 [Closed],2014-02-02,,2069/2070
9,0.00,8.42,8.42,2013-01-01 [Closed],2013-01-16,,2068/2069
10,3.00,12.79,15.79,2011-12-14 [Closed],2012-01-01,,2067/2068
