sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,7.00,4.84,11.84,2020-12-24 [Closed],,2021-02-25,2076/2077
2,0.00,22.5,22.5,2019-11-25 [Closed],,,2075/2076
3,0.00,17.5,17.5,2019-01-13 [Closed],,,2074/2075
4,100.00,5.26,105.26,2017-12-31 [Closed],,,2073/2074
5,33.33,1.75,35.08,2016-12-07 [Closed],,,2072/2073
6,25.00,19.21,44.21,2016-04-30 [Closed],2016-08-07,,2071/2072
7,10.00,41.5,51.5,2014-10-31 [Closed],2014-12-20,,2070/2071
8,10.00,40.00,50.00,2013-10-30 [Closed],2013-12-09,,2069/2070
9,15.00,45.00,60.00,2012-11-09 [Closed],2012-12-23,,2068/2069
10,0.00,50.00,50.00,2011-11-16 [Closed],2011-12-12,,2067/2068
