sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,7.37,3.16,10.53,2020-12-30 [Closed],,2021-04-05,2076/2077
2,2.35,10.65,13.00,2019-12-17 [Closed],,2020-07-07,2075/2076
3,1.23,8.77,10.00,2018-12-02 [Closed],,,2074/2075
4,26.57,,26.57,2018-06-18 [Closed],,,2073/2074
5,10.5,0.55,11.05,2016-10-07 [Closed],,,2072/2073
6,11.61,0.61,12.22,2015-09-23 [Closed],2015-10-29,,2071/2072
7,12.00,0.63,12.63,2014-11-14 [Closed],2014-12-13,,2070/2071
8,10.00,10.4,20.4,2013-11-18 [Closed],2013-12-09,,2069/2070
9,0.00,15.79,15.79,2012-10-04 [Closed],,,2068/2069
10,15.02,7.11,22.13,2011-10-18 [Closed],2011-11-16,,2067/2068
