sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,20.00,5.00,25.00,,,,2076/2077
2,25.00,10.00,35.00,2020-11-30 [Closed],,2021-01-27,2075/2076
3,25.00,10.00,35.00,2019-03-08 [Closed],,,2074/2075
4,25.00,10.00,35.00,2018-02-20 [Closed],,,2073/2074
5,20.00,5.00,25.00,2017-06-28 [Closed],2017-10-22,,2072/2073
6,15.00,10.00,25.00,2016-05-25 [Closed],2016-12-01,,2071/2072
7,10.00,10.00,20.00,2015-03-09 [Closed],2015-06-18,,2070/2071
8,10.00,15.00,25.00,2014-03-23 [Closed],2014-05-07,,2069/2070
9,10.00,15.00,25.00,2013-04-14 [Closed],2013-06-01,,2068/2069
10,35.00,10.00,45.00,2012-04-20 [Closed],2012-05-22,,2067/2068
