sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,19.0057,1.00,20.0057,2021-03-12 [Closed],,,2076/2077
2,26.00,14.00,40.00,2019-12-17 [Closed],,2020-10-14,2075/2076
3,25.00,11.84,36.84,2018-12-25 [Closed],,,2074/2075
4,20.00,11.57,31.57,2017-11-14 [Closed],,,2073/2074
5,34.00,19.68,53.68,2016-12-19 [Closed],2017-01-13,,2072/2073
6,42.00,10.63,52.63,2015-12-20 [Closed],2016-03-12,,2071/2072
7,46.5,23.5,70.00,2014-12-24 [Closed],2015-02-17,,2070/2071
8,14.00,13.368,27.368,2013-12-31 [Closed],2014-01-12,,2069/2070
9,5.00,26.58,31.58,2013-03-18 [Closed],2013-04-29,,2068/2069
10,5.00,26.00,31.00,2012-02-09 [Closed],2012-04-01,,2067/2068
