sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,0.00,100.00,100.00,2020-11-12 [Closed],,,2076/2077
2,0.00,770.00,770.00,2019-10-09 [Closed],,,2075/2076
3,0.00,700.00,700.00,,,,2074/2075
4,0.00,"1,270.00","1,270.00",2017-09-15 [Closed],,,2073/2074
5,0.00,"1,020.00","1,020.00",2016-09-04 [Closed],,,2072/2073
6,0.00,990.00,990.00,2015-09-13 [Closed],,,2071/2072
7,0.00,860.00,860.00,2014-09-02 [Closed],2014-09-23,,2070/2071
8,0.00,760.00,760.00,2013-09-16 [Closed],2013-10-07,,2069/2070
9,0.00,680.00,680.00,2012-09-16 [Closed],2012-10-10,,2068/2069
10,0.00,590.00,590.00,,2011-10-24,,2066/2067
