sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"2,124.95",8.99,0.4248%
2,2021/08/11,"2,115.96",-14.17,-0.6651%
3,2021/08/10,"2,129.77",39.04,1.8674%
4,2021/08/09,"2,090.69",-12.08,-0.5747%
5,2021/08/08,"2,102.88",0.08,0.0036%
6,2021/08/05,"2,102.93",0.12,0.0057%
7,2021/08/04,"2,102.70",4.29,0.2046%
8,2021/08/03,"2,098.41",2.34,0.1115%
9,2021/08/02,"2,096.02",1.91,0.0913%
10,2021/08/01,"2,094.19",-5.63,-0.2682%
11,2021/07/29,"2,099.59",-10.44,-0.4946%
12,2021/07/28,"2,109.90",-18.45,-0.8668%
13,2021/07/27,"2,128.35",-3.63,-0.1701%
14,2021/07/26,"2,131.69",-43.50,-2%
15,2021/07/25,"2,175.14",72.14,3.4306%
16,2021/07/22,"2,102.96",35.64,1.7242%
17,2021/07/20,"2,067.48",-0.74,-0.036%
18,2021/07/19,"2,068.23",10.84,0.527%
19,2021/07/18,"2,057.38",92.58,4.7118%
20,2021/07/15,"1,964.26",6.30,0.3217%
21,2021/07/14,"1,957.96",-6.22,-0.3168%
22,2021/07/13,"1,964.19",14.24,0.7301%
23,2021/07/12,"1,950.07",-22.50,-1.1406%
24,2021/07/11,"1,972.57",45.13,2.3415%
25,2021/07/08,"1,927.44",17.81,0.9328%
26,2021/07/07,"1,909.63",-3.71,-0.1937%
27,2021/07/06,"1,913.34",3.67,0.1919%
28,2021/07/05,"1,909.43",-7.02,-0.3661%
29,2021/07/04,"1,916.15",-6.90,-0.3586%
30,2021/07/01,"1,923.05",3.13,0.1631%
31,2021/06/30,"1,919.92",-4.08,-0.2119%
32,2021/06/29,"1,924.00",-26.44,-1.3558%
33,2021/06/28,"1,950.44",6.95,0.3577%
34,2021/06/27,"1,943.49",38.26,2.0082%
35,2021/06/24,"1,905.23",-7.42,-0.388%
36,2021/06/23,"1,916.90",-28.54,-1.4669%
37,2021/06/22,"1,945.44",44.31,2.3309%
38,2021/06/21,"1,901.70",-34.22,-1.7675%
39,2021/06/20,"1,935.35",-35.42,-1.7974%
