sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"5,749.25",344.41,6.3723%
2,2021/08/11,"5,404.37",-41.20,-0.7565%
3,2021/08/10,"5,445.44",406.44,8.0659%
4,2021/08/09,"5,038.28",-53.12,-1.0433%
5,2021/08/08,"5,089.83",66.37,1.3213%
6,2021/08/05,"5,021.33",108.69,2.2125%
7,2021/08/04,"4,913.52",65.85,1.3585%
8,2021/08/03,"4,847.67",-2.36,-0.0486%
9,2021/08/02,"4,850.02",-61.51,-1.2523%
10,2021/08/01,"4,910.73",19.27,0.394%
11,2021/07/29,"4,891.32",53.40,1.1037%
12,2021/07/28,"4,837.92",48.36,1.0098%
13,2021/07/27,"4,789.56",35.57,0.7482%
14,2021/07/26,"4,753.83",-34.38,-0.7181%
15,2021/07/25,"4,787.86",13.00,0.2722%
16,2021/07/22,"4,775.66",-14.93,-0.3117%
17,2021/07/20,"4,790.81",-38.22,-0.7915%
18,2021/07/19,"4,829.17",-18.30,-0.3776%
19,2021/07/18,"4,847.47",233.09,5.0513%
20,2021/07/15,"4,616.77",-13.66,-0.295%
21,2021/07/14,"4,630.44",-11.08,-0.2388%
22,2021/07/13,"4,641.52",70.33,1.5386%
23,2021/07/12,"4,571.45",-97.97,-2.098%
24,2021/07/11,"4,669.42",357.50,8.2911%
25,2021/07/08,"4,311.92",89.57,2.1214%
26,2021/07/07,"4,222.34",11.06,0.2626%
27,2021/07/06,"4,211.28",-1.72,-0.0408%
28,2021/07/05,"4,212.45",-102.42,-2.3735%
29,2021/07/04,"4,314.87",-45.46,-1.0425%
30,2021/07/01,"4,360.33",152.83,3.6322%
31,2021/06/30,"4,205.13",136.96,3.3666%
32,2021/06/29,"4,068.17",-167.13,-3.9462%
33,2021/06/28,"4,235.30",-70.58,-1.6392%
34,2021/06/27,"4,304.24",-59.41,-1.3615%
35,2021/06/24,"4,363.65",-72.73,-1.6394%
36,2021/06/23,"4,445.46",-160.66,-3.488%
37,2021/06/22,"4,606.12",251.33,5.7714%
38,2021/06/21,"4,354.79",-210.21,-4.6049%
39,2021/06/20,"4,559.06",-165.22,-3.4973%
40,2021/06/17,"4,721.13",94.25,2.0371%
41,2021/06/16,"4,626.09",-194.95,-4.0437%
42,2021/06/15,"4,821.04",-222.89,-4.419%
43,2021/06/14,"5,043.48",-56.41,-1.1061%
44,2021/06/13,"5,099.89",388.24,8.2401%
45,2021/06/10,"4,714.44",120.60,2.6254%
46,2021/06/09,"4,593.84",-211.88,-4.4089%
47,2021/06/08,"4,805.72",398.29,9.0368%
48,2021/06/07,"4,407.43",260.06,6.2705%
49,2021/06/06,"4,146.63",96.31,2.3778%
50,2021/06/03,"4,050.32",146.02,3.74%
51,2021/06/02,"3,904.30",225.66,6.1343%
52,2021/06/01,"3,670.78",21.41,0.5866%
53,2021/05/31,"3,649.38",-56.97,-1.5371%
54,2021/05/30,"3,707.25",255.25,7.3943%
55,2021/05/27,"3,450.11",114.30,3.4263%
56,2021/05/25,"3,335.81",-53.48,-1.578%
57,2021/05/24,"3,389.30",-32.90,-0.9615%
58,2021/05/23,"3,422.20",239.89,7.5382%
59,2021/05/20,"3,182.31",113.44,3.6964%
60,2021/05/19,"3,068.88",-51.98,-1.6655%
61,2021/05/18,"3,120.85",100.46,3.3259%
62,2021/05/17,"3,020.40",-0.55,-0.0183%
63,2021/05/16,"3,021.10",112.59,3.8712%
64,2021/05/13,"2,908.20",71.19,2.5092%
65,2021/05/12,"2,836.76",3.81,0.1344%
66,2021/05/11,"2,832.95",15.23,0.5406%
67,2021/05/10,"2,817.72",18.08,0.6456%
68,2021/05/09,"2,799.64",-1.36,-0.0485%
69,2021/05/06,"2,801.22",-13.85,-0.492%
70,2021/05/05,"2,816.36",-3.26,-0.1155%
71,2021/05/03,"2,830.86",-33.68,-1.1756%
72,2021/05/02,"2,864.53",38.24,1.3532%
73,2021/04/29,"2,825.65",27.30,0.9754%
74,2021/04/28,"2,798.35",-24.10,-0.854%
75,2021/04/27,"2,822.45",93.76,3.4363%
76,2021/04/26,"2,728.69",-88.09,-3.1275%
77,2021/04/25,"2,816.78",-86.34,-2.9741%
78,2021/04/22,"2,903.12",38.17,1.3322%
79,2021/04/21,"2,864.96",-61.33,-2.0959%
80,2021/04/20,"2,926.29",48.42,1.6825%
81,2021/04/19,"2,876.14",-56.80,-1.9367%
82,2021/04/18,"2,932.94",-48.30,-1.6202%
83,2021/04/15,"2,980.51",90.18,3.1202%
84,2021/04/13,"2,890.33",95.42,3.4142%
85,2021/04/12,"2,794.90",39.36,1.4285%
86,2021/04/08,"2,755.54",20.62,0.754%
87,2021/04/07,"2,734.92",40.52,1.504%
88,2021/04/06,"2,694.40",29.97,1.1249%
89,2021/04/05,"2,664.42",-13.42,-0.5012%
90,2021/04/04,"2,677.85",22.39,0.8431%
91,2021/04/01,"2,656.36",52.88,2.0311%
92,2021/03/31,"2,603.48",42.92,1.6764%
93,2021/03/30,"2,560.55",7.79,0.3053%
94,2021/03/29,"2,552.76",-0.48,-0.019%
