sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"3,012.96",31.77,1.0657%
2,2021/08/11,"2,981.19",-19.66,-0.6552%
3,2021/08/10,"3,001.35",190.64,6.7828%
4,2021/08/09,"2,806.12",90.91,3.3483%
5,2021/08/08,"2,715.21",21.89,0.8128%
6,2021/08/05,"2,694.92",-22.89,-0.8424%
7,2021/08/04,"2,718.85",45.05,1.6848%
8,2021/08/03,"2,673.80",10.42,0.3911%
9,2021/08/02,"2,663.38",9.00,0.3389%
10,2021/08/01,"2,654.39",-31.72,-1.1811%
11,2021/07/29,"2,685.49",-53.82,-1.9649%
12,2021/07/28,"2,741.41",70.16,2.6266%
13,2021/07/27,"2,668.40",71.04,2.7351%
14,2021/07/26,"2,612.71",65.53,2.5726%
15,2021/07/25,"2,547.18",24.86,0.9858%
16,2021/07/22,"2,519.72",38.25,1.5416%
17,2021/07/20,"2,481.47",-32.43,-1.29%
18,2021/07/19,"2,519.12",-29.79,-1.1688%
19,2021/07/18,"2,548.91",35.24,1.4021%
20,2021/07/15,"2,502.13",47.89,1.9513%
21,2021/07/14,"2,454.24",35.89,1.4839%
22,2021/07/13,"2,418.60",93.78,4.0337%
23,2021/07/12,"2,324.82",-21.77,-0.9279%
24,2021/07/11,"2,346.59",181.26,8.3711%
25,2021/07/08,"2,165.33",64.95,3.0924%
26,2021/07/07,"2,100.38",-32.96,-1.5449%
27,2021/07/06,"2,133.34",-1.50,-0.0701%
28,2021/07/05,"2,132.77",-57.06,-2.6058%
29,2021/07/04,"2,190.32",-39.26,-1.761%
30,2021/07/01,"2,227.43",63.56,2.9375%
31,2021/06/30,"2,163.23",118.78,5.8097%
32,2021/06/29,"2,044.45",-87.61,-4.109%
33,2021/06/28,"2,132.06",-56.70,-2.5907%
34,2021/06/27,"2,188.76",-39.27,-1.7624%
35,2021/06/24,"2,227.60",-29.50,-1.3072%
36,2021/06/23,"2,260.58",-67.44,-2.8969%
37,2021/06/22,"2,328.56",127.60,5.7975%
38,2021/06/21,"2,200.96",-120.22,-5.1791%
39,2021/06/20,"2,321.18",-80.04,-3.3333%
40,2021/06/17,"2,401.47",33.66,1.4217%
41,2021/06/16,"2,367.54",-172.68,-6.7977%
42,2021/06/15,"2,540.22",-86.51,-3.2935%
43,2021/06/14,"2,626.73",24.81,0.9534%
44,2021/06/13,"2,601.93",173.50,7.1447%
45,2021/06/10,"2,428.42",60.95,2.5744%
46,2021/06/09,"2,367.47",47.38,2.042%
47,2021/06/08,"2,320.10",185.93,8.712%
48,2021/06/07,"2,134.17",162.94,8.266%
49,2021/06/06,"1,970.24",27.72,1.4268%
50,2021/06/03,"1,942.52",62.85,3.3435%
51,2021/06/02,"1,879.67",137.83,7.9128%
52,2021/06/01,"1,727.44",1.88,0.109%
53,2021/05/31,"1,721.94",-12.81,-0.7382%
54,2021/05/30,"1,734.74",83.91,5.0828%
55,2021/05/27,"1,650.83",36.81,2.2805%
