sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,222.61,1.16,0.5244%
2,2021/08/11,221.45,0.11,0.0492%
3,2021/08/10,221.32,4.20,1.9328%
4,2021/08/09,217.13,-0.04,-0.0167%
5,2021/08/08,217.17,0.10,0.0472%
6,2021/08/05,217.06,-0.86,-0.3955%
7,2021/08/04,217.92,1.28,0.5898%
8,2021/08/03,216.65,1.72,0.8004%
9,2021/08/02,214.93,0.23,0.1068%
10,2021/08/01,214.70,0.03,0.0122%
11,2021/07/29,214.67,-1.12,-0.5173%
12,2021/07/28,215.79,0.50,0.2329%
13,2021/07/27,215.29,1.45,0.678%
14,2021/07/26,213.84,-0.86,-0.4002%
15,2021/07/25,214.70,4.52,2.1481%
16,2021/07/22,210.18,1.86,0.8921%
17,2021/07/20,208.32,-0.50,-0.2402%
18,2021/07/19,208.83,0.83,0.3975%
19,2021/07/18,208.00,7.66,3.8211%
20,2021/07/15,200.35,0.94,0.4716%
21,2021/07/14,199.41,0.05,0.0239%
22,2021/07/13,199.36,1.28,0.6437%
23,2021/07/12,198.08,-3.09,-1.5366%
24,2021/07/11,201.17,5.74,2.9347%
25,2021/07/08,195.42,2.10,1.0858%
26,2021/07/07,193.32,-1.02,-0.525%
27,2021/07/06,194.34,-0.50,-0.2574%
28,2021/07/05,194.82,-1.21,-0.6181%
29,2021/07/04,196.04,-0.75,-0.3836%
30,2021/07/01,196.79,1.05,0.5383%
31,2021/06/30,195.74,0.00,-0.0015%
32,2021/06/29,195.74,-3.23,-1.6216%
33,2021/06/28,198.97,0.24,0.1183%
34,2021/06/27,198.73,2.29,1.165%
35,2021/06/24,196.44,-0.90,-0.4549%
36,2021/06/23,197.55,-3.82,-1.896%
37,2021/06/22,201.37,5.69,2.9056%
38,2021/06/21,195.68,-5.24,-2.6068%
39,2021/06/20,200.89,-4.47,-2.1766%
40,2021/06/17,205.36,-0.40,-0.195%
41,2021/06/16,205.76,-3.19,-1.5282%
42,2021/06/15,208.95,-1.27,-0.603%
43,2021/06/14,210.22,3.48,1.6823%
44,2021/06/13,206.74,2.92,1.4321%
45,2021/06/10,203.82,-0.37,-0.1831%
46,2021/06/09,204.20,-1.03,-0.5032%
47,2021/06/08,205.23,3.94,1.9571%
48,2021/06/07,201.29,-0.07,-0.0325%
49,2021/06/06,201.35,4.11,2.0853%
50,2021/06/03,197.23,2.76,1.4209%
51,2021/06/02,194.47,3.25,1.6971%
52,2021/06/01,191.22,-0.90,-0.4707%
53,2021/05/31,192.12,-2.90,-1.4889%
54,2021/05/30,195.02,1.59,0.8231%
55,2021/05/27,193.43,-0.26,-0.1338%
56,2021/05/25,193.69,-0.69,-0.3525%
57,2021/05/24,194.37,0.13,0.0648%
58,2021/05/23,194.25,2.77,1.4477%
59,2021/05/20,191.47,0.73,0.3824%
60,2021/05/19,190.74,-0.68,-0.3545%
61,2021/05/18,191.42,2.16,1.1409%
62,2021/05/17,189.26,1.24,0.659%
63,2021/05/16,188.01,3.98,2.1609%
64,2021/05/13,184.02,0.87,0.4724%
65,2021/05/12,183.16,-0.08,-0.0463%
66,2021/05/11,183.24,1.30,0.7171%
67,2021/05/10,181.94,1.25,0.694%
68,2021/05/09,180.70,-1.18,-0.6469%
69,2021/05/06,181.87,-0.76,-0.4141%
70,2021/05/05,182.63,-0.17,-0.0943%
71,2021/05/03,182.72,-0.78,-0.4224%
72,2021/05/02,183.49,3.36,1.863%
73,2021/04/29,180.14,1.71,0.9558%
74,2021/04/28,178.43,-1.19,-0.6618%
75,2021/04/27,179.62,6.43,3.7121%
76,2021/04/26,173.19,-4.54,-2.5524%
77,2021/04/25,177.73,-5.31,-2.9003%
78,2021/04/22,183.04,1.10,0.6032%
79,2021/04/21,181.94,-2.36,-1.2824%
80,2021/04/20,184.30,0.15,0.0833%
81,2021/04/19,184.15,-2.50,-1.3379%
82,2021/04/18,186.65,-2.73,-1.4423%
83,2021/04/15,189.38,1.50,0.798%
84,2021/04/13,187.89,2.15,1.1592%
85,2021/04/12,185.73,1.56,0.8481%
86,2021/04/08,184.17,0.34,0.187%
87,2021/04/07,183.83,-0.06,-0.0311%
88,2021/04/06,183.88,1.13,0.6158%
89,2021/04/05,182.76,-0.18,-0.0959%
90,2021/04/04,182.93,1.78,0.985%
91,2021/04/01,181.15,0.56,0.3092%
92,2021/03/31,180.59,3.36,1.8959%
93,2021/03/30,177.23,2.36,1.3521%
94,2021/03/29,174.87,-0.12,-0.071%
95,2021/03/25,174.99,-1.50,-0.8499%
96,2021/03/24,176.49,2.54,1.4579%
97,2021/03/23,173.96,1.08,0.6258%
98,2021/03/22,172.87,-1.47,-0.8415%
99,2021/03/21,174.34,4.26,2.5075%
100,2021/03/18,170.08,2.69,1.6085%
101,2021/03/17,167.38,2.54,1.5406%
102,2021/03/16,164.84,0.27,0.161%
103,2021/03/15,164.58,-1.20,-0.7218%
104,2021/03/14,165.78,-3.18,-1.8794%
105,2021/03/10,168.95,-0.76,-0.4451%
106,2021/03/09,169.71,-1.69,-0.9888%
107,2021/03/07,171.40,-1.38,-0.7969%
108,2021/03/04,172.78,6.20,3.7248%
109,2021/03/03,166.57,-2.37,-1.4053%
110,2021/03/02,168.96,-4.42,-2.5466%
111,2021/03/01,173.37,2.84,1.6675%
112,2021/02/28,170.53,-5.52,-3.1331%
113,2021/02/25,176.04,-3.24,-1.8085%
114,2021/02/24,179.29,0.87,0.4903%
115,2021/02/23,178.41,-1.52,-0.8458%
116,2021/02/22,179.93,-2.39,-1.3127%
117,2021/02/21,182.33,0.42,0.2304%
118,2021/02/18,181.91,1.65,0.9129%
119,2021/02/17,180.26,1.22,0.6815%
120,2021/02/16,179.04,1.68,0.9467%
121,2021/02/15,177.36,6.70,3.9241%
122,2021/02/14,170.66,-2.10,-1.2168%
123,2021/02/11,172.77,-0.97,-0.5583%
124,2021/02/10,173.74,0.98,0.5672%
125,2021/02/09,172.63,-1.88,-1.0765%
126,2021/02/08,174.51,3.36,1.9624%
127,2021/02/07,171.15,3.06,1.8213%
128,2021/02/04,168.09,0.53,0.3159%
129,2021/02/03,167.56,-0.29,-0.171%
130,2021/02/02,167.85,4.11,2.5112%
131,2021/02/01,163.73,2.20,1.3604%
132,2021/01/31,161.54,-3.89,-2.3497%
133,2021/01/28,165.42,-1.38,-0.8295%
134,2021/01/27,166.81,1.21,0.7278%
135,2021/01/26,165.60,-0.89,-0.5346%
136,2021/01/25,166.49,1.11,0.6706%
137,2021/01/24,165.38,2.93,1.8066%
138,2021/01/21,162.45,2.10,1.308%
139,2021/01/20,160.35,1.31,0.8207%
140,2021/01/19,159.04,-0.04,-0.0234%
141,2021/01/18,159.07,1.15,0.7297%
142,2021/01/17,157.92,1.40,0.8942%
143,2021/01/13,156.52,1.10,0.7081%
144,2021/01/12,155.42,2.02,1.3176%
145,2021/01/11,153.40,0.38,0.25%
146,2021/01/10,153.01,3.56,2.3852%
147,2021/01/07,149.45,1.39,0.9417%
148,2021/01/06,148.05,0.98,0.6637%
149,2021/01/05,147.08,-0.20,-0.1378%
150,2021/01/04,147.28,-0.46,-0.3107%
151,2021/01/03,147.74,5.82,4.0985%
152,2020/12/31,141.92,1.73,1.2344%
153,2020/12/30,140.19,2.73,1.9896%
154,2020/12/29,137.46,-0.27,-0.1991%
155,2020/12/28,137.73,0.65,0.4753%
