sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"3,763.83",-37.84,-0.9953%
2,2021/08/11,"3,801.12",102.91,2.7828%
3,2021/08/10,"3,698.21",-8.78,-0.2367%
4,2021/08/09,"3,706.99",-37.66,-1.0057%
5,2021/08/08,"3,733.13",-39.91,-1.0577%
6,2021/08/05,"3,776.55",-43.58,-1.1409%
7,2021/08/04,"3,795.80",-7.77,-0.2043%
8,2021/08/03,"3,803.57",12.28,0.3239%
9,2021/08/02,"3,791.30",-57.17,-1.4856%
10,2021/08/01,"3,849.76",-91.47,-2.3208%
11,2021/07/29,"3,933.98",45.41,1.1679%
12,2021/07/28,"3,893.43",257.71,7.0883%
13,2021/07/27,"3,629.19",-18.77,-0.5145%
14,2021/07/26,"3,640.07",14.16,0.3905%
15,2021/07/25,"3,623.73",-22.50,-0.617%
16,2021/07/22,"3,646.23",-15.23,-0.4161%
17,2021/07/20,"3,657.11",60.21,1.6739%
18,2021/07/19,"3,589.82",-16.04,-0.4449%
19,2021/07/18,"3,605.86",58.58,1.6514%
20,2021/07/15,"3,553.02",-50.38,-1.3982%
21,2021/07/14,"3,603.40",7.79,0.2166%
22,2021/07/13,"3,595.61",19.29,0.5395%
23,2021/07/12,"3,576.32",-106.88,-2.9018%
24,2021/07/11,"3,683.19",86.80,2.4135%
25,2021/07/08,"3,596.39",14.65,0.4091%
26,2021/07/07,"3,581.74",-74.34,-2.0334%
27,2021/07/06,"3,656.08",-25.62,-0.6959%
28,2021/07/05,"3,681.71",-59.00,-1.5773%
29,2021/07/04,"3,743.58",86.38,2.362%
30,2021/07/01,"3,657.19",138.55,3.9377%
31,2021/06/30,"3,518.64",-49.68,-1.3922%
32,2021/06/29,"3,568.32",-1.32,-0.0369%
33,2021/06/28,"3,570.34",20.27,0.5709%
34,2021/06/27,"3,550.07",-42.85,-1.1927%
35,2021/06/24,"3,593.39",41.69,1.1738%
36,2021/06/23,"3,554.30",-69.77,-1.9253%
37,2021/06/22,"3,624.07",109.95,3.1289%
38,2021/06/21,"3,514.12",-165.83,-4.5062%
39,2021/06/20,"3,679.95",-88.58,-2.3504%
40,2021/06/17,"3,770.93",36.60,0.9802%
41,2021/06/16,"3,734.32",-202.15,-5.1352%
42,2021/06/15,"3,936.47",58.25,1.502%
43,2021/06/14,"3,878.22",158.01,4.2474%
44,2021/06/13,"3,720.20",167.96,4.7281%
45,2021/06/10,"3,549.38",-13.27,-0.3726%
46,2021/06/09,"3,562.65",-2.01,-0.0564%
47,2021/06/08,"3,564.66",-16.45,-0.4595%
48,2021/06/07,"3,581.12",-42.49,-1.1727%
49,2021/06/06,"3,623.61",-18.98,-0.521%
50,2021/06/03,"3,642.59",117.11,3.3219%
51,2021/06/02,"3,525.48",92.35,2.6899%
52,2021/06/01,"3,425.76",-91.16,-2.592%
53,2021/05/31,"3,516.92",-0.81,-0.0231%
54,2021/05/30,"3,517.73",135.44,4.0045%
55,2021/05/27,"3,382.29",-14.83,-0.4366%
56,2021/05/25,"3,397.12",-27.89,-0.8143%
57,2021/05/24,"3,431.19",-17.00,-0.4929%
58,2021/05/23,"3,448.18",-2.94,-0.0852%
59,2021/05/20,"3,451.12",-18.89,-0.5444%
60,2021/05/19,"3,470.72",14.12,0.4086%
61,2021/05/18,"3,456.59",200.18,6.1473%
62,2021/05/17,"3,256.41",-12.79,-0.3912%
63,2021/05/16,"3,269.20",35.92,1.1109%
64,2021/05/13,"3,232.82",-19.35,-0.5951%
65,2021/05/12,"3,252.17",-6.96,-0.2136%
66,2021/05/11,"3,259.13",23.19,0.7167%
67,2021/05/10,"3,232.12",11.46,0.3559%
68,2021/05/09,"3,225.91",-41.78,-1.2787%
69,2021/05/06,"3,261.95",-44.40,-1.3428%
70,2021/05/05,"3,314.00",-37.78,-1.1273%
71,2021/05/03,"3,387.55",-12.42,-0.3654%
72,2021/05/02,"3,400.94",111.17,3.3794%
73,2021/04/29,"3,289.76",-27.77,-0.837%
74,2021/04/28,"3,317.53",-19.32,-0.5789%
75,2021/04/27,"3,336.85",39.35,1.1933%
76,2021/04/26,"3,297.50",-71.43,-2.1203%
77,2021/04/25,"3,368.93",-220.27,-6.137%
78,2021/04/22,"3,593.52",-52.92,-1.4513%
79,2021/04/21,"3,646.44",-20.13,-0.5489%
80,2021/04/20,"3,666.57",1.65,0.045%
81,2021/04/19,"3,664.92",-240.83,-6.1661%
82,2021/04/18,"3,905.75",-92.79,-2.3205%
83,2021/04/15,"3,998.54",10.50,0.2632%
84,2021/04/13,"3,988.04",-65.24,-1.6096%
85,2021/04/12,"4,053.28",-75.19,-1.8212%
86,2021/04/08,"4,128.47",29.79,0.7267%
87,2021/04/07,"4,098.68",232.64,6.0176%
88,2021/04/06,"3,866.04",205.79,5.6224%
89,2021/04/05,"3,660.24",114.80,3.238%
90,2021/04/04,"3,545.44",-29.87,-0.8355%
91,2021/04/01,"3,575.31",-77.22,-2.1142%
92,2021/03/31,"3,652.54",63.20,1.7608%
93,2021/03/30,"3,589.34",112.90,3.2476%
94,2021/03/29,"3,476.43",-144.82,-3.999%
95,2021/03/25,"3,615.62",154.07,4.4508%
96,2021/03/24,"3,461.56",178.56,5.4391%
97,2021/03/23,"3,282.99",155.50,4.9721%
98,2021/03/22,"3,127.49",104.97,3.4729%
99,2021/03/21,"3,022.06",153.77,5.3611%
100,2021/03/18,"2,868.28",112.88,4.0968%
101,2021/03/17,"2,755.40",112.69,4.2641%
102,2021/03/16,"2,642.71",86.00,3.3637%
103,2021/03/15,"2,556.71",90.93,3.6878%
104,2021/03/14,"2,465.78",61.12,2.5417%
105,2021/03/10,"2,404.66",51.72,2.1981%
106,2021/03/09,"2,352.94",68.11,2.9807%
107,2021/03/07,"2,284.84",50.15,2.2441%
108,2021/03/04,"2,234.69",64.87,2.9896%
109,2021/03/03,"2,169.82",35.17,1.6476%
110,2021/03/02,"2,134.65",16.86,0.7961%
111,2021/03/01,"2,117.79",55.81,2.7066%
112,2021/02/28,"2,061.98",11.08,0.5402%
113,2021/02/25,"2,050.90",-17.36,-0.8395%
114,2021/02/24,"2,068.26",46.58,2.3039%
115,2021/02/23,"2,021.69",-31.58,-1.538%
116,2021/02/22,"2,053.26",-21.14,-1.0189%
117,2021/02/21,"2,073.55",12.17,0.5902%
118,2021/02/18,"2,061.38",4.69,0.2279%
119,2021/02/17,"2,056.69",-15.45,-0.7457%
120,2021/02/16,"2,072.15",-13.02,-0.6246%
121,2021/02/15,"2,085.17",24.10,1.1691%
122,2021/02/14,"2,061.07",-25.72,-1.2326%
123,2021/02/11,"2,086.80",-42.85,-2.0119%
124,2021/02/10,"2,129.64",44.60,2.1391%
125,2021/02/09,"2,084.48",-32.86,-1.5522%
126,2021/02/08,"2,117.34",28.86,1.3817%
127,2021/02/07,"2,088.49",27.52,1.3355%
128,2021/02/04,"2,060.96",-20.65,-0.9918%
129,2021/02/03,"2,081.61",-30.90,-1.4627%
130,2021/02/02,"2,112.51",-62.08,-2.8548%
131,2021/02/01,"2,174.59",175.06,8.7551%
132,2021/01/31,"1,999.53",-23.02,-1.138%
133,2021/01/28,"2,022.54",-25.96,-1.2673%
134,2021/01/27,"2,048.50",-24.39,-1.1764%
135,2021/01/26,"2,072.89",54.05,2.6774%
136,2021/01/25,"2,018.84",-24.07,-1.1784%
137,2021/01/24,"2,042.91",24.51,1.2144%
138,2021/01/21,"2,019.53",13.62,0.6787%
139,2021/01/20,"2,005.91",-22.77,-1.1226%
140,2021/01/19,"2,028.68",-26.38,-1.2837%
141,2021/01/18,"2,055.06",113.00,5.8187%
142,2021/01/17,"1,942.06",16.87,0.8762%
143,2021/01/13,"1,925.19",-5.39,-0.2794%
144,2021/01/12,"1,930.59",9.93,0.5169%
145,2021/01/11,"1,920.66",-4.56,-0.2366%
146,2021/01/10,"1,925.21",20.54,1.0784%
147,2021/01/07,"1,904.67",5.94,0.3126%
148,2021/01/06,"1,898.74",0.85,0.045%
149,2021/01/05,"1,897.89",-20.95,-1.0919%
150,2021/01/04,"1,918.84",-0.15,-0.0077%
151,2021/01/03,"1,918.98",34.84,1.8494%
152,2020/12/31,"1,884.14",1.31,0.0694%
153,2020/12/30,"1,882.83",-19.28,-1.0137%
154,2020/12/29,"1,902.11",-4.54,-0.2381%
155,2020/12/28,"1,906.65",3.43,0.1802%
156,2020/12/27,"1,903.23",-93.11,-4.6639%
157,2020/12/24,"1,996.33",93.40,4.908%
158,2020/12/23,"1,902.94",-18.30,-0.9526%
159,2020/12/22,"1,921.24",20.56,1.0815%
160,2020/12/21,"1,900.68",-23.05,-1.198%
161,2020/12/20,"1,924.29",-51.97,-2.6296%
162,2020/12/17,"1,976.26",-32.06,-1.5966%
163,2020/12/16,"2,008.32",7.27,0.3635%
164,2020/12/15,"2,001.05",-20.54,-1.0158%
165,2020/12/14,"2,021.58",36.16,1.8214%
166,2020/12/13,"1,985.42",-5.68,-0.2852%
167,2020/12/10,"1,991.10",30.61,1.5614%
168,2020/12/09,"1,960.49",-59.94,-2.9665%
169,2020/12/08,"2,020.43",-8.12,-0.4001%
170,2020/12/07,"2,028.54",60.06,3.0508%
171,2020/12/06,"1,968.49",-81.99,-3.9986%
172,2020/12/03,"2,050.48",-8.35,-0.4055%
173,2020/12/02,"2,058.83",51.16,2.5485%
174,2020/12/01,"2,007.66",-20.82,-1.0266%
175,2020/11/30,"2,028.49",4.96,0.2449%
176,2020/11/29,"2,023.53",-7.68,-0.3781%
177,2020/11/26,"2,031.21",-43.65,-2.1038%
178,2020/11/25,"2,074.86",-1.02,-0.049%
179,2020/11/24,"2,075.88",-34.92,-1.6543%
180,2020/11/23,"2,110.79",76.69,3.7702%
181,2020/11/22,"2,034.10",-84.49,-3.9881%
182,2020/11/19,"2,118.59",181.63,9.377%
183,2020/11/18,"1,936.97",39.60,2.0871%
184,2020/11/12,"1,897.37",-18.41,-0.9611%
185,2020/11/11,"1,915.78",47.35,2.5344%
186,2020/11/10,"1,868.42",87.43,4.9089%
187,2020/11/09,"1,781.00",-4.10,-0.2298%
188,2020/11/08,"1,785.10",27.75,1.5788%
189,2020/11/05,"1,757.35",4.86,0.2774%
190,2020/11/04,"1,752.49",4.67,0.267%
191,2020/11/03,"1,747.83",1.96,0.1125%
192,2020/11/02,"1,745.86",9.33,0.5374%
193,2020/11/01,"1,736.53",-15.29,-0.8728%
194,2020/10/29,"1,751.82",-15.42,-0.8723%
195,2020/10/28,"1,767.24",32.85,1.8939%
196,2020/10/22,"1,734.39",-14.04,-0.8028%
197,2020/10/21,"1,748.42",-15.03,-0.8524%
198,2020/10/20,"1,763.45",19.27,1.1046%
199,2020/10/19,"1,744.19",14.16,0.8186%
200,2020/10/18,"1,730.03",-1.82,-0.1049%
201,2020/10/15,"1,731.84",-15.85,-0.9071%
202,2020/10/14,"1,747.70",2.38,0.1364%
203,2020/10/13,"1,745.32",-10.06,-0.5731%
204,2020/10/12,"1,755.37",6.94,0.3967%
205,2020/10/11,"1,748.44",-38.23,-2.1395%
206,2020/10/08,"1,786.66",-31.04,-1.7078%
207,2020/10/07,"1,817.71",52.67,2.9842%
208,2020/10/06,"1,765.03",-0.15,-0.0083%
209,2020/10/05,"1,765.18",4.15,0.2357%
210,2020/10/04,"1,761.03",11.87,0.6783%
211,2020/10/01,"1,749.17",8.08,0.464%
212,2020/09/30,"1,741.09",-15.00,-0.8541%
213,2020/09/29,"1,756.09",-10.08,-0.5705%
214,2020/09/28,"1,766.16",-19.39,-1.0861%
215,2020/09/27,"1,785.55",51.71,2.9823%
216,2020/09/24,"1,733.84",17.27,1.006%
217,2020/09/23,"1,716.57",-23.64,-1.3586%
218,2020/09/22,"1,740.22",-15.06,-0.8582%
219,2020/09/21,"1,755.28",-32.61,-1.8238%
220,2020/09/20,"1,787.89",-96.65,-5.1288%
221,2020/09/17,"1,884.54",161.51,9.3736%
222,2020/09/16,"1,723.03",142.81,9.0372%
223,2020/09/15,"1,580.22",9.24,0.5881%
224,2020/09/14,"1,570.99",-17.45,-1.0985%
225,2020/09/13,"1,588.43",57.96,3.7871%
226,2020/09/10,"1,530.47",-1.13,-0.0736%
227,2020/09/09,"1,531.60",20.41,1.3505%
228,2020/09/08,"1,511.19",-4.96,-0.3269%
229,2020/09/07,"1,516.15",-2.56,-0.1685%
230,2020/09/06,"1,518.71",-25.65,-1.6612%
231,2020/09/03,"1,544.36",31.74,2.0982%
232,2020/09/02,"1,512.63",1.02,0.0672%
233,2020/08/31,"1,511.61",-0.77,-0.0512%
234,2020/08/30,"1,512.38",0.63,0.04%
235,2020/08/27,"1,511.76",-21.55,-1.4056%
236,2020/08/26,"1,533.31",3.40,0.222%
237,2020/08/25,"1,529.91",10.20,0.6713%
238,2020/08/24,"1,519.71",-1.43,-0.0942%
239,2020/08/23,"1,521.14",23.94,1.5988%
240,2020/08/20,"1,497.21",-4.36,-0.2904%
241,2020/08/19,"1,501.57",-3.98,-0.2641%
242,2020/08/18,"1,505.54",-9.48,-0.6257%
243,2020/08/17,"1,515.02",14.16,0.9436%
244,2020/08/16,"1,500.86",-9.39,-0.6215%
245,2020/08/13,"1,510.25",-1.84,-0.1215%
246,2020/08/12,"1,512.08",0.74,0.0491%
247,2020/08/11,"1,511.34",-43.23,-2.7808%
248,2020/08/10,"1,554.57",58.10,3.8827%
249,2020/08/09,"1,496.47",-27.47,-1.8027%
250,2020/08/06,"1,523.94",33.84,2.2713%
251,2020/08/03,"1,551.88",33.77,2.2245%
252,2020/08/02,"1,518.11",-71.43,-4.4939%
253,2020/07/30,"1,589.55",13.88,0.8807%
254,2020/07/29,"1,575.67",-59.50,-3.639%
255,2020/07/28,"1,635.17",-2.98,-0.1819%
256,2020/07/27,"1,638.15",-32.91,-1.9692%
257,2020/07/26,"1,671.06",-2.29,-0.137%
258,2020/07/23,"1,673.35",42.55,2.6091%
259,2020/07/22,"1,630.80",134.45,8.9855%
260,2020/07/21,"1,496.35",82.45,5.8315%
261,2020/07/20,"1,413.90",-66.11,-4.4668%
262,2020/07/16,"1,480.00",12.26,0.835%
263,2020/07/15,"1,467.75",-45.41,-3.0013%
264,2020/07/14,"1,513.16",55.29,3.7922%
265,2020/07/13,"1,457.88",-16.50,-1.1192%
266,2020/07/12,"1,474.38",-53.22,-3.4839%
267,2020/07/09,"1,527.60",12.18,0.8039%
268,2020/07/08,"1,515.42",-42.42,-2.7232%
269,2020/07/07,"1,557.84",127.10,8.8833%
270,2020/07/06,"1,430.74",74.67,5.506%
271,2020/07/01,"1,477.27",-5.15,-0.3475%
272,2020/06/30,"1,482.42",-47.84,-3.1262%
273,2020/06/29,"1,530.26",-26.44,-1.6987%
274,2020/05/13,"1,556.70",-3.38,-0.2167%
275,2020/05/12,"1,560.08",-3.38,-0.2162%
276,2020/03/22,"1,563.46",52.99,3.5085%
277,2020/03/19,"1,510.47",-4.81,-0.3177%
278,2020/03/18,"1,515.28",-19.16,-1.2484%
279,2020/03/17,"1,534.44",-53.69,-3.381%
280,2020/03/16,"1,588.13",-8.05,-0.5041%
281,2020/03/15,"1,596.18",-52.48,-3.1831%
282,2020/03/12,"1,648.65",-92.67,-5.322%
283,2020/03/11,"1,741.33",99.59,6.0664%
284,2020/03/10,"1,641.73",-120.86,-6.8567%
285,2020/03/05,"1,762.59",-25.98,-1.4526%
286,2020/03/04,"1,788.57",-80.04,-4.2833%
287,2020/03/03,"1,868.61",4.67,0.2503%
288,2020/03/02,"1,863.94",-79.35,-4.0832%
289,2020/03/01,"1,943.29",-64.50,-3.2123%
290,2020/02/27,"2,007.79",-27.62,-1.3569%
291,2020/02/26,"2,035.41",73.88,3.7663%
292,2020/02/25,"1,961.53",11.22,0.5755%
293,2020/02/24,"1,950.31",-22.65,-1.1478%
294,2020/02/23,"1,972.95",11.77,0.6003%
295,2020/02/20,"1,961.18",49.27,2.5772%
