sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"3,813.07",-24.08,-0.6276%
2,2021/08/11,"3,837.15",144.79,3.9214%
3,2021/08/10,"3,689.89",-3.01,-0.0814%
4,2021/08/09,"3,693.80",119.57,3.3455%
5,2021/08/08,"3,574.23",115.05,3.3259%
6,2021/08/05,"3,459.01",-76.24,-2.1567%
7,2021/08/04,"3,535.29",194.07,5.8083%
8,2021/08/03,"3,341.23",66.84,2.0414%
9,2021/08/02,"3,274.38",-18.30,-0.5558%
10,2021/08/01,"3,292.89",79.91,2.4872%
11,2021/07/29,"3,213.11",-28.43,-0.877%
12,2021/07/28,"3,241.54",-48.27,-1.4674%
13,2021/07/27,"3,290.16",119.00,3.7525%
14,2021/07/26,"3,171.16",102.65,3.3454%
15,2021/07/25,"3,068.95",71.60,2.3889%
16,2021/07/22,"2,997.26",24.60,0.8275%
17,2021/07/20,"2,972.66",35.89,1.2222%
18,2021/07/19,"2,936.77",-1.54,-0.0525%
19,2021/07/18,"2,938.31",45.50,1.5727%
20,2021/07/15,"2,892.55",56.14,1.9791%
21,2021/07/14,"2,836.42",74.92,2.7132%
22,2021/07/13,"2,761.47",13.91,0.5062%
23,2021/07/12,"2,747.56",-60.13,-2.1417%
24,2021/07/11,"2,807.69",78.55,2.8781%
25,2021/07/08,"2,728.09",52.06,1.9455%
26,2021/07/07,"2,676.03",-59.20,-2.1643%
27,2021/07/06,"2,735.23",-48.03,-1.7257%
28,2021/07/05,"2,783.26",-53.69,-1.8924%
29,2021/07/04,"2,837.19",-3.35,-0.118%
30,2021/07/01,"2,840.41",21.83,0.7745%
31,2021/06/30,"2,816.99",2.94,0.1044%
32,2021/06/29,"2,814.05",-76.03,-2.6308%
33,2021/06/28,"2,890.08",-65.95,-2.2309%
34,2021/06/27,"2,956.03",76.81,2.6677%
35,2021/06/24,"2,879.22",55.76,1.9747%
36,2021/06/23,"2,819.43",-71.49,-2.4728%
37,2021/06/22,"2,890.92",150.01,5.4729%
38,2021/06/21,"2,741.19",-150.24,-5.196%
39,2021/06/20,"2,891.42",-101.09,-3.378%
40,2021/06/17,"2,992.51",-2.95,-0.0986%
41,2021/06/16,"2,995.46",-149.49,-4.7532%
42,2021/06/15,"3,144.95",-90.75,-2.8048%
43,2021/06/14,"3,235.70",-5.67,-0.175%
44,2021/06/13,"3,241.38",186.30,6.098%
45,2021/06/10,"3,056.89",88.65,2.9866%
46,2021/06/09,"2,968.25",-15.91,-0.5331%
47,2021/06/08,"2,984.16",58.36,1.9945%
48,2021/06/07,"2,925.80",91.65,3.2338%
49,2021/06/06,"2,834.15",-46.83,-1.6254%
50,2021/06/03,"2,880.98",-60.03,-2.0413%
51,2021/06/02,"2,941.01",81.82,2.8617%
52,2021/06/01,"2,858.56",-28.38,-0.9831%
53,2021/05/31,"2,885.88",-129.93,-4.3084%
54,2021/05/30,"3,015.82",-0.66,-0.0218%
55,2021/05/27,"3,016.47",131.78,4.5682%
56,2021/05/25,"2,884.69",64.55,2.2889%
57,2021/05/24,"2,820.14",5.20,0.1849%
58,2021/05/23,"2,814.99",44.20,1.5953%
59,2021/05/20,"2,770.79",-42.25,-1.5019%
60,2021/05/19,"2,814.36",-60.63,-2.1089%
61,2021/05/18,"2,874.99",96.98,3.4911%
62,2021/05/17,"2,778.01",68.33,2.5219%
63,2021/05/16,"2,709.69",30.76,1.148%
64,2021/05/13,"2,677.98",37.12,1.4058%
65,2021/05/12,"2,640.85",31.79,1.2183%
66,2021/05/11,"2,609.07",21.07,0.814%
67,2021/05/10,"2,589.82",15.98,0.621%
68,2021/05/09,"2,573.84",-34.05,-1.3055%
69,2021/05/06,"2,607.89",-49.39,-1.8588%
70,2021/05/05,"2,657.28",45.27,1.7331%
71,2021/05/03,"2,581.09",-32.09,-1.2282%
72,2021/05/02,"2,613.19",37.85,1.4697%
73,2021/04/29,"2,575.34",80.20,3.2143%
74,2021/04/28,"2,495.14",-18.89,-0.7515%
75,2021/04/27,"2,514.03",153.08,6.484%
76,2021/04/26,"2,360.95",-99.44,-4.0415%
77,2021/04/25,"2,460.57",-112.41,-4.369%
78,2021/04/22,"2,573.11",4.98,0.1939%
79,2021/04/21,"2,568.13",-29.82,-1.1478%
80,2021/04/20,"2,597.94",31.77,1.2381%
81,2021/04/19,"2,566.17",3.18,0.1242%
82,2021/04/18,"2,562.99",-32.38,-1.2476%
83,2021/04/15,"2,594.44",-8.97,-0.3444%
84,2021/04/13,"2,603.41",31.69,1.2321%
85,2021/04/12,"2,571.72",-42.67,-1.6321%
86,2021/04/08,"2,614.39",-23.33,-0.8843%
87,2021/04/07,"2,637.72",-33.03,-1.2367%
88,2021/04/06,"2,670.75",114.05,4.4608%
89,2021/04/05,"2,556.70",46.49,1.8519%
90,2021/04/04,"2,510.21",37.14,1.5019%
91,2021/04/01,"2,473.07",24.09,0.9835%
92,2021/03/31,"2,448.98",33.52,1.3877%
93,2021/03/30,"2,415.46",95.98,4.1378%
94,2021/03/29,"2,319.48",24.52,1.0682%
95,2021/03/25,"2,294.97",-44.29,-1.8933%
