sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,118.05,1.71,1.4709%
2,2021/08/11,116.38,-1.03,-0.8739%
3,2021/08/10,117.41,2.15,1.861%
4,2021/08/09,114.95,-0.64,-0.5559%
5,2021/08/08,115.59,-0.04,-0.0307%
6,2021/08/05,115.91,-1.68,-1.4265%
7,2021/08/04,117.63,0.34,0.2914%
8,2021/08/03,117.28,0.21,0.1791%
9,2021/08/02,117.09,1.96,1.7018%
10,2021/08/01,115.13,1.83,1.614%
11,2021/07/29,113.23,-1.37,-1.1947%
12,2021/07/28,114.59,3.22,2.8898%
13,2021/07/27,111.37,3.05,2.8127%
14,2021/07/26,108.33,-0.15,-0.1339%
15,2021/07/25,108.53,0.04,0.0413%
16,2021/07/22,108.49,-0.30,-0.2798%
17,2021/07/20,108.72,-1.11,-1.015%
18,2021/07/19,109.55,1.59,1.4681%
19,2021/07/18,107.97,1.71,1.6065%
20,2021/07/15,106.26,-0.01,-0.0138%
21,2021/07/14,106.28,0.75,0.7151%
22,2021/07/13,105.57,0.40,0.3811%
23,2021/07/12,105.17,-2.86,-2.6511%
24,2021/07/11,108.04,2.82,2.6822%
25,2021/07/08,105.22,1.13,1.0848%
26,2021/07/07,104.09,-0.85,-0.8112%
27,2021/07/06,104.94,-2.28,-2.1308%
28,2021/07/05,107.22,0.59,0.5512%
29,2021/07/04,106.63,-0.45,-0.4204%
30,2021/07/01,107.08,1.22,1.1492%
31,2021/06/30,105.87,-2.39,-2.2119%
32,2021/06/29,108.26,-3.84,-3.4287%
33,2021/06/28,112.11,2.35,2.1366%
34,2021/06/27,109.70,0.52,0.4768%
35,2021/06/24,109.19,-1.73,-1.5569%
36,2021/06/23,111.54,-0.39,-0.3513%
37,2021/06/22,111.93,4.58,4.2637%
38,2021/06/21,107.41,-0.52,-0.4796%
39,2021/06/20,107.92,-2.28,-2.0705%
40,2021/06/17,110.13,-0.21,-0.1948%
41,2021/06/16,110.34,-2.88,-2.5433%
42,2021/06/15,113.22,2.29,2.0652%
43,2021/06/14,110.80,3.59,3.3438%
44,2021/06/13,107.21,2.49,2.3762%
45,2021/06/10,104.72,1.12,1.0812%
46,2021/06/09,103.61,-1.02,-0.9781%
47,2021/06/08,104.64,-0.93,-0.8806%
48,2021/06/07,105.53,-0.10,-0.0901%
49,2021/06/06,105.63,4.03,3.9665%
50,2021/06/03,101.60,0.07,0.0718%
51,2021/06/02,101.53,0.92,0.9152%
52,2021/06/01,100.80,-0.67,-0.6587%
53,2021/05/31,101.46,-0.98,-0.9526%
54,2021/05/30,102.44,-0.27,-0.267%
55,2021/05/27,102.71,-0.67,-0.6525%
56,2021/05/25,103.39,-1.17,-1.121%
57,2021/05/24,104.56,1.41,1.3683%
58,2021/05/23,103.15,0.09,0.0851%
59,2021/05/20,103.06,-0.75,-0.7179%
60,2021/05/19,103.81,-1.86,-1.7575%
61,2021/05/18,105.66,2.85,2.7769%
62,2021/05/17,102.81,0.14,0.1378%
63,2021/05/16,102.55,2.04,2.0247%
64,2021/05/13,100.52,-0.40,-0.3914%
65,2021/05/12,100.91,0.76,0.7592%
66,2021/05/11,100.15,1.49,1.5104%
67,2021/05/10,98.66,1.00,1.0216%
68,2021/05/09,97.66,-0.92,-0.9288%
69,2021/05/06,98.53,0.15,0.1505%
70,2021/05/05,98.38,-0.51,-0.5119%
71,2021/05/03,98.66,0.49,0.5009%
72,2021/05/02,98.21,0.75,0.7705%
73,2021/04/29,97.46,-0.11,-0.1166%
74,2021/04/28,97.57,-0.10,-0.0992%
75,2021/04/27,97.67,4.34,4.6515%
76,2021/04/26,93.33,-2.75,-2.862%
77,2021/04/25,96.08,-3.35,-3.3731%
78,2021/04/22,99.43,0.17,0.1663%
79,2021/04/21,99.27,-1.43,-1.4152%
80,2021/04/20,100.69,-1.05,-1.0319%
81,2021/04/19,101.74,-0.58,-0.5664%
82,2021/04/18,102.32,-0.46,-0.445%
83,2021/04/15,102.78,1.59,1.5727%
84,2021/04/13,101.19,-0.46,-0.4542%
85,2021/04/12,101.65,-0.33,-0.3226%
86,2021/04/08,101.98,-0.43,-0.4164%
87,2021/04/07,102.40,-1.73,-1.6568%
88,2021/04/06,104.13,2.72,2.6781%
89,2021/04/05,101.41,-0.86,-0.8409%
90,2021/04/04,102.27,-2.46,-2.3453%
91,2021/04/01,104.73,-1.09,-1.0333%
92,2021/03/31,105.82,1.79,1.7241%
93,2021/03/30,104.03,0.37,0.3564%
94,2021/03/29,103.66,-0.06,-0.0624%
95,2021/03/25,103.73,1.19,1.1649%
96,2021/03/24,102.53,4.93,5.046%
97,2021/03/23,97.61,1.03,1.0622%
98,2021/03/22,96.58,-1.40,-1.4241%
99,2021/03/21,97.98,1.25,1.2918%
100,2021/03/18,96.73,1.95,2.0563%
101,2021/03/17,94.78,1.26,1.3521%
102,2021/03/16,93.51,0.20,0.2177%
103,2021/03/15,93.31,0.53,0.5703%
104,2021/03/14,92.78,-2.56,-2.6808%
105,2021/03/10,95.34,0.02,0.0251%
106,2021/03/09,95.31,-1.34,-1.3839%
107,2021/03/07,96.65,-1.75,-1.7783%
108,2021/03/04,98.40,4.91,5.2557%
109,2021/03/03,93.49,-2.26,-2.3609%
110,2021/03/02,95.75,-1.91,-1.9603%
111,2021/03/01,97.66,1.86,1.9378%
112,2021/02/28,95.87,-4.13,-4.1267%
