sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"18,213.38",31.05,0.1707%
2,2021/08/11,"18,182.33",10.05,0.0553%
3,2021/08/10,"18,172.28",211.72,1.1788%
4,2021/08/09,"17,962.14",48.40,0.2702%
5,2021/08/08,"17,924.28",-101.54,-0.5633%
6,2021/08/05,"18,031.72",-53.17,-0.294%
7,2021/08/04,"18,084.90",-2.75,-0.0152%
8,2021/08/03,"18,089.08",119.28,0.6638%
9,2021/08/02,"17,969.80",-90.57,-0.5015%
10,2021/08/01,"18,062.54",-209.30,-1.1455%
11,2021/07/29,"18,272.92",-86.55,-0.4714%
12,2021/07/28,"18,351.57",431.38,2.4072%
13,2021/07/27,"17,921.86",260.08,1.4725%
14,2021/07/26,"17,661.78",68.07,0.3869%
15,2021/07/25,"17,589.25",30.86,0.1757%
16,2021/07/22,"17,558.40",-38.79,-0.2204%
17,2021/07/20,"17,597.19",-126.95,-0.7162%
18,2021/07/19,"17,720.80",53.15,0.3008%
19,2021/07/18,"17,665.99",648.46,3.8105%
20,2021/07/15,"17,017.53",-43.11,-0.2527%
21,2021/07/14,"17,060.64",-32.62,-0.1908%
22,2021/07/13,"17,093.26",-66.19,-0.3857%
23,2021/07/12,"17,159.45",-254.67,-1.4624%
24,2021/07/11,"17,414.12",487.20,2.8782%
25,2021/07/08,"16,925.89",42.02,0.2489%
26,2021/07/07,"16,883.87",-75.08,-0.4427%
27,2021/07/06,"16,958.95",4.41,0.026%
28,2021/07/05,"16,954.54",-136.22,-0.7971%
29,2021/07/04,"17,090.77",-44.99,-0.2625%
30,2021/07/01,"17,135.75",74.74,0.4381%
31,2021/06/30,"17,059.93",-112.48,-0.655%
32,2021/06/29,"17,172.40",-165.98,-0.9573%
33,2021/06/28,"17,338.39",14.06,0.0812%
34,2021/06/27,"17,311.01",-12.96,-0.0748%
35,2021/06/24,"17,323.97",-143.88,-0.8237%
36,2021/06/23,"17,494.78",-387.42,-2.1665%
37,2021/06/22,"17,882.20",387.85,2.217%
38,2021/06/21,"17,494.35",-451.11,-2.5138%
39,2021/06/20,"17,945.46",-310.94,-1.7032%
40,2021/06/17,"18,256.40",15.05,0.0825%
41,2021/06/16,"18,241.36",-405.83,-2.1763%
42,2021/06/15,"18,647.18",-10.48,-0.0562%
43,2021/06/14,"18,657.66",81.21,0.4372%
44,2021/06/13,"18,576.45",-147.28,-0.7866%
45,2021/06/10,"18,723.73",-273.68,-1.4406%
46,2021/06/09,"18,994.96",29.12,0.1535%
47,2021/06/08,"18,965.84",668.57,3.6539%
48,2021/06/07,"18,297.27",16.04,0.0877%
49,2021/06/06,"18,281.23",-125.40,-0.6813%
50,2021/06/03,"18,406.63",5.12,0.0278%
51,2021/06/02,"18,401.52",374.17,2.0756%
52,2021/06/01,"18,000.21",-176.67,-0.9719%
53,2021/05/31,"18,176.88",-356.90,-1.9257%
54,2021/05/30,"18,533.78",96.01,0.5207%
55,2021/05/27,"18,437.77",-136.36,-0.7342%
56,2021/05/25,"18,574.14",431.59,2.3789%
57,2021/05/24,"18,140.68",-55.61,-0.3056%
58,2021/05/23,"18,196.29",61.63,0.3398%
59,2021/05/20,"18,134.66",-78.85,-0.4329%
60,2021/05/19,"18,213.51",-28.92,-0.1585%
61,2021/05/18,"18,240.41",204.14,1.1318%
62,2021/05/17,"18,036.27",118.39,0.6607%
63,2021/05/16,"17,916.00",528.78,3.0412%
64,2021/05/13,"17,387.22",85.12,0.492%
65,2021/05/12,"17,302.10",-66.86,-0.3849%
66,2021/05/11,"17,368.96",267.18,1.5623%
67,2021/05/10,"17,101.77",137.82,0.8124%
68,2021/05/09,"16,963.95",-147.64,-0.8628%
69,2021/05/06,"17,110.64",-239.33,-1.3794%
70,2021/05/05,"17,349.97",-55.24,-0.3174%
71,2021/05/03,"17,469.44",-90.95,-0.518%
72,2021/05/02,"17,556.67",632.18,3.7353%
73,2021/04/29,"16,924.48",142.88,0.8514%
74,2021/04/28,"16,781.61",-149.11,-0.8807%
75,2021/04/27,"16,930.71",558.63,3.4121%
76,2021/04/26,"16,370.48",-359.18,-2.147%
77,2021/04/25,"16,729.66",-460.04,-2.6762%
78,2021/04/22,"17,189.70",114.06,0.668%
79,2021/04/21,"17,075.64",-145.07,-0.8424%
80,2021/04/20,"17,220.70",53.98,0.3144%
81,2021/04/19,"17,166.73",-129.77,-0.7503%
82,2021/04/18,"17,296.50",-111.62,-0.6412%
83,2021/04/15,"17,408.11",45.68,0.2631%
84,2021/04/13,"17,362.44",-51.28,-0.2945%
85,2021/04/12,"17,413.71",197.79,1.1489%
86,2021/04/08,"17,215.92",91.98,0.5371%
87,2021/04/07,"17,123.94",-106.69,-0.6192%
88,2021/04/06,"17,230.63",-191.42,-1.0987%
89,2021/04/05,"17,422.05",-38.96,-0.2231%
90,2021/04/04,"17,461.01",154.81,0.8945%
91,2021/04/01,"17,306.20",-56.66,-0.3263%
92,2021/03/31,"17,362.86",167.96,0.9768%
93,2021/03/30,"17,194.90",186.08,1.094%
94,2021/03/29,"17,008.82",-30.65,-0.1799%
95,2021/03/25,"17,039.47",-169.80,-0.9867%
96,2021/03/24,"17,209.27",141.22,0.8274%
97,2021/03/23,"17,068.06",-98.78,-0.5754%
98,2021/03/22,"17,166.83",-315.96,-1.8072%
99,2021/03/21,"17,482.79",742.76,4.4371%
100,2021/03/18,"16,740.03",415.47,2.545%
101,2021/03/17,"16,324.56",372.58,2.3356%
102,2021/03/16,"15,951.98",230.29,1.4648%
103,2021/03/15,"15,721.69",-121.06,-0.7641%
104,2021/03/14,"15,842.75",-453.90,-2.7852%
105,2021/03/10,"16,296.65",-128.83,-0.7843%
106,2021/03/09,"16,425.47",-201.56,-1.2122%
107,2021/03/07,"16,627.03",-306.32,-1.809%
108,2021/03/04,"16,933.35",571.95,3.4957%
109,2021/03/03,"16,361.40",-452.53,-2.6914%
110,2021/03/02,"16,813.93",-519.67,-2.998%
111,2021/03/01,"17,333.60",359.17,2.116%
112,2021/02/28,"16,974.42",-624.80,-3.5502%
113,2021/02/25,"17,599.23",-299.78,-1.6749%
114,2021/02/24,"17,899.01",180.89,1.0209%
115,2021/02/23,"17,718.12",-20.20,-0.1139%
116,2021/02/22,"17,738.32",-351.34,-1.9422%
117,2021/02/21,"18,089.66",-361.46,-1.959%
118,2021/02/18,"18,451.12",-109.73,-0.5912%
119,2021/02/17,"18,560.85",-144.83,-0.7743%
120,2021/02/16,"18,705.68",-54.11,-0.2884%
121,2021/02/15,"18,759.79",697.91,3.864%
122,2021/02/14,"18,061.88",-233.18,-1.2745%
123,2021/02/11,"18,298.54",-214.39,-1.1581%
124,2021/02/10,"18,512.93",-115.59,-0.6205%
125,2021/02/09,"18,587.32",-274.03,-1.4529%
126,2021/02/08,"18,861.36",211.37,1.1333%
127,2021/02/07,"18,649.99",572.11,3.1647%
128,2021/02/04,"18,077.88",-69.26,-0.3817%
129,2021/02/03,"18,138.75",-197.06,-1.0747%
130,2021/02/02,"18,335.81",594.24,3.3494%
131,2021/02/01,"17,741.57",379.11,2.1835%
132,2021/01/31,"17,367.32",-460.37,-2.5824%
133,2021/01/28,"17,827.69",-42.47,-0.2376%
134,2021/01/27,"17,870.16","1,051.18",6.2499%
135,2021/01/26,"16,818.98",-41.09,-0.2437%
136,2021/01/25,"16,860.08",-88.58,-0.5226%
137,2021/01/24,"16,948.66",165.68,0.9872%
138,2021/01/21,"16,782.98",443.43,2.7139%
139,2021/01/20,"16,339.55",729.37,4.6724%
140,2021/01/19,"15,610.18",535.67,3.5535%
141,2021/01/18,"15,074.50",199.47,1.3409%
142,2021/01/17,"14,875.04",221.01,1.5082%
143,2021/01/13,"14,653.01",169.77,1.1722%
144,2021/01/12,"14,483.24",376.00,2.6653%
145,2021/01/11,"14,107.24",161.29,1.1565%
146,2021/01/10,"13,945.95",-17.16,-0.1229%
147,2021/01/07,"13,963.11",38.85,0.279%
148,2021/01/06,"13,924.26",24.83,0.1787%
149,2021/01/05,"13,899.42",-46.67,-0.3346%
150,2021/01/04,"13,946.09",-76.39,-0.5448%
151,2021/01/03,"14,022.49",550.95,4.0897%
152,2020/12/31,"13,471.54",172.71,1.2987%
153,2020/12/30,"13,298.83",153.45,1.1673%
154,2020/12/29,"13,145.38",-70.02,-0.5298%
155,2020/12/28,"13,215.40",29.65,0.2248%
156,2020/12/27,"13,184.70",-519.48,-3.7907%
157,2020/12/24,"13,704.18",-431.87,-3.0551%
