sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"6,822.37",99.25,1.4763%
2,2021/08/11,"6,718.08",-3.84,-0.0571%
3,2021/08/10,"6,715.48",44.54,0.6677%
4,2021/08/09,"6,670.94",-55.82,-0.8299%
5,2021/08/08,"6,723.54",2.84,0.0423%
6,2021/08/05,"6,698.50",-90.82,-1.3377%
7,2021/08/04,"6,792.26",27.84,0.4116%
8,2021/08/03,"6,764.41",41.79,0.6216%
9,2021/08/02,"6,727.93",41.85,0.6259%
10,2021/08/01,"6,683.00",34.78,0.5231%
11,2021/07/29,"6,650.01",-53.30,-0.7952%
12,2021/07/28,"6,703.31",-37.30,-0.5534%
13,2021/07/27,"6,740.62",305.18,4.7422%
14,2021/07/26,"6,437.25",84.68,1.333%
15,2021/07/25,"6,352.56",71.86,1.1441%
16,2021/07/22,"6,280.71",-21.65,-0.3435%
17,2021/07/20,"6,302.71",14.36,0.2283%
18,2021/07/19,"6,286.92",41.23,0.6601%
19,2021/07/18,"6,252.95",165.31,2.7154%
20,2021/07/15,"6,087.64",-5.87,-0.0963%
21,2021/07/14,"6,093.15",-15.18,-0.2484%
22,2021/07/13,"6,108.33",5.09,0.0833%
23,2021/07/12,"6,103.24",-118.54,-1.9053%
24,2021/07/11,"6,221.79",96.40,1.5738%
25,2021/07/08,"6,125.38",23.89,0.3915%
26,2021/07/07,"6,101.49",-133.08,-2.1346%
27,2021/07/06,"6,234.58",63.14,1.0232%
28,2021/07/05,"6,171.43",231.74,3.9016%
29,2021/07/04,"5,939.69",-24.42,-0.4094%
30,2021/07/01,"5,964.11",2.36,0.0396%
31,2021/06/30,"5,963.53",57.09,0.9666%
32,2021/06/29,"5,906.44",-34.98,-0.5887%
33,2021/06/28,"5,941.42",-12.48,-0.2096%
34,2021/06/27,"5,953.90",28.65,0.4835%
35,2021/06/24,"5,927.06",-41.23,-0.6908%
36,2021/06/23,"5,954.11",-121.13,-1.9939%
37,2021/06/22,"6,075.25",162.41,2.7467%
38,2021/06/21,"5,912.84",-171.19,-2.8138%
39,2021/06/20,"6,084.03",-149.50,-2.3984%
40,2021/06/17,"6,233.53",-11.84,-0.1895%
41,2021/06/16,"6,245.37",-204.22,-3.1665%
42,2021/06/15,"6,449.59",72.92,1.1435%
43,2021/06/14,"6,376.67",141.51,2.2695%
44,2021/06/13,"6,235.16",60.63,0.9819%
45,2021/06/10,"6,168.81",-38.67,-0.623%
46,2021/06/09,"6,207.48",237.46,3.9776%
47,2021/06/08,"5,970.02",129.30,2.2137%
