sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"5,761.35",-5.65,-0.0979%
2,2021/08/11,"5,767.21",7.99,0.1387%
3,2021/08/10,"5,759.22",73.44,1.2917%
4,2021/08/09,"5,688.23",-55.44,-0.9653%
5,2021/08/08,"5,744.31",-74.09,-1.2734%
6,2021/08/05,"5,822.41",-34.82,-0.5945%
7,2021/08/04,"5,856.64",-126.33,-2.1116%
8,2021/08/03,"5,982.97",221.92,3.8521%
9,2021/08/02,"5,761.05",124.93,2.2166%
10,2021/08/01,"5,635.78",65.21,1.1705%
11,2021/07/29,"5,571.15",-4.97,-0.0892%
12,2021/07/28,"5,576.13",37.24,0.6724%
13,2021/07/27,"5,538.88",-116.66,-2.0628%
14,2021/07/26,"5,655.57",98.10,1.7653%
15,2021/07/25,"5,556.76",86.23,1.5763%
16,2021/07/22,"5,470.53",-12.73,-0.2321%
17,2021/07/20,"5,483.26",-27.11,-0.4919%
18,2021/07/19,"5,510.37",-4.42,-0.0801%
19,2021/07/18,"5,514.78",190.98,3.5872%
20,2021/07/15,"5,322.60",45.71,0.8662%
21,2021/07/14,"5,276.77",-19.67,-0.3715%
22,2021/07/13,"5,296.44",33.93,0.6447%
23,2021/07/12,"5,262.60",-72.52,-1.3592%
24,2021/07/11,"5,335.11",133.50,2.5666%
25,2021/07/08,"5,201.76",68.29,1.3302%
26,2021/07/07,"5,133.48",19.19,0.3751%
27,2021/07/06,"5,114.29",1.72,0.0337%
28,2021/07/05,"5,111.99",-34.18,-0.6641%
29,2021/07/04,"5,146.17",-25.86,-0.5001%
30,2021/07/01,"5,172.19",2.23,0.0431%
31,2021/06/30,"5,169.97",-47.60,-0.9123%
32,2021/06/29,"5,217.57",26.40,0.5085%
33,2021/06/28,"5,191.17",111.40,2.193%
34,2021/06/27,"5,079.77",4.90,0.0967%
35,2021/06/24,"5,074.86",-49.58,-0.9674%
36,2021/06/23,"5,130.87",-100.32,-1.9177%
37,2021/06/22,"5,231.15",64.90,1.2562%
38,2021/06/21,"5,166.43",-105.00,-1.9919%
39,2021/06/20,"5,271.44",-117.64,-2.183%
40,2021/06/17,"5,388.04",-64.74,-1.1872%
41,2021/06/16,"5,451.50",139.74,2.6307%
42,2021/06/15,"5,311.76",-39.14,-0.7315%
43,2021/06/14,"5,350.90",-25.56,-0.4755%
44,2021/06/13,"5,376.47",-17.68,-0.3278%
45,2021/06/10,"5,394.15",7.34,0.1363%
46,2021/06/09,"5,386.81",-18.65,-0.3449%
47,2021/06/08,"5,405.49",-24.21,-0.4459%
48,2021/06/07,"5,429.70",-22.43,-0.4115%
49,2021/06/06,"5,452.14",4.28,0.0786%
50,2021/06/03,"5,447.86",40.35,0.7462%
51,2021/06/02,"5,407.51",69.63,1.3044%
52,2021/06/01,"5,332.43",-17.68,-0.3305%
53,2021/05/31,"5,350.67",-9.99,-0.1864%
54,2021/05/30,"5,360.66",-74.40,-1.3689%
55,2021/05/27,"5,435.06",-191.69,-3.4067%
56,2021/05/25,"5,626.75",2.31,0.0411%
57,2021/05/24,"5,624.44",-5.37,-0.0954%
58,2021/05/23,"5,629.81",-20.70,-0.3664%
59,2021/05/20,"5,650.51",-13.23,-0.2335%
60,2021/05/19,"5,664.35",-8.60,-0.1515%
61,2021/05/18,"5,672.94",85.41,1.5287%
62,2021/05/17,"5,587.53",15.22,0.2731%
63,2021/05/16,"5,572.24",103.23,1.8875%
64,2021/05/13,"5,469.01",5.39,0.0986%
65,2021/05/12,"5,463.62",-17.80,-0.3247%
66,2021/05/11,"5,481.42",65.12,1.2023%
67,2021/05/10,"5,416.33",50.18,0.9352%
68,2021/05/09,"5,365.44",-97.06,-1.7768%
69,2021/05/06,"5,462.50",-63.85,-1.1553%
70,2021/05/05,"5,525.99",-3.89,-0.0704%
71,2021/05/03,"5,392.23",69.03,1.2967%
72,2021/05/02,"5,323.26",104.59,2.0042%
73,2021/04/29,"5,218.53",44.36,0.8572%
74,2021/04/28,"5,174.17",-46.43,-0.8893%
75,2021/04/27,"5,220.60",237.85,4.7735%
76,2021/04/26,"4,982.75",-112.34,-2.2048%
77,2021/04/25,"5,095.09",-160.65,-3.0568%
78,2021/04/22,"5,256.61",53.19,1.0223%
79,2021/04/21,"5,203.41",-56.19,-1.0683%
80,2021/04/20,"5,259.60",6.19,0.1178%
81,2021/04/19,"5,253.41",-62.70,-1.1794%
82,2021/04/18,"5,316.11",-50.32,-0.9377%
83,2021/04/15,"5,366.43",6.14,0.1146%
84,2021/04/13,"5,360.29",-14.40,-0.2678%
85,2021/04/12,"5,374.69",188.56,3.6359%
86,2021/04/08,"5,186.12",106.13,2.0892%
87,2021/04/07,"5,079.99",107.44,2.1607%
88,2021/04/06,"4,972.55",64.19,1.3078%
89,2021/04/05,"4,908.36",34.63,0.7105%
90,2021/04/04,"4,873.73",23.00,0.4742%
91,2021/04/01,"4,850.73",2.69,0.0555%
92,2021/03/31,"4,848.04",27.59,0.5724%
93,2021/03/30,"4,820.45",149.68,3.2046%
94,2021/03/29,"4,670.77",44.50,0.9619%
95,2021/03/25,"4,626.27",-47.54,-1.0171%
96,2021/03/24,"4,673.80",122.47,2.6908%
97,2021/03/23,"4,551.34",69.00,1.5394%
98,2021/03/22,"4,482.34",-92.78,-2.0279%
99,2021/03/21,"4,575.11",246.60,5.6971%
100,2021/03/18,"4,328.52",102.13,2.4166%
101,2021/03/17,"4,226.38",113.87,2.7688%
102,2021/03/16,"4,112.52",27.36,0.6698%
103,2021/03/15,"4,085.15",-25.23,-0.6139%
104,2021/03/14,"4,110.39",-90.68,-2.1585%
105,2021/03/10,"4,201.06",-40.01,-0.9433%
106,2021/03/09,"4,241.07",-47.46,-1.1066%
107,2021/03/07,"4,288.53",-51.79,-1.1932%
108,2021/03/04,"4,340.31",209.06,5.0605%
109,2021/03/03,"4,131.25",-56.43,-1.3475%
110,2021/03/02,"4,187.68",-112.08,-2.6067%
111,2021/03/01,"4,299.77",81.49,1.9318%
112,2021/02/28,"4,218.28",-141.29,-3.2409%
113,2021/02/25,"4,359.57",-60.48,-1.3682%
114,2021/02/24,"4,420.04",22.15,0.5036%
115,2021/02/23,"4,397.90",-6.32,-0.1434%
116,2021/02/22,"4,404.21",-56.95,-1.2766%
