sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,17.46,0.08,0.45%
2,2021/08/11,17.38,-0.11,-0.613%
3,2021/08/10,17.49,0.07,0.3857%
4,2021/08/09,17.42,-0.06,-0.3671%
5,2021/08/08,17.49,0.00,0.0246%
6,2021/08/05,17.49,-0.01,-0.0474%
7,2021/08/04,17.49,-0.12,-0.6666%
8,2021/08/03,17.59,-0.14,-0.7841%
9,2021/08/02,17.72,-0.18,-0.9939%
10,2021/08/01,17.90,-0.02,-0.1306%
11,2021/07/29,17.92,-0.03,-0.1443%
12,2021/07/28,17.95,-0.01,-0.0457%
13,2021/07/27,17.96,0.13,0.7162%
14,2021/07/26,17.83,-0.26,-1.4314%
15,2021/07/25,18.09,-0.24,-1.289%
16,2021/07/22,18.32,0.92,5.2729%
17,2021/07/20,17.40,1.02,6.2529%
18,2021/07/19,16.38,0.10,0.5835%
19,2021/07/18,16.28,0.53,3.3366%
20,2021/07/15,15.75,0.07,0.4323%
21,2021/07/14,15.68,0.05,0.3417%
22,2021/07/13,15.63,0.01,0.039%
23,2021/07/12,15.63,0.02,0.1564%
24,2021/07/11,15.60,0.14,0.8874%
25,2021/07/08,15.46,0.03,0.1776%
26,2021/07/07,15.43,-0.01,-0.0673%
27,2021/07/06,15.44,-0.02,-0.1048%
28,2021/07/05,15.46,0.06,0.3641%
29,2021/07/04,15.41,0.02,0.0981%
30,2021/07/01,15.39,0.15,0.961%
31,2021/06/30,15.24,-0.09,-0.6148%
32,2021/06/29,15.34,-0.07,-0.4252%
33,2021/06/28,15.40,0.02,0.1241%
34,2021/06/27,15.39,0.08,0.5227%
35,2021/06/24,15.31,-0.03,-0.206%
36,2021/06/23,15.27,-0.14,-0.8843%
37,2021/06/22,15.40,0.21,1.3723%
38,2021/06/21,15.19,-0.21,-1.3761%
39,2021/06/20,15.41,-0.20,-1.255%
40,2021/06/17,15.60,-0.04,-0.2302%
41,2021/06/16,15.64,-0.03,-0.1787%
42,2021/06/15,15.67,0.05,0.3517%
43,2021/06/14,15.61,-0.01,-0.0711%
44,2021/06/13,15.62,-0.11,-0.6715%
45,2021/06/10,15.73,0.12,0.785%
46,2021/06/09,15.60,0.00,0.0288%
