sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"3,179.00",16.41,0.5188%
2,2021/08/11,"3,162.60",0.94,0.0299%
3,2021/08/10,"3,161.45",51.86,1.6676%
4,2021/08/09,"3,109.67",1.54,0.0495%
5,2021/08/08,"3,108.13",0.66,0.0212%
6,2021/08/05,"3,107.45",-16.00,-0.5121%
7,2021/08/04,"3,123.15",12.05,0.3874%
8,2021/08/03,"3,111.09",26.02,0.8434%
9,2021/08/02,"3,085.07",4.06,0.1317%
10,2021/08/01,"3,081.06",1.25,0.0406%
11,2021/07/29,"3,079.83",-15.11,-0.4883%
12,2021/07/28,"3,094.95",15.30,0.4968%
13,2021/07/27,"3,079.67",29.24,0.9586%
14,2021/07/26,"3,050.43",-8.24,-0.2693%
15,2021/07/25,"3,058.64",54.31,1.8076%
16,2021/07/22,"3,004.32",18.75,0.6279%
17,2021/07/20,"2,985.57",-9.01,-0.3008%
18,2021/07/19,"2,994.58",13.97,0.4686%
19,2021/07/18,"2,980.61",97.21,3.3713%
20,2021/07/15,"2,883.38",11.33,0.3946%
21,2021/07/14,"2,872.05",1.01,0.0352%
22,2021/07/13,"2,871.04",16.34,0.5724%
23,2021/07/12,"2,854.77",-45.06,-1.5537%
24,2021/07/11,"2,899.82",74.71,2.6447%
25,2021/07/08,"2,824.90",23.76,0.8484%
26,2021/07/07,"2,801.13",-16.97,-0.6023%
27,2021/07/06,"2,818.11",-5.24,-0.1857%
28,2021/07/05,"2,822.74",-11.78,-0.4156%
29,2021/07/04,"2,834.52",-8.48,-0.2984%
30,2021/07/01,"2,843.00",19.12,0.6771%
31,2021/06/30,"2,823.88",-4.13,-0.146%
32,2021/06/29,"2,828.01",-47.49,-1.6515%
33,2021/06/28,"2,875.50",5.11,0.1781%
34,2021/06/27,"2,870.38",27.38,0.9631%
35,2021/06/24,"2,843.00",-16.96,-0.5929%
36,2021/06/23,"2,862.19",-51.65,-1.7726%
37,2021/06/22,"2,913.85",79.44,2.8028%
38,2021/06/21,"2,834.41",-71.06,-2.4456%
39,2021/06/20,"2,905.15",-63.28,-2.1319%
40,2021/06/17,"2,968.43",-1.29,-0.0433%
41,2021/06/16,"2,969.70",-52.41,-1.7341%
