sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"14,662.46",-12.23,-0.0833%
2,2021/08/11,"14,674.69",43.80,0.2994%
3,2021/08/10,"14,632.10",142.33,0.9822%
4,2021/08/09,"14,488.00",39.00,0.2699%
5,2021/08/08,"14,449.00",-202.79,-1.3841%
6,2021/08/05,"14,658.17",-49.97,-0.3398%
7,2021/08/04,"14,708.47",-82.98,-0.561%
8,2021/08/03,"14,791.45",60.69,0.412%
9,2021/08/02,"14,730.77",-89.12,-0.6014%
10,2021/08/01,"14,821.27",-171.57,-1.1443%
11,2021/07/29,"14,994.02",-69.57,-0.4618%
12,2021/07/28,"15,063.58",449.56,3.0762%
13,2021/07/27,"14,611.71",120.26,0.8298%
14,2021/07/26,"14,486.19",14.93,0.1032%
15,2021/07/25,"14,469.40",48.42,0.3357%
16,2021/07/22,"14,420.99",38.70,0.2691%
17,2021/07/20,"14,382.29",-188.16,-1.2914%
18,2021/07/19,"14,558.77",101.44,0.7016%
19,2021/07/18,"14,457.34",441.22,3.1479%
20,2021/07/15,"14,016.12",36.26,0.2593%
21,2021/07/14,"13,979.86",-82.05,-0.5835%
22,2021/07/13,"14,053.41",14.40,0.1026%
23,2021/07/12,"14,037.20",-240.71,-1.6859%
24,2021/07/11,"14,277.91",378.53,2.7234%
25,2021/07/08,"13,900.03",4.23,0.0304%
26,2021/07/07,"13,895.80",-144.77,-1.0311%
27,2021/07/06,"14,040.57",166.09,1.1971%
28,2021/07/05,"13,860.07",-156.62,-1.1174%
29,2021/07/04,"14,016.69",-119.79,-0.8474%
30,2021/07/01,"14,136.48",-5.70,-0.0403%
31,2021/06/30,"14,139.20",5.63,0.0398%
32,2021/06/29,"14,133.57",-251.53,-1.7485%
33,2021/06/28,"14,385.10",-37.27,-0.2584%
34,2021/06/27,"14,417.18",-40.51,-0.2802%
35,2021/06/24,"14,457.69",-177.24,-1.2111%
36,2021/06/23,"14,531.43",-280.12,-1.8912%
37,2021/06/22,"14,811.54",375.23,2.5992%
38,2021/06/21,"14,432.10",-429.63,-2.8908%
39,2021/06/20,"14,855.19",-279.25,-1.8451%
40,2021/06/17,"15,134.43",52.98,0.3513%
41,2021/06/16,"15,081.45",-403.12,-2.6034%
42,2021/06/15,"15,484.57",-1.76,-0.0113%
43,2021/06/14,"15,486.33",307.68,2.027%
44,2021/06/13,"15,178.65",-22.07,-0.1452%
45,2021/06/10,"15,200.18",-45.09,-0.2958%
46,2021/06/09,"15,245.85",39.00,0.2565%
47,2021/06/08,"15,206.85",554.15,3.7819%
48,2021/06/07,"14,652.68",31.65,0.2165%
49,2021/06/06,"14,619.79",-83.31,-0.5666%
50,2021/06/03,"14,702.48",-113.30,-0.7647%
51,2021/06/02,"14,815.78",479.11,3.3418%
52,2021/06/01,"14,320.81",-123.99,-0.8584%
53,2021/05/31,"14,444.80",-380.88,-2.5691%
54,2021/05/30,"14,825.68",64.12,0.4344%
55,2021/05/27,"14,761.56",142.29,0.9733%
56,2021/05/25,"14,619.27",253.09,1.7617%
57,2021/05/24,"14,366.18",196.64,1.3878%
58,2021/05/23,"14,169.53",-11.70,-0.0825%
59,2021/05/20,"14,181.23",-23.47,-0.1652%
60,2021/05/19,"14,204.70",-157.94,-1.0997%
61,2021/05/18,"14,362.64",81.07,0.5677%
62,2021/05/17,"14,281.57",39.09,0.2745%
63,2021/05/16,"14,242.48",584.21,4.2773%
64,2021/05/13,"13,659.52",5.52,0.0404%
65,2021/05/12,"13,654.00",31.60,0.232%
66,2021/05/11,"13,622.40",176.48,1.3125%
67,2021/05/10,"13,445.89",346.03,2.6415%
68,2021/05/09,"13,099.86",-31.29,-0.2383%
69,2021/05/06,"13,132.98",-130.31,-0.9825%
70,2021/05/05,"13,263.30",9.27,0.0699%
71,2021/05/03,"13,287.50",-80.96,-0.6056%
72,2021/05/02,"13,368.46",448.78,3.4736%
73,2021/04/29,"12,919.68",124.80,0.9754%
74,2021/04/28,"12,794.88",-104.84,-0.8128%
75,2021/04/27,"12,899.73",543.27,4.3966%
76,2021/04/26,"12,358.53",-384.53,-3.0176%
77,2021/04/25,"12,743.06",-440.87,-3.344%
78,2021/04/22,"13,182.86",114.90,0.8792%
79,2021/04/21,"13,067.97",-154.23,-1.1664%
80,2021/04/20,"13,222.19",-24.39,-0.1841%
81,2021/04/19,"13,246.58",-239.13,-1.7732%
82,2021/04/18,"13,485.71",-183.19,-1.3402%
83,2021/04/15,"13,668.91",9.03,0.0661%
84,2021/04/13,"13,659.88",-88.92,-0.6468%
