sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"2,117.59",-9.10,-0.4277%
2,2021/08/11,"2,128.49",-12.43,-0.5805%
3,2021/08/10,"2,140.92",8.83,0.4139%
4,2021/08/09,"2,128.79",8.41,0.3964%
5,2021/08/08,"2,120.98",-20.53,-0.9588%
6,2021/08/05,"2,140.80",-17.41,-0.8068%
7,2021/08/04,"2,156.71",-21.01,-0.9649%
8,2021/08/03,"2,177.72",25.22,1.1715%
9,2021/08/02,"2,152.50",-17.41,-0.8024%
10,2021/08/01,"2,169.85",-31.58,-1.4345%
11,2021/07/29,"2,201.22",-12.82,-0.579%
12,2021/07/28,"2,214.04",20.11,0.9168%
13,2021/07/27,"2,193.33",60.34,2.8289%
14,2021/07/26,"2,132.99",-10.51,-0.4902%
15,2021/07/25,"2,143.50",6.60,0.3091%
16,2021/07/22,"2,136.89",-11.41,-0.531%
17,2021/07/20,"2,148.30",-26.42,-1.2147%
18,2021/07/19,"2,177.18",16.87,0.7809%
19,2021/07/18,"2,160.31",19.81,0.9256%
20,2021/07/15,"2,130.59",-7.81,-0.365%
21,2021/07/14,"2,138.39",-10.21,-0.475%
22,2021/07/13,"2,148.60",8.11,0.3787%
23,2021/07/12,"2,140.49",-31.52,-1.4512%
24,2021/07/11,"2,172.02",9.01,0.4164%
25,2021/07/08,"2,163.01",-12.01,-0.5521%
26,2021/07/07,"2,175.02",-18.31,-0.8349%
27,2021/07/06,"2,193.33",-10.21,-0.4632%
28,2021/07/05,"2,199.03",8.71,0.3975%
29,2021/07/04,"2,190.33",15.01,0.69%
30,2021/07/01,"2,175.32",36.92,1.7267%
31,2021/06/30,"2,155.50",18.31,0.8568%
32,2021/06/29,"2,137.19",-51.33,-2.3456%
33,2021/06/28,"2,188.53",-3.90,-0.178%
34,2021/06/27,"2,190.03",5.40,0.2473%
35,2021/06/24,"2,184.02",-30.62,-1.3826%
36,2021/06/23,"2,208.34",-44.43,-1.9722%
37,2021/06/22,"2,252.77",34.82,1.57%
38,2021/06/21,"2,217.95",-54.64,-2.4041%
39,2021/06/20,"2,268.38",-51.03,-2.2003%
40,2021/06/17,"2,313.11",26.72,1.1685%
41,2021/06/16,"2,286.39",-70.25,-2.9808%
42,2021/06/15,"2,356.64",90.36,3.9871%
43,2021/06/14,"2,266.28",-12.31,-0.5402%
44,2021/06/13,"2,278.58",-8.71,-0.3806%
45,2021/06/10,"2,288.79",-6.00,-0.2616%
46,2021/06/09,"2,294.80",-31.52,-1.355%
47,2021/06/08,"2,326.32",45.63,2.0007%
48,2021/06/07,"2,280.99",5.10,0.2242%
49,2021/06/06,"2,275.88",66.94,3.0306%
