sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,198.78,2.10,1.0671%
2,2021/08/11,196.68,-0.70,-0.3526%
3,2021/08/10,197.32,4.59,2.3842%
4,2021/08/09,192.72,-0.97,-0.4999%
5,2021/08/08,193.71,0.40,0.206%
6,2021/08/05,193.63,0.25,0.1312%
7,2021/08/04,193.36,0.35,0.1803%
8,2021/08/03,193.01,1.81,0.9484%
9,2021/08/02,191.19,0.18,0.0916%
10,2021/08/01,191.02,0.38,0.1992%
11,2021/07/29,190.61,-1.18,-0.6166%
12,2021/07/28,191.80,-0.41,-0.2149%
13,2021/07/27,192.21,0.89,0.4675%
14,2021/07/26,191.32,-1.27,-0.6587%
15,2021/07/25,192.58,4.72,2.5126%
16,2021/07/22,187.84,1.88,1.0085%
17,2021/07/20,185.95,-0.76,-0.405%
18,2021/07/19,186.71,0.11,0.0592%
19,2021/07/18,186.60,7.78,4.3525%
20,2021/07/15,178.79,0.95,0.5334%
21,2021/07/14,177.84,-0.10,-0.054%
22,2021/07/13,177.93,1.72,0.9786%
23,2021/07/12,176.21,-2.84,-1.5869%
24,2021/07/11,179.05,5.48,3.159%
25,2021/07/08,173.54,2.06,1.1998%
26,2021/07/07,171.48,-0.41,-0.2384%
27,2021/07/06,171.89,-0.25,-0.1451%
28,2021/07/05,172.14,-0.50,-0.2922%
29,2021/07/04,172.65,-0.51,-0.2941%
30,2021/07/01,173.13,1.49,0.8656%
31,2021/06/30,172.00,0.47,0.2735%
32,2021/06/29,171.53,-3.11,-1.7815%
33,2021/06/28,174.64,1.04,0.5992%
34,2021/06/27,173.60,1.72,0.9985%
35,2021/06/24,171.88,-1.12,-0.6473%
36,2021/06/23,173.18,-3.13,-1.7758%
37,2021/06/22,176.31,5.41,3.1672%
38,2021/06/21,170.90,-3.79,-2.1699%
39,2021/06/20,174.68,-4.27,-2.3859%
40,2021/06/17,178.95,-0.27,-0.1505%
41,2021/06/16,179.23,-2.51,-1.3827%
42,2021/06/15,181.74,-1.40,-0.765%
43,2021/06/14,183.14,3.79,2.1159%
44,2021/06/13,179.35,4.14,2.362%
45,2021/06/10,175.21,0.40,0.2289%
46,2021/06/09,174.81,-1.28,-0.7277%
47,2021/06/08,176.09,3.28,1.8963%
48,2021/06/07,172.81,-0.01,-0.0034%
49,2021/06/06,172.81,3.42,2.0165%
50,2021/06/03,169.39,3.49,2.1028%
51,2021/06/02,165.91,2.69,1.65%
52,2021/06/01,163.02,-0.95,-0.5787%
53,2021/05/31,163.94,-2.08,-1.25%
54,2021/05/30,166.01,2.06,1.2572%
55,2021/05/27,163.95,0.17,0.1061%
56,2021/05/25,163.78,-1.54,-0.9309%
57,2021/05/24,165.32,0.01,0.006%
58,2021/05/23,165.31,3.66,2.266%
59,2021/05/20,161.65,1.20,0.749%
60,2021/05/19,160.44,-0.39,-0.2412%
61,2021/05/18,160.83,1.73,1.0878%
62,2021/05/17,159.10,0.76,0.4802%
63,2021/05/16,158.30,3.20,2.0659%
64,2021/05/13,155.09,0.56,0.3597%
65,2021/05/12,154.53,-0.25,-0.1615%
66,2021/05/11,154.78,0.86,0.5575%
67,2021/05/10,153.93,1.08,0.7036%
68,2021/05/09,152.84,-0.54,-0.3499%
69,2021/05/06,153.37,-0.34,-0.2218%
70,2021/05/05,153.71,-0.36,-0.2338%
71,2021/05/03,153.99,-0.86,-0.5567%
72,2021/05/02,154.85,2.47,1.6242%
73,2021/04/29,152.38,1.17,0.7768%
74,2021/04/28,151.20,-1.08,-0.7109%
75,2021/04/27,152.28,4.84,3.2837%
76,2021/04/26,147.44,-3.59,-2.375%
77,2021/04/25,151.03,-4.25,-2.7344%
78,2021/04/22,155.28,0.86,0.5577%
79,2021/04/21,154.42,-2.23,-1.4254%
80,2021/04/20,156.65,0.06,0.0384%
81,2021/04/19,156.59,-2.43,-1.5283%
82,2021/04/18,159.02,-2.23,-1.3805%
83,2021/04/15,161.26,2.04,1.2791%
84,2021/04/13,159.22,2.53,1.6168%
