sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,591.17,5.46,0.932%
2,2021/08/11,585.71,-2.38,-0.4047%
3,2021/08/10,587.96,12.00,2.0829%
4,2021/08/09,575.96,-2.05,-0.3544%
5,2021/08/08,578.10,0.78,0.1346%
6,2021/08/05,579.00,0.64,0.1108%
7,2021/08/04,578.23,0.71,0.1225%
8,2021/08/03,577.52,5.06,0.8845%
9,2021/08/02,572.46,0.30,0.0527%
10,2021/08/01,572.15,1.24,0.2168%
11,2021/07/29,570.85,-3.47,-0.6041%
12,2021/07/28,574.32,0.02,0.0038%
13,2021/07/27,574.31,3.19,0.559%
14,2021/07/26,571.11,-2.93,-0.5109%
15,2021/07/25,574.02,11.74,2.0877%
16,2021/07/22,562.25,4.06,0.7272%
17,2021/07/20,558.12,-2.82,-0.5033%
18,2021/07/19,560.94,-0.02,-0.0039%
19,2021/07/18,560.96,19.55,3.6116%
20,2021/07/15,541.31,1.93,0.3587%
21,2021/07/14,539.38,-0.14,-0.0262%
22,2021/07/13,539.52,4.74,0.886%
23,2021/07/12,534.81,-8.62,-1.5862%
24,2021/07/11,543.43,13.77,2.6%
25,2021/07/08,529.66,4.41,0.8401%
26,2021/07/07,525.25,-1.50,-0.285%
27,2021/07/06,526.75,-1.97,-0.373%
28,2021/07/05,528.42,-0.04,-0.0072%
29,2021/07/04,528.46,-0.33,-0.0623%
30,2021/07/01,528.71,6.33,1.2125%
31,2021/06/30,522.38,-1.32,-0.253%
32,2021/06/29,523.70,-9.87,-1.8501%
33,2021/06/28,533.58,4.17,0.7869%
34,2021/06/27,529.41,3.76,0.716%
35,2021/06/24,525.65,-3.17,-0.5992%
36,2021/06/23,528.97,-7.37,-1.3743%
37,2021/06/22,536.34,16.19,3.1134%
38,2021/06/21,520.18,-8.37,-1.5836%
39,2021/06/20,528.51,-12.61,-2.3305%
40,2021/06/17,541.12,-0.58,-0.1068%
41,2021/06/16,541.70,-8.56,-1.5564%
42,2021/06/15,550.26,0.25,0.0449%
43,2021/06/14,550.02,10.60,1.9653%
44,2021/06/13,539.42,11.54,2.1861%
45,2021/06/10,527.88,2.59,0.4935%
46,2021/06/09,525.28,-2.83,-0.5353%
47,2021/06/08,528.11,7.47,1.4347%
48,2021/06/07,520.64,-0.38,-0.072%
49,2021/06/06,521.00,7.88,1.5362%
50,2021/06/03,513.12,7.96,1.5759%
51,2021/06/02,505.16,7.83,1.5746%
52,2021/06/01,496.87,-3.69,-0.7364%
53,2021/05/31,500.48,-6.58,-1.2975%
54,2021/05/30,507.06,3.35,0.665%
55,2021/05/27,503.71,-0.28,-0.0564%
56,2021/05/25,503.99,-4.51,-0.8862%
57,2021/05/24,508.50,1.31,0.2587%
58,2021/05/23,507.20,8.23,1.65%
59,2021/05/20,498.97,2.83,0.5695%
60,2021/05/19,496.15,-1.08,-0.2178%
61,2021/05/18,497.23,4.64,0.9425%
62,2021/05/17,492.59,4.45,0.9108%
63,2021/05/16,488.15,8.64,1.8021%
64,2021/05/13,479.50,1.12,0.2332%
65,2021/05/12,478.38,0.14,0.03%
66,2021/05/11,478.24,3.12,0.6561%
67,2021/05/10,475.12,4.35,0.9249%
68,2021/05/09,470.74,-2.31,-0.4883%
69,2021/05/06,473.05,-0.77,-0.1626%
70,2021/05/05,473.82,-1.63,-0.3423%
71,2021/05/03,475.13,-2.69,-0.562%
72,2021/05/02,477.81,8.78,1.8728%
73,2021/04/29,469.03,3.91,0.8405%
74,2021/04/28,465.12,-2.16,-0.4629%
75,2021/04/27,467.28,14.48,3.1986%
76,2021/04/26,452.80,-11.25,-2.4241%
77,2021/04/25,464.05,-12.56,-2.6344%
78,2021/04/22,476.61,3.21,0.6776%
79,2021/04/21,473.40,-6.21,-1.2938%
80,2021/04/20,479.60,0.50,0.1048%
81,2021/04/19,479.10,-7.06,-1.4525%
82,2021/04/18,486.16,-6.29,-1.2763%
83,2021/04/15,492.45,6.17,1.2678%
84,2021/04/13,486.28,5.99,1.2462%
85,2021/04/12,480.30,3.78,0.7929%
86,2021/04/08,476.52,-0.28,-0.0596%
87,2021/04/07,476.80,0.62,0.1304%
88,2021/04/06,476.18,4.34,0.9191%
89,2021/04/05,471.85,1.09,0.2325%
90,2021/04/04,470.75,4.33,0.9278%
91,2021/04/01,466.42,2.83,0.6115%
92,2021/03/31,463.59,7.48,1.6406%
93,2021/03/30,456.11,6.19,1.3754%
94,2021/03/29,449.92,-0.39,-0.0874%
95,2021/03/25,450.31,-5.64,-1.2372%
96,2021/03/24,455.96,7.06,1.5727%
97,2021/03/23,448.90,0.09,0.0199%
98,2021/03/22,448.81,-4.79,-1.0554%
99,2021/03/21,453.59,9.44,2.1255%
100,2021/03/18,444.15,5.55,1.2648%
101,2021/03/17,438.61,8.11,1.8842%
102,2021/03/16,430.49,0.44,0.1012%
103,2021/03/15,430.06,-5.07,-1.1661%
104,2021/03/14,435.13,-10.10,-2.2691%
105,2021/03/10,445.24,0.02,0.0056%
106,2021/03/09,445.21,-4.47,-0.9949%
107,2021/03/07,449.69,-1.78,-0.3949%
108,2021/03/04,451.47,14.67,3.3581%
109,2021/03/03,436.80,-7.12,-1.6031%
110,2021/03/02,443.96,-9.80,-2.1591%
111,2021/03/01,453.76,6.47,1.4454%
112,2021/02/28,447.29,-14.53,-3.1455%
113,2021/02/25,461.82,-8.53,-1.8137%
114,2021/02/24,470.35,2.40,0.5132%
115,2021/02/23,467.95,-2.41,-0.5134%
116,2021/02/22,470.36,-9.22,-1.923%
117,2021/02/21,479.58,-2.20,-0.456%
118,2021/02/18,481.78,6.77,1.4262%
119,2021/02/17,475.01,1.47,0.3103%
120,2021/02/16,473.54,4.09,0.8708%
121,2021/02/15,469.45,15.33,3.3747%
122,2021/02/14,454.12,-9.31,-2.009%
123,2021/02/11,463.48,-1.66,-0.3563%
124,2021/02/10,465.13,2.56,0.5532%
125,2021/02/09,462.57,-4.03,-0.8637%
126,2021/02/08,466.60,7.28,1.5841%
127,2021/02/07,459.33,5.30,1.1678%
128,2021/02/04,454.03,1.68,0.3712%
129,2021/02/03,452.30,0.92,0.2028%
130,2021/02/02,451.38,14.10,3.2239%
131,2021/02/01,437.28,4.95,1.1447%
132,2021/01/31,432.33,-9.73,-2.2015%
133,2021/01/28,442.06,-4.32,-0.9673%
134,2021/01/27,446.38,-0.86,-0.1933%
135,2021/01/26,447.25,-4.58,-1.0134%
136,2021/01/25,451.82,-0.24,-0.0534%
137,2021/01/24,452.07,6.47,1.4515%
138,2021/01/21,445.60,2.59,0.5844%
139,2021/01/20,443.01,0.18,0.0417%
140,2021/01/19,442.82,-2.85,-0.6394%
141,2021/01/18,445.61,2.18,0.4925%
142,2021/01/17,443.42,8.17,1.8763%
143,2021/01/13,435.25,1.97,0.4536%
144,2021/01/12,433.29,3.89,0.9063%
145,2021/01/11,429.40,0.96,0.2239%
146,2021/01/10,428.44,7.21,1.7127%
147,2021/01/07,421.22,3.08,0.7369%
148,2021/01/06,418.14,4.45,1.0767%
149,2021/01/05,413.69,-1.47,-0.3539%
150,2021/01/04,415.16,-0.73,-0.1758%
151,2021/01/03,415.89,17.18,4.3094%
152,2020/12/31,398.71,7.40,1.8922%
153,2020/12/30,391.30,8.86,2.3157%
154,2020/12/29,382.45,-0.13,-0.0335%
155,2020/12/28,382.58,1.14,0.2986%
156,2020/12/27,381.44,-5.33,-1.3775%
157,2020/12/24,386.77,-3.74,-0.9585%
158,2020/12/23,390.51,-1.24,-0.3161%
159,2020/12/22,391.75,15.18,4.0322%
160,2020/12/21,376.57,7.01,1.8977%
161,2020/12/20,369.55,-16.39,-4.2474%
162,2020/12/17,385.95,-1.04,-0.2691%
163,2020/12/16,386.99,-0.43,-0.1121%
164,2020/12/15,387.42,-0.74,-0.1906%
165,2020/12/14,388.16,6.04,1.5817%
166,2020/12/13,382.12,8.09,2.1631%
167,2020/12/10,374.03,2.32,0.623%
168,2020/12/09,371.71,-8.47,-2.2285%
169,2020/12/08,380.18,-2.59,-0.6761%
170,2020/12/07,382.77,12.10,3.2643%
171,2020/12/06,370.67,-21.62,-5.5112%
172,2020/12/03,392.29,-3.76,-0.9484%
173,2020/12/02,396.05,12.25,3.1915%
174,2020/12/01,383.80,-1.77,-0.4584%
175,2020/11/30,385.57,1.63,0.4246%
176,2020/11/29,383.94,18.76,5.1359%
177,2020/11/26,365.18,2.85,0.7856%
178,2020/11/25,362.33,12.96,3.708%
179,2020/11/24,349.38,4.42,1.2821%
180,2020/11/23,344.96,-0.12,-0.0336%
181,2020/11/22,345.07,2.00,0.582%
182,2020/11/19,343.08,4.98,1.4743%
183,2020/11/18,338.09,-0.80,-0.2359%
184,2020/11/12,338.89,3.27,0.9736%
185,2020/11/11,335.62,5.23,1.5821%
186,2020/11/10,330.40,5.06,1.5545%
187,2020/11/09,325.34,-0.61,-0.1857%
188,2020/11/08,325.94,1.57,0.4848%
189,2020/11/05,324.36,-2.14,-0.6542%
190,2020/11/04,326.50,-0.11,-0.0326%
191,2020/11/03,326.60,1.14,0.3504%
192,2020/11/02,325.46,-1.17,-0.3578%
193,2020/11/01,326.63,-1.41,-0.4297%
194,2020/10/29,328.04,0.27,0.0835%
195,2020/10/28,327.77,9.21,2.89%
196,2020/10/22,318.56,1.91,0.6035%
197,2020/10/21,316.65,3.10,0.9883%
198,2020/10/20,313.55,2.65,0.8537%
199,2020/10/19,310.90,2.62,0.8497%
200,2020/10/18,308.28,-1.81,-0.5822%
201,2020/10/15,310.08,0.33,0.1078%
202,2020/10/14,309.75,-1.66,-0.534%
203,2020/10/13,311.41,-1.70,-0.5418%
204,2020/10/12,313.11,1.37,0.44%
205,2020/10/11,311.74,-3.01,-0.9566%
206,2020/10/08,314.75,-1.65,-0.5212%
207,2020/10/07,316.40,3.17,1.0135%
208,2020/10/06,313.22,0.76,0.2438%
209,2020/10/05,312.46,0.11,0.0352%
210,2020/10/04,312.35,2.19,0.707%
211,2020/10/01,310.16,2.98,0.9704%
212,2020/09/30,307.18,-0.64,-0.2089%
213,2020/09/29,307.82,-1.79,-0.5767%
214,2020/09/28,309.61,-0.87,-0.2801%
215,2020/09/27,310.48,0.90,0.2918%
216,2020/09/24,309.57,1.23,0.3973%
217,2020/09/23,308.35,0.95,0.3085%
218,2020/09/22,307.40,-4.84,-1.5514%
219,2020/09/21,312.24,-1.38,-0.4391%
220,2020/09/20,313.62,1.12,0.358%
221,2020/09/17,312.50,7.02,2.2972%
222,2020/09/16,305.48,0.83,0.2713%
223,2020/09/15,304.66,-1.59,-0.518%
224,2020/09/14,306.25,2.28,0.7493%
225,2020/09/13,303.98,2.59,0.8609%
226,2020/09/10,301.38,1.71,0.5712%
227,2020/09/09,299.67,0.19,0.0638%
228,2020/09/08,299.48,0.83,0.2775%
229,2020/09/07,298.65,-3.55,-1.1732%
230,2020/09/06,302.20,-2.54,-0.8348%
231,2020/09/03,304.74,0.14,0.0445%
232,2020/09/02,304.60,6.25,2.095%
233,2020/08/31,298.35,2.05,0.6934%
234,2020/08/30,296.29,0.80,-0.27%
235,2020/08/27,297.10,-1.64,-0.5502%
236,2020/08/26,298.75,4.77,1.622%
237,2020/08/25,293.98,0.83,0.2838%
238,2020/08/24,293.14,3.59,1.2398%
239,2020/08/23,289.55,1.19,0.4112%
240,2020/08/20,288.37,1.30,0.4519%
241,2020/08/19,287.07,-2.71,-0.9346%
242,2020/08/18,289.78,-0.23,-0.0776%
243,2020/08/17,290.01,1.14,0.3952%
244,2020/08/16,288.86,-4.98,-1.6955%
245,2020/08/13,293.85,-3.45,-1.1588%
246,2020/08/12,297.29,0.02,0.0067%
247,2020/08/11,297.27,-1.38,-0.4605%
248,2020/08/10,298.65,7.63,2.6204%
249,2020/08/09,291.02,1.46,0.5044%
250,2020/08/06,289.56,-0.63,-0.2185%
251,2020/08/03,294.25,1.47,0.5037%
252,2020/08/02,292.77,-8.18,-2.7191%
253,2020/07/30,300.96,0.46,0.1541%
254,2020/07/29,300.49,-5.18,-1.696%
255,2020/07/28,305.68,-1.64,-0.5322%
