sn,_date,index_value,absolute_change,percentage_change
1,2021/08/12,"3,861.97",-59.17,-1.509%
2,2021/08/11,"3,925.76",-49.65,-1.2489%
3,2021/08/10,"3,975.41",-67.28,-1.6642%
4,2021/08/09,"4,042.69",-43.83,-1.0726%
5,2021/08/08,"4,053.53",-40.38,-0.9864%
6,2021/08/05,"4,096.02",-45.27,-1.0931%
7,2021/08/04,"4,141.29",-60.00,-1.4281%
8,2021/08/03,"4,192.66",92.75,2.2622%
9,2021/08/02,"4,099.91",-48.11,-1.1597%
10,2021/08/01,"4,149.66",70.65,1.732%
11,2021/07/29,"4,079.01",-4.42,-0.1083%
12,2021/07/28,"4,083.44",16.39,0.4029%
13,2021/07/27,"4,067.05",-2.57,-0.0631%
14,2021/07/26,"4,051.47",55.04,1.3773%
15,2021/07/25,"4,000.39",2.71,0.0677%
16,2021/07/22,"3,997.68",-82.46,-2.021%
17,2021/07/20,"4,080.14",126.38,3.1964%
18,2021/07/19,"3,953.76",196.02,5.2165%
19,2021/07/18,"3,757.74",33.92,0.9109%
20,2021/07/15,"3,723.82",28.71,0.7769%
21,2021/07/14,"3,695.11",-11.70,-0.3158%
22,2021/07/13,"3,706.81",8.41,0.2273%
23,2021/07/12,"3,698.41",-60.66,-1.6136%
24,2021/07/11,"3,758.98",34.83,0.9354%
25,2021/07/08,"3,724.15",-20.60,-0.5502%
26,2021/07/07,"3,744.75",-12.97,-0.3452%
27,2021/07/06,"3,757.72",-39.15,-1.0311%
28,2021/07/05,"3,796.87",132.20,3.6074%
29,2021/07/04,"3,664.67",-17.62,-0.4784%
30,2021/07/01,"3,682.28",19.38,0.529%
31,2021/06/30,"3,666.21",-22.46,-0.6089%
32,2021/06/29,"3,688.67",-47.53,-1.2722%
33,2021/06/28,"3,731.25",-32.32,-0.8586%
34,2021/06/27,"3,763.57",47.28,1.2723%
35,2021/06/24,"3,716.29",-26.17,-0.6993%
36,2021/06/23,"3,768.51",-55.56,-1.4529%
37,2021/06/22,"3,824.07",21.54,0.5664%
38,2021/06/21,"3,802.53",-29.63,-0.7732%
39,2021/06/20,"3,832.16",-98.48,-2.5053%
40,2021/06/17,"3,931.74",-14.67,-0.3716%
41,2021/06/16,"3,946.40",-103.06,-2.5449%
42,2021/06/15,"4,056.06",-11.06,-0.272%
43,2021/06/14,"4,066.11",-14.83,-0.3635%
44,2021/06/13,"4,080.94",-43.71,-1.0598%
45,2021/06/10,"4,130.49",-57.42,-1.3711%
46,2021/06/09,"4,187.91",78.93,1.9208%
47,2021/06/08,"4,108.99",19.27,0.4713%
48,2021/06/07,"4,089.71",-92.27,-2.2063%
49,2021/06/06,"4,181.98",-43.28,-1.0243%
50,2021/06/03,"4,225.26",-9.68,-0.2285%
51,2021/06/02,"4,234.94",15.12,0.3583%
52,2021/06/01,"4,174.95",-93.59,-2.1926%
53,2021/05/31,"4,268.54",-168.09,-3.7886%
54,2021/05/30,"4,436.63",-32.67,-0.7309%
55,2021/05/27,"4,469.29",281.53,6.7226%
56,2021/05/25,"4,187.77",40.25,0.9704%
57,2021/05/24,"4,139.67",-57.60,-1.3723%
58,2021/05/23,"4,196.17",40.78,0.9815%
59,2021/05/20,"4,155.38",-22.63,-0.5416%
60,2021/05/19,"4,178.01",35.72,0.8624%
61,2021/05/18,"4,142.29",76.80,1.8891%
62,2021/05/17,"4,056.25",7.11,0.1756%
63,2021/05/16,"4,049.14",51.81,1.2962%
64,2021/05/13,"3,982.48",-23.86,-0.5957%
65,2021/05/12,"4,006.34",-41.20,-1.0179%
66,2021/05/11,"4,047.54",221.67,5.7938%
67,2021/05/10,"3,825.88",19.61,0.5152%
68,2021/05/09,"3,806.27",-61.61,-1.5928%
69,2021/05/06,"3,867.88",-62.99,-1.6025%
70,2021/05/05,"3,930.87",9.41,0.2398%
71,2021/05/03,"3,828.53",-15.08,-0.3923%
72,2021/05/02,"3,843.61",79.28,2.106%
