sn,id,stock_name,symbol,sector
138,131,Nabil Bank Limited,NABIL,Commercial Banks
119,132,Nepal Investment Bank Limited,NIB,Commercial Banks
29,133,Standard Chartered Bank Limited,SCB,Commercial Banks
189,134,Himalayan Bank Limited,HBL,Commercial Banks
114,135,Nepal SBI Bank Limited,SBI,Commercial Banks
129,136,Nepal Bangladesh Bank Limited,NBB,Commercial Banks
219,137,Everest Bank Limited,EBL,Commercial Banks
248,138,Bank of Kathmandu Ltd.,BOKL,Commercial Banks
102,139,NIC Asia Bank Ltd.,NICA,Commercial Banks
154,140,Machhapuchhre Bank Limited,MBL,Commercial Banks
162,141,Laxmi Bank Limited,LBL,Commercial Banks
165,142,Kumari Bank Limited,KBL,Commercial Banks
126,144,Nepal Credit And Commercial Bank Limited,NCCB,Commercial Banks
38,145,Siddhartha Bank Limited,SBL,Commercial Banks
1,146,Yak And Yeti Hotel Limited,YHL,Hotels
31,147,Soaltee Hotel Limited,SHL,Hotels
15,148,Taragaon Regency Hotel Limited,TRH,Hotels
90,149,Oriental Hotels Limited,OHL,Hotels
124,151,Nepal Film Development Company Limited,NFD,Others
134,152,National Hydro Power Company Limited,NHPC,Hydro Power
240,153,Butwal Power Company Limited,BPCL,Hydro Power
231,154,Chilime Hydropower Company Limited,CHCL,Hydro Power
61,155,Salt Trading Corporation,STC,Tradings
243,156,Bishal Bazar Company Limited,BBC,Tradings
111,158,Nepal Tading Limited,NTL,Tradings
109,159,Nepal Welfare Company Limited,NWC,Tradings
99,160,NIDC Development Bank Ltd.,NIDC,Development Banks
98,163,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Microfinance
233,164,Chhimek Laghubitta Bikas Bank Limited,CBBL,Microfinance
221,166,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance
55,171,Sanima Bank Limited,SANIMA,Commercial Banks
135,172,Narayani Development Bank Limited,NABBC,Development Banks
62,174,Sahayogi Bikas Bank Limited,SBBLJ,Development Banks
120,176,Nepal Insurance Co. Ltd.,NICL,Non Life Insurance
